Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 14
HEX 1 : 3BC98E54	406C6A83	41778ED5	
DEC 1 : 0.006151	3.694001	15.472371	
HEX 2 : 4043B61C	3FABF6F5	41209E4A	
DEC 2 : 3.057990	1.343474	10.038645	
HEX 3 : 405B59C5	40B70D8F	41670F62	
DEC 3 : 3.427354	5.720405	14.441256	
HEX 4 : 40BAD597	3ABAE89F	417DE845	
DEC 4 : 5.838573	0.001426	15.869206	
HEX 5 : 3F717668	3ABEF8CF	413A1234	
DEC 5 : 0.943213	0.001457	11.629444	
HEX 6 : 404A8ACE	40D725E1	41424757	
DEC 6 : 3.164722	6.723374	12.142417	
HEX 7 : 4003AB08	40EEEFCC	41211667	
DEC 7 : 2.057314	7.466772	10.067969	
HEX 8 : 3BC9AFE2	407D3C82	410D05BB	
DEC 8 : 0.006155	3.956818	8.813899	
HEX 9 : 3FED5A5C	4095A2F5	412AE999	
DEC 9 : 1.854320	4.676142	10.682031	
HEX 10 : 4096DA1B	40B2E521	414B456C	
DEC 10 : 4.714124	5.590470	12.704449	
HEX 11 : 40D20C6D	40F97E28	41228F65	
DEC 11 : 6.564017	7.796650	10.160008	
HEX 12 : 40A58C7E	40E1BE4F	415FCBFD	
DEC 12 : 5.173400	7.054481	13.987302	
HEX 13 : 3BCB1898	4096CAD3	41372170	
DEC 13 : 0.006198	4.712259	11.445663	
HEX 14 : 40107DB3	408AF78C	4178A47C	
DEC 14 : 2.257672	4.342718	15.540157	
15 : 0.000000	0.000000	0.000000	
16 : 0.000000	0.000000	0.000000	
17 : 0.000000	0.000000	0.000000	
18 : 0.000000	0.000000	0.000000	
19 : 0.000000	0.000000	0.000000	
20 : 0.000000	0.000000	0.000000	
21 : 0.000000	0.000000	0.000000	
22 : 0.000000	0.000000	0.000000	
23 : 0.000000	0.000000	0.000000	
24 : 0.000000	0.000000	0.000000	
25 : 0.000000	0.000000	0.000000	
26 : 0.000000	0.000000	0.000000	
27 : 0.000000	0.000000	0.000000	
28 : 0.000000	0.000000	0.000000	
29 : 0.000000	0.000000	0.000000	
30 : 0.000000	0.000000	0.000000	
31 : 0.000000	0.000000	0.000000	
32 : 0.000000	0.000000	0.000000	
33 : 0.000000	0.000000	0.000000	
34 : 0.000000	0.000000	0.000000	
35 : 0.000000	0.000000	0.000000	
36 : 0.000000	0.000000	0.000000	
37 : 0.000000	0.000000	0.000000	
38 : 0.000000	0.000000	0.000000	
39 : 0.000000	0.000000	0.000000	
40 : 0.000000	0.000000	0.000000	
41 : 0.000000	0.000000	0.000000	
42 : 0.000000	0.000000	0.000000	
43 : 0.000000	0.000000	0.000000	
44 : 0.000000	0.000000	0.000000	
45 : 0.000000	0.000000	0.000000	
46 : 0.000000	0.000000	0.000000	
47 : 0.000000	0.000000	0.000000	
48 : 0.000000	0.000000	0.000000	
49 : 0.000000	0.000000	0.000000	
50 : 0.000000	0.000000	0.000000	
51 : 0.000000	0.000000	0.000000	
52 : 0.000000	0.000000	0.000000	
53 : 0.000000	0.000000	0.000000	
54 : 0.000000	0.000000	0.000000	
55 : 0.000000	0.000000	0.000000	
56 : 0.000000	0.000000	0.000000	
57 : 0.000000	0.000000	0.000000	
58 : 0.000000	0.000000	0.000000	
59 : 0.000000	0.000000	0.000000	
60 : 0.000000	0.000000	0.000000	
61 : 0.000000	0.000000	0.000000	
62 : 0.000000	0.000000	0.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
