Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 16
HEX 1 : 40904C6E	41DD7F37	41BC7AEE	
DEC 1 : 4.509330	27.687117	23.560024	
HEX 2 : 40AD23EC	41FEDD3B	41B7EB77	
DEC 2 : 5.410635	31.858023	22.989973	
HEX 3 : 401320F3	41DF98FD	41A317A0	
DEC 3 : 2.298886	27.949701	20.386536	
HEX 4 : 404BE0B5	41D2D406	419C905B	
DEC 4 : 3.185590	26.353527	19.570486	
HEX 5 : 405310D8	41E93594	419541A9	
DEC 5 : 3.297903	29.151161	18.657061	
HEX 6 : 4088111D	420661DE	41953222	
DEC 6 : 4.252089	33.595573	18.649479	
HEX 7 : 405F93C9	41F72CBD	41C468DE	
DEC 7 : 3.493395	30.896845	24.551205	
HEX 8 : 40B3DAEE	420017BF	418AD305	
DEC 8 : 5.620475	32.023190	17.353037	
HEX 9 : 404D425B	41D5B987	418CD44A	
DEC 9 : 3.207175	26.715590	17.603657	
HEX 10 : 3BCB20FB	41E19560	41B5E6AC	
DEC 10 : 0.006199	28.197937	22.737633	
HEX 11 : 40BC62E7	41F5B100	41C7937B	
DEC 11 : 5.887073	30.711426	24.947012	
HEX 12 : 41058903	41CD327B	41B1BC10	
DEC 12 : 8.345950	25.649649	22.216827	
HEX 13 : 409F36CA	41DC199B	4188EA1D	
DEC 13 : 4.975438	27.512503	17.114313	
HEX 14 : 4107AED1	41DC0A1B	41B9F9CF	
DEC 14 : 8.480180	27.504934	23.246977	
HEX 15 : 4092F8D5	41DD7B96	419898FE	
DEC 15 : 4.592875	27.685345	19.074703	
HEX 16 : 4094EC8B	41D148A5	41B2357C	
DEC 16 : 4.653875	26.160471	22.276115	
17 : 0.000000	0.000000	0.000000	
18 : 0.000000	0.000000	0.000000	
19 : 0.000000	0.000000	0.000000	
20 : 0.000000	0.000000	0.000000	
21 : 0.000000	0.000000	0.000000	
22 : 0.000000	0.000000	0.000000	
23 : 0.000000	0.000000	0.000000	
24 : 0.000000	0.000000	0.000000	
25 : 0.000000	0.000000	0.000000	
26 : 0.000000	0.000000	0.000000	
27 : 0.000000	0.000000	0.000000	
28 : 0.000000	0.000000	0.000000	
29 : 0.000000	0.000000	0.000000	
30 : 0.000000	0.000000	0.000000	
31 : 0.000000	0.000000	0.000000	
32 : 0.000000	0.000000	0.000000	
33 : 0.000000	0.000000	0.000000	
34 : 0.000000	0.000000	0.000000	
35 : 0.000000	0.000000	0.000000	
36 : 0.000000	0.000000	0.000000	
37 : 0.000000	0.000000	0.000000	
38 : 0.000000	0.000000	0.000000	
39 : 0.000000	0.000000	0.000000	
40 : 0.000000	0.000000	0.000000	
41 : 0.000000	0.000000	0.000000	
42 : 0.000000	0.000000	0.000000	
43 : 0.000000	0.000000	0.000000	
44 : 0.000000	0.000000	0.000000	
45 : 0.000000	0.000000	0.000000	
46 : 0.000000	0.000000	0.000000	
47 : 0.000000	0.000000	0.000000	
48 : 0.000000	0.000000	0.000000	
49 : 0.000000	0.000000	0.000000	
50 : 0.000000	0.000000	0.000000	
51 : 0.000000	0.000000	0.000000	
52 : 0.000000	0.000000	0.000000	
53 : 0.000000	0.000000	0.000000	
54 : 0.000000	0.000000	0.000000	
55 : 0.000000	0.000000	0.000000	
56 : 0.000000	0.000000	0.000000	
57 : 0.000000	0.000000	0.000000	
58 : 0.000000	0.000000	0.000000	
59 : 0.000000	0.000000	0.000000	
60 : 0.000000	0.000000	0.000000	
61 : 0.000000	0.000000	0.000000	
62 : 0.000000	0.000000	0.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
