Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 15
HEX 1 : 40CCFD05	3FE49071	41EA012C	
DEC 1 : 6.405886	1.785658	29.250572	
HEX 2 : 40434B77	40163301	420354BC	
DEC 2 : 3.051481	2.346863	32.832748	
HEX 3 : 40C5DB29	40A8FFE1	41F8B7A1	
DEC 3 : 6.183003	5.281235	31.089663	
HEX 4 : 41042757	40353E60	41D1FB7E	
DEC 4 : 8.259604	2.831932	26.247799	
HEX 5 : 4106BEEB	3FA6FD4C	41DC3B02	
DEC 5 : 8.421611	1.304605	27.528812	
HEX 6 : 40A48302	40416291	41E28811	
DEC 6 : 5.140992	3.021641	28.316439	
HEX 7 : 408DC0F6	408B3489	41F154A3	
DEC 7 : 4.429805	4.350163	30.166327	
HEX 8 : 4020E11E	403E15C2	41D47307	
DEC 8 : 2.513740	2.970078	26.556166	
HEX 9 : 3F76C8C5	3FDD96C8	41D2728E	
DEC 9 : 0.964001	1.731164	26.305935	
HEX 10 : 40EB3A64	3F9B502B	41CC0729	
DEC 10 : 7.350878	1.213384	25.503496	
HEX 11 : 40EC0C80	40298462	42066D4D	
DEC 11 : 7.376526	2.648705	33.606739	
HEX 12 : 40AC5FF6	40F2A66A	41D749B8	
DEC 12 : 5.386714	7.582814	26.910995	
HEX 13 : 408CB50F	3F8A3F4F	41E7A590	
DEC 13 : 4.397102	1.080057	28.955841	
HEX 14 : 3FA3F42C	3FE7F202	4200499A	
DEC 14 : 1.280889	1.812073	32.071877	
HEX 15 : 3FF67BDD	407F6BB5	41F41556	
DEC 15 : 1.925655	3.990949	30.510418	
16 : 0.000000	0.000000	0.000000	
17 : 0.000000	0.000000	0.000000	
18 : 0.000000	0.000000	0.000000	
19 : 0.000000	0.000000	0.000000	
20 : 0.000000	0.000000	0.000000	
21 : 0.000000	0.000000	0.000000	
22 : 0.000000	0.000000	0.000000	
23 : 0.000000	0.000000	0.000000	
24 : 0.000000	0.000000	0.000000	
25 : 0.000000	0.000000	0.000000	
26 : 0.000000	0.000000	0.000000	
27 : 0.000000	0.000000	0.000000	
28 : 0.000000	0.000000	0.000000	
29 : 0.000000	0.000000	0.000000	
30 : 0.000000	0.000000	0.000000	
31 : 0.000000	0.000000	0.000000	
32 : 0.000000	0.000000	0.000000	
33 : 0.000000	0.000000	0.000000	
34 : 0.000000	0.000000	0.000000	
35 : 0.000000	0.000000	0.000000	
36 : 0.000000	0.000000	0.000000	
37 : 0.000000	0.000000	0.000000	
38 : 0.000000	0.000000	0.000000	
39 : 0.000000	0.000000	0.000000	
40 : 0.000000	0.000000	0.000000	
41 : 0.000000	0.000000	0.000000	
42 : 0.000000	0.000000	0.000000	
43 : 0.000000	0.000000	0.000000	
44 : 0.000000	0.000000	0.000000	
45 : 0.000000	0.000000	0.000000	
46 : 0.000000	0.000000	0.000000	
47 : 0.000000	0.000000	0.000000	
48 : 0.000000	0.000000	0.000000	
49 : 0.000000	0.000000	0.000000	
50 : 0.000000	0.000000	0.000000	
51 : 0.000000	0.000000	0.000000	
52 : 0.000000	0.000000	0.000000	
53 : 0.000000	0.000000	0.000000	
54 : 0.000000	0.000000	0.000000	
55 : 0.000000	0.000000	0.000000	
56 : 0.000000	0.000000	0.000000	
57 : 0.000000	0.000000	0.000000	
58 : 0.000000	0.000000	0.000000	
59 : 0.000000	0.000000	0.000000	
60 : 0.000000	0.000000	0.000000	
61 : 0.000000	0.000000	0.000000	
62 : 0.000000	0.000000	0.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
