Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 18
HEX 1 : 4172CB1B	4080C36E	41DE4DCF	
DEC 1 : 15.174586	4.023856	27.787992	
HEX 2 : 4132B308	4083B41E	41E0388C	
DEC 2 : 11.168709	4.115737	28.027611	
HEX 3 : 41108DC5	4070A234	4206F010	
DEC 3 : 9.034612	3.759900	33.734436	
HEX 4 : 4165C4A0	40A811C3	4203A425	
DEC 4 : 14.360504	5.252168	32.910297	
HEX 5 : 4163A571	3ABDA943	4205B2E3	
DEC 5 : 14.227891	0.001447	33.424694	
HEX 6 : 4113BC35	408A1E36	41FE96FC	
DEC 6 : 9.233449	4.316188	31.823723	
HEX 7 : 410BAF49	40B6D549	420549CA	
DEC 7 : 8.730294	5.713536	33.322060	
HEX 8 : 414B51C8	40C7C001	4205C90A	
DEC 8 : 12.707466	6.242188	33.446327	
HEX 9 : 41769B8E	40EB13B8	41ED8AD2	
DEC 9 : 15.412977	7.346157	29.692783	
HEX 10 : 4149CF8B	400AEF0B	4202911B	
DEC 10 : 12.613170	2.170840	32.641705	
HEX 11 : 41371B96	3FD67696	41DD1F60	
DEC 11 : 11.444235	1.675494	27.640320	
HEX 12 : 411FABC0	3FE4594B	41D23C43	
DEC 12 : 9.979431	1.783975	26.279425	
HEX 13 : 410EE2F6	408CC38D	41E60DE9	
DEC 13 : 8.930410	4.398871	28.756792	
HEX 14 : 4113A121	3AC0F020	41F901F6	
DEC 14 : 9.226838	0.001472	31.125957	
HEX 15 : 417DA2E1	40B3B44E	41E65489	
DEC 15 : 15.852265	5.615760	28.791277	
HEX 16 : 417F8D24	40DB778C	41D9D466	
DEC 16 : 15.971958	6.858343	27.228710	
HEX 17 : 4167BB46	404A9AFA	42004FCD	
DEC 17 : 14.483221	3.165709	32.077930	
HEX 18 : 41752C7C	3FAE72C1	41FEF0AA	
DEC 18 : 15.323360	1.362877	31.867512	
19 : 0.000000	0.000000	0.000000	
20 : 0.000000	0.000000	0.000000	
21 : 0.000000	0.000000	0.000000	
22 : 0.000000	0.000000	0.000000	
23 : 0.000000	0.000000	0.000000	
24 : 0.000000	0.000000	0.000000	
25 : 0.000000	0.000000	0.000000	
26 : 0.000000	0.000000	0.000000	
27 : 0.000000	0.000000	0.000000	
28 : 0.000000	0.000000	0.000000	
29 : 0.000000	0.000000	0.000000	
30 : 0.000000	0.000000	0.000000	
31 : 0.000000	0.000000	0.000000	
32 : 0.000000	0.000000	0.000000	
33 : 0.000000	0.000000	0.000000	
34 : 0.000000	0.000000	0.000000	
35 : 0.000000	0.000000	0.000000	
36 : 0.000000	0.000000	0.000000	
37 : 0.000000	0.000000	0.000000	
38 : 0.000000	0.000000	0.000000	
39 : 0.000000	0.000000	0.000000	
40 : 0.000000	0.000000	0.000000	
41 : 0.000000	0.000000	0.000000	
42 : 0.000000	0.000000	0.000000	
43 : 0.000000	0.000000	0.000000	
44 : 0.000000	0.000000	0.000000	
45 : 0.000000	0.000000	0.000000	
46 : 0.000000	0.000000	0.000000	
47 : 0.000000	0.000000	0.000000	
48 : 0.000000	0.000000	0.000000	
49 : 0.000000	0.000000	0.000000	
50 : 0.000000	0.000000	0.000000	
51 : 0.000000	0.000000	0.000000	
52 : 0.000000	0.000000	0.000000	
53 : 0.000000	0.000000	0.000000	
54 : 0.000000	0.000000	0.000000	
55 : 0.000000	0.000000	0.000000	
56 : 0.000000	0.000000	0.000000	
57 : 0.000000	0.000000	0.000000	
58 : 0.000000	0.000000	0.000000	
59 : 0.000000	0.000000	0.000000	
60 : 0.000000	0.000000	0.000000	
61 : 0.000000	0.000000	0.000000	
62 : 0.000000	0.000000	0.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
