Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 97
HEX 1 : 40848A63	40A18916	408993EC	
DEC 1 : 4.141893	5.047984	4.299307	
HEX 2 : 40020319	40DB9F47	408F0CB5	
DEC 2 : 2.031439	6.863193	4.470301	
HEX 3 : 3BCAE643	40385DD9	409AA179	
DEC 3 : 0.006192	2.880728	4.832211	
HEX 4 : 3BCAD57C	40E3AA8D	40FA5D51	
DEC 4 : 0.006190	7.114569	7.823891	
HEX 5 : 3BCAE643	3FFF2C41	40D759FF	
DEC 5 : 0.006192	1.993538	6.729736	
HEX 6 : 409FC313	404B07E6	403803C5	
DEC 6 : 4.992563	3.172357	2.875230	
HEX 7 : 40B5ADFD	40AF21E2	4039693C	
DEC 7 : 5.677489	5.472886	2.897048	
HEX 8 : 3BCADDDF	40395C8E	3FC5DA7B	
DEC 8 : 0.006191	2.896274	1.545730	
HEX 9 : 3F83259A	406CEA60	40CB0AB9	
DEC 9 : 1.024585	3.701805	6.345059	
HEX 10 : 40592279	40DE654B	3F4F80CB	
DEC 10 : 3.392729	6.949865	0.810559	
HEX 11 : 402A50EC	40F54747	40CFA667	
DEC 11 : 2.661189	7.664951	6.489063	
HEX 12 : 4091736F	3FFD14EC	3F93DB01	
DEC 12 : 4.545341	1.977201	1.155121	
HEX 13 : 3FE5FD50	405AFAA0	3F537D0F	
DEC 13 : 1.796793	3.421547	0.826127	
HEX 14 : 41058469	400E106F	40A6F3D6	
DEC 14 : 8.344827	2.219753	5.217265	
HEX 15 : 40552DC7	40453B3A	408D9E41	
DEC 15 : 3.330919	3.081740	4.425568	
HEX 16 : 3FBBB906	3AC111AE	3A5E4C51	
DEC 16 : 1.466584	0.001473	0.000848	
HEX 17 : 407C08F6	40E9FF73	41042371	
DEC 17 : 3.938047	7.312433	8.258653	
HEX 18 : 406F9047	40909B7C	4005645E	
DEC 18 : 3.743181	4.518980	2.084251	
HEX 19 : 40A87FDA	3AC111AE	409B921F	
DEC 19 : 5.265607	0.001473	4.861587	
HEX 20 : 4038DF61	3EBD2A41	4091D6CD	
DEC 20 : 2.888634	0.369463	4.557471	
HEX 21 : 40FBEB83	40FC0453	3FCFC5A4	
DEC 21 : 7.872499	7.875528	1.623219	
HEX 22 : 3BCAE643	40C8CABE	40536B59	
DEC 22 : 0.006192	6.274749	3.303427	
HEX 23 : 40E09733	40E0B0E2	3A4B6C7A	
DEC 23 : 7.018457	7.021592	0.000776	
HEX 24 : 408D9FAE	3F8C0CFA	40F7C187	
DEC 24 : 4.425742	1.094146	7.742374	
HEX 25 : 3BCAA327	3ABD87B5	41051550	
DEC 25 : 0.006184	0.001446	8.317703	
HEX 26 : 3FB5EF28	40D98254	3F8E3BCD	
DEC 26 : 1.421361	6.797159	1.111200	
HEX 27 : 3BCAE643	40A4273F	40A18ED6	
DEC 27 : 0.006192	5.129791	5.048686	
HEX 28 : 40C4CBD5	40120D4E	3A4C35CE	
DEC 28 : 6.149882	2.282062	0.000779	
HEX 29 : 3F2F3A8A	40F2456F	40BFF4B2	
DEC 29 : 0.684487	7.570976	5.998620	
HEX 30 : 40D953C1	4066DB05	40A150AF	
DEC 30 : 6.791474	3.607118	5.041099	
HEX 31 : 40A7DB25	3FE09BE1	40BA5B70	
DEC 31 : 5.245501	1.754757	5.823662	
HEX 32 : 405557A3	3AC0CE92	40CF1D5C	
DEC 32 : 3.333474	0.001471	6.472334	
HEX 33 : 3C2C753E	40826007	404E8D11	
DEC 33 : 0.010526	4.074222	3.227360	
HEX 34 : 40FA203C	40E672EB	41075B8F	
DEC 34 : 7.816435	7.201528	8.459853	
HEX 35 : 402C4DF9	3FD12F1B	4038B4EE	
DEC 35 : 2.692259	1.634250	2.886043	
HEX 36 : 3BCAD57C	40A75142	3FCC0E9D	
DEC 36 : 0.006190	5.228669	1.594196	
HEX 37 : 40D84CFB	40B11867	40BE4B43	
DEC 37 : 6.759397	5.534229	5.946687	
HEX 38 : 40E9709B	405F6D98	3F8DE311	
DEC 38 : 7.294996	3.491064	1.108492	
HEX 39 : 3F416E48	3FEF774B	3A4D423E	
DEC 39 : 0.755589	1.870828	0.000783	
HEX 40 : 40DEF1A2	3AC111AE	3E4CA8A0	
DEC 40 : 6.966996	0.001473	0.199862	
HEX 41 : 40290247	40096A8C	41041608	
DEC 41 : 2.640764	2.147128	8.255379	
HEX 42 : 40C44C4D	408B4057	40F45F46	
DEC 42 : 6.134314	4.351604	7.636630	
HEX 43 : 40744DEC	3E0F5409	3A4C35CE	
DEC 43 : 3.817256	0.139969	0.000779	
HEX 44 : 40DF7879	404D0CFE	40440C02	
DEC 44 : 6.983456	3.203918	3.063233	
HEX 45 : 4041246C	408DA303	40D3E595	
DEC 45 : 3.017848	4.426149	6.621775	
HEX 46 : 41041F67	3F9FD70A	40F960CA	
DEC 46 : 8.257667	1.248750	7.793065	
HEX 47 : 40952006	41008E27	40C648F5	
DEC 47 : 4.660159	8.034705	6.196406	
HEX 48 : 40B2B38B	40F6B11A	402BA151	
DEC 48 : 5.584417	7.709119	2.681721	
HEX 49 : 3BCAE643	3F1C54EF	3FCA6D37	
DEC 49 : 0.006192	0.610671	1.581458	
HEX 50 : 40BC4AA3	3B6CB74E	40D871B0	
DEC 50 : 5.884111	0.003612	6.763878	
HEX 51 : 409C88E3	40714F22	40BD8B37	
DEC 51 : 4.891710	3.770455	5.923244	
HEX 52 : 40A98C7A	40CBBFA5	3F7AFE93	
DEC 52 : 5.298398	6.367144	0.980447	
HEX 53 : 401E470B	40FFFB7C	4022470F	
DEC 53 : 2.473086	7.999449	2.535587	
HEX 54 : 3FE25C81	40B29805	402A4713	
DEC 54 : 1.768448	5.581057	2.660588	
HEX 55 : 4102F1C7	3FCC13C2	3A4C35CE	
DEC 55 : 8.184028	1.594353	0.000779	
HEX 56 : 40E5C289	40F49F84	40B7CD5E	
DEC 56 : 7.179997	7.644472	5.743819	
HEX 57 : 40E41A2A	40D89B54	4062F007	
DEC 57 : 7.128194	6.768961	3.545900	
HEX 58 : 3FCE70F4	40BA09FF	40C720D5	
DEC 58 : 1.612822	5.813720	6.222758	
HEX 59 : 4074DAB6	410136A6	408573E0	
DEC 59 : 3.825849	8.075842	4.170395	
HEX 60 : 3BCA9AC3	40A5B34E	40E75CF6	
DEC 60 : 0.006183	5.178138	7.230098	
HEX 61 : 40012D9D	406687EC	40338EDE	
DEC 61 : 2.018409	3.602046	2.805595	
HEX 62 : 404DBA13	409E55BF	3A4C35CE	
DEC 62 : 3.214482	4.947967	0.000779	
HEX 63 : 40E4B631	3F1A13B2	409180BB	
DEC 63 : 7.147240	0.601863	4.546964	
HEX 64 : 41008247	409CEF7C	404A68C2	
DEC 64 : 8.031806	4.904234	3.162644	
HEX 65 : 4052EDA6	4010A50D	40CBCF4A	
DEC 65 : 3.295755	2.260074	6.369054	
HEX 66 : 41001E53	3AC111AE	40C7FE5A	
DEC 66 : 8.007403	0.001473	6.249799	
HEX 67 : 40E6541E	40BFB0F0	3FDA3D68	
DEC 67 : 7.197768	5.990349	1.704999	
HEX 68 : 40761A1A	3ADB6A1F	402C4B5A	
DEC 68 : 3.845343	0.001674	2.692099	
HEX 69 : 4102E420	408385BC	40CCB385	
DEC 69 : 8.180695	4.110075	6.396914	
