Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 414B44DE	4086C04D	40B4AB32	
DEC 1 : 12.704313	4.210974	5.645898	
HEX 2 : 41551175	4104D23A	403F92EF	
DEC 2 : 13.316762	8.301325	2.993343	
HEX 3 : 414CB9B5	4047BB80	40657929	
DEC 3 : 12.795339	3.120819	3.585520	
HEX 4 : 4170BA2D	3AC0CE92	407BD56F	
DEC 4 : 15.045453	0.001471	3.934902	
HEX 5 : 4134E7EA	403EE4CD	40CC22E4	
DEC 5 : 11.306620	2.982715	6.379259	
HEX 6 : 4184DAC7	40333044	40B61EDC	
DEC 6 : 16.606825	2.799821	5.691267	
HEX 7 : 414119C0	3AC111AE	40FA43A4	
DEC 7 : 12.068787	0.001473	7.820757	
HEX 8 : 41867FFF	3E10691F	40408C93	
DEC 8 : 16.812498	0.141026	3.008580	
HEX 9 : 41260966	40F989E7	404BAD43	
DEC 9 : 10.377295	7.798084	3.182450	
HEX 10 : 412D432D	409A7AE3	3E0F7B18	
DEC 10 : 10.828900	4.827501	0.140118	
HEX 11 : 4153B434	3AC0CE92	40BF93F0	
DEC 11 : 13.231495	0.001471	5.986809	
HEX 12 : 41167CF9	40267A92	40DBD1C6	
DEC 12 : 9.405511	2.601231	6.869357	
HEX 13 : 414179AD	3AC23FAB	4089A3F4	
DEC 13 : 12.092206	0.001482	4.301264	
HEX 14 : 412A680A	408611B2	4101B305	
DEC 14 : 10.650400	4.189660	8.106206	
HEX 15 : 41810A79	4103DB68	4025C95C	
DEC 15 : 16.130114	8.241066	2.590415	
HEX 16 : 41797635	4090AF98	40B85A49	
DEC 16 : 15.591359	4.521435	5.761021	
HEX 17 : 417E47B6	40C12BBB	401FC7E3	
DEC 17 : 15.892508	6.036588	2.496575	
HEX 18 : 4183B395	3FC0DA4D	40E6B96B	
DEC 18 : 16.462687	1.506662	7.210134	
HEX 19 : 413011BC	41052FC4	40A286F9	
DEC 19 : 11.004330	8.324162	5.078976	
HEX 20 : 415F7C5C	40C6A1E4	404F2728	
DEC 20 : 13.967861	6.207262	3.236765	
HEX 21 : 41813547	407719E7	40FBF5F3	
DEC 21 : 16.151014	3.860956	7.873773	
HEX 22 : 415F3DAB	4071062D	41070DC2	
DEC 22 : 13.952556	3.766002	8.440859	
HEX 23 : 41345EC3	3FEA9B84	405B7F24	
DEC 23 : 11.273135	1.832871	3.429635	
HEX 24 : 4181BE72	4024650A	3A4C35CE	
DEC 24 : 16.217991	2.568667	0.000779	
HEX 25 : 4164C6E5	4050DF2F	409CB40B	
DEC 25 : 14.298558	3.263622	4.896978	
HEX 26 : 413FAB67	402CDF7F	4103DD27	
DEC 26 : 11.979346	2.701141	8.241492	
HEX 27 : 41838968	3AC111AE	40B6CCD1	
DEC 27 : 16.442093	0.001473	5.712502	
HEX 28 : 4167C9D4	41067205	3A4C35CE	
DEC 28 : 14.486774	8.402837	0.000779	
HEX 29 : 416C890B	3EB37E4E	40ECDC42	
DEC 29 : 14.783458	0.350573	7.401887	
HEX 30 : 414490E3	3FE84E38	3A47C0F4	
DEC 30 : 12.285373	1.814887	0.000762	
