Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 4088351A	4149EE1F	41077DC6	
DEC 1 : 4.256482	12.620635	8.468206	
HEX 2 : 40C77441	414CB661	3A4C35CE	
DEC 2 : 6.232941	12.794526	0.000779	
HEX 3 : 407B3AA3	416480A6	40A7B969	
DEC 3 : 3.925454	14.281408	5.241383	
HEX 4 : 40FB048A	418172A6	3A4AA327	
DEC 4 : 7.844304	16.180981	0.000773	
HEX 5 : 40878A07	41557F75	3A4CBC06	
DEC 5 : 4.235599	13.343617	0.000781	
HEX 6 : 40CBE834	415065E5	40EAC43D	
DEC 6 : 6.372095	13.024877	7.336455	
HEX 7 : 4016BD3C	412CDC66	3FF09692	
DEC 7 : 2.355300	10.803808	1.879595	
HEX 8 : 3F4C5847	4179A346	3F30300A	
DEC 8 : 0.798222	15.602362	0.688233	
HEX 9 : 40C83148	416632D6	407E7E7C	
DEC 9 : 6.256016	14.387411	3.976470	
HEX 10 : 4048C975	414157E1	40A209F6	
DEC 10 : 3.137296	12.083955	5.063716	
HEX 11 : 3BCAEEA6	415D93C5	3E12C301	
DEC 11 : 0.006193	13.848577	0.143322	
HEX 12 : 402B477C	4163B53E	40EB5AE4	
DEC 12 : 2.676238	14.231749	7.354845	
HEX 13 : 3BCADDDF	41173BE7	40BEDBB8	
DEC 13 : 0.006191	9.452125	5.964321	
HEX 14 : 40075126	4185690A	3FDF397E	
DEC 14 : 2.114328	16.676289	1.743942	
HEX 15 : 3BCAEEA6	4123AEA3	4083E63A	
DEC 15 : 0.006193	10.230136	4.121854	
HEX 16 : 403D30E8	411D3644	40DA1CB9	
DEC 16 : 2.956110	9.825748	6.816006	
HEX 17 : 40EE3E75	41329ED9	40E0C53D	
DEC 17 : 7.445124	11.163781	7.024077	
HEX 18 : 4049DB77	415ECB2F	405B9518	
DEC 18 : 3.154020	13.924605	3.430975	
HEX 19 : 4070BE49	41430C85	3FC84778	
DEC 19 : 3.761614	12.190557	1.564681	
HEX 20 : 4023F0AE	417D561F	40601BE7	
DEC 20 : 2.561565	15.833526	3.501703	
HEX 21 : 3FFE713F	410CC4E4	409F83F9	
DEC 21 : 1.987831	8.798069	4.984860	
HEX 22 : 408346DA	4122104E	40A6929F	
DEC 22 : 4.102399	10.128981	5.205398	
HEX 23 : 3F8C77BC	411728A8	4028F1D8	
DEC 23 : 1.097404	9.447426	2.639761	
HEX 24 : 40C66DCE	4115FF1E	3FBD5BFF	
DEC 24 : 6.200904	9.374784	1.479370	
HEX 25 : 40C77B01	4115741A	40D44791	
DEC 25 : 6.233765	9.340845	6.633736	
HEX 26 : 3BD78C43	4111F55B	4100FB92	
DEC 26 : 0.006578	9.122401	8.061419	
HEX 27 : 3E936977	4180DCE3	40FA0A96	
DEC 27 : 0.287914	16.107855	7.813792	
HEX 28 : 40F4E067	417F9749	4095202C	
DEC 28 : 7.652393	15.974435	4.660177	
HEX 29 : 400B1A09	4142F75C	40541C3F	
DEC 29 : 2.173464	12.185390	3.314224	
HEX 30 : 3BCAAB8A	411C3913	3EF53544	
