Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 418CEA60	415F2DC9	406964D4	
DEC 1 : 17.614441	13.948678	3.646779	
HEX 2 : 41AA2081	4143C399	40590EFA	
DEC 2 : 21.265871	12.235253	3.391539	
HEX 3 : 41A616AB	41434F54	3FABCA8E	
DEC 3 : 20.761068	12.206867	1.342119	
HEX 4 : 419CBECE	4132B43E	4025E44B	
DEC 4 : 19.593166	11.169004	2.592059	
HEX 5 : 41B8413C	4167101C	40B0845C	
DEC 5 : 23.031853	14.441433	5.516157	
HEX 6 : 41A44075	414EB580	4104F424	
DEC 6 : 20.531473	12.919312	8.309605	
HEX 7 : 4195B0AD	4174CA15	3E25EFE9	
DEC 7 : 18.711267	15.299336	0.162048	
HEX 8 : 419ED711	4174B9AF	40808345	
DEC 8 : 19.855013	15.295333	4.016024	
HEX 9 : 41B085C4	417D0766	3F315758	
DEC 9 : 22.065315	15.814306	0.692739	
HEX 10 : 418E3CF0	4140438D	40462179	
DEC 10 : 17.779755	12.016492	3.095793	
HEX 11 : 41B4C7A9	4125E9D2	40E58FE2	
DEC 11 : 22.597490	10.369585	7.173814	
HEX 12 : 41C7EF1A	413E9A67	3FC99E17	
DEC 12 : 24.991749	11.912696	1.575137	
HEX 13 : 41BC9057	4128772C	3FEA6949	
DEC 13 : 23.570478	10.529095	1.831338	
HEX 14 : 41962FE0	41170235	40625BC0	
DEC 14 : 18.773376	9.438039	3.536850	
HEX 15 : 41A70C71	412DF41A	410512A9	
DEC 15 : 20.881075	10.872095	8.317056	
HEX 16 : 41BF912C	411B1BC8	40B4464E	
DEC 16 : 23.945885	9.694283	5.633582	
HEX 17 : 41C1B7A9	415D617F	3FE0FF09	
DEC 17 : 24.214678	13.836303	1.757783	
HEX 18 : 41B73162	414A7271	408EF740	
DEC 18 : 22.899113	12.652940	4.467682	
HEX 19 : 41AA0D8C	41528D79	40AFAFC7	
DEC 19 : 21.256615	13.159539	5.490207	
HEX 20 : 41CADD79	412D5A7D	40E4FE80	
DEC 20 : 25.358141	10.834592	7.156067	
HEX 21 : 419AD133	4133BD9F	3E74ED2D	
DEC 21 : 19.352148	11.233794	0.239186	
HEX 22 : 41A4C047	41266764	40849920	
DEC 22 : 20.593885	10.400242	4.143692	
HEX 23 : 41AE1821	416B13B1	407F77EE	
DEC 23 : 21.761782	14.692307	3.991695	
HEX 24 : 419244F2	4115D703	3AD8CB08	
DEC 24 : 18.283665	9.364993	0.001654	
HEX 25 : 4196D5FE	417B6F6D	40F571EF	
DEC 25 : 18.854488	15.714704	7.670158	
HEX 26 : 41BB3225	4162F586	40F25CAD	
DEC 26 : 23.399485	14.184942	7.573813	
HEX 27 : 419F8FD4	411517BC	3FF5D49D	
DEC 27 : 19.945229	9.318295	1.920551	
HEX 28 : 41C0E23F	4109D5FF	3FCFAA9B	
DEC 28 : 24.110472	8.614745	1.622394	
HEX 29 : 4197C1A6	4120FDC7	40ADA90B	
DEC 29 : 18.969555	10.061957	5.426885	
HEX 30 : 41B5B280	4134AE54	3C57C6FC	
DEC 30 : 22.712158	11.292561	0.013170	
HEX 31 : 41ACE72D	412A1198	400E9FDC	
DEC 31 : 21.612879	10.629295	2.228507	
HEX 32 : 41AA1FBB	41867603	40AA58DE	
DEC 32 : 21.265493	16.807623	5.323348	
HEX 33 : 41C00FA3	4141C61A	410008B9	
DEC 33 : 24.007635	12.110865	8.002130	
HEX 34 : 41A6225F	4183FB3B	40EBEF6D	
