Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 418BE3D7	41ACF707	4000A81E	
DEC 1 : 17.486250	21.620619	2.010261	
HEX 2 : 41B33729	41C53AE7	4046A815	
DEC 2 : 22.401934	24.653761	3.104009	
HEX 3 : 4198144C	41A69EFE	404239BD	
DEC 3 : 19.009911	20.827633	3.034774	
HEX 4 : 419D0A13	41A6323B	3F865B4B	
DEC 4 : 19.629919	20.774527	1.049661	
HEX 5 : 4196D825	41CB9621	403A2CA1	
DEC 5 : 18.855539	25.448305	2.908974	
HEX 6 : 41AE9DFB	4199F784	40990501	
DEC 6 : 21.827139	19.245857	4.781861	
HEX 7 : 419E984A	41B143E2	40E03F4B	
DEC 7 : 19.824360	22.158146	7.007726	
HEX 8 : 41B75AE1	41BD9034	40D0F72B	
DEC 8 : 22.919374	23.695412	6.530172	
HEX 9 : 41ABF1BD	41A999FE	3FD1F089	
DEC 9 : 21.493036	21.200191	1.640153	
HEX 10 : 41A6A505	41A67020	40B15270	
DEC 10 : 20.830576	20.804749	5.541313	
HEX 11 : 418E72C8	419FF471	3F4B8BF0	
DEC 11 : 17.806046	19.994356	0.795104	
HEX 12 : 41B3697D	41BA466A	3FD2BF7F	
DEC 12 : 22.426508	23.284382	1.646469	
HEX 13 : 418E5958	4194773D	40B1F619	
DEC 13 : 17.793625	18.558222	5.561291	
HEX 14 : 41BBC10A	41A42056	3F4679AB	
DEC 14 : 23.469257	20.515789	0.775294	
HEX 15 : 41AEEC88	41C8B847	40A95087	
DEC 15 : 21.865494	25.089979	5.291080	
HEX 16 : 41B087B8	418FEED1	40F4F4EF	
DEC 16 : 22.066269	17.991610	7.654899	
HEX 17 : 41936537	41AED4C4	40B396D9	
DEC 17 : 18.424421	21.853889	5.612164	
HEX 18 : 41B57179	41C924B7	3F3FCF5F	
DEC 18 : 22.680407	25.142927	0.749258	
HEX 19 : 41AFD598	41B1E66B	3A4C35CE	
DEC 19 : 21.979294	22.237509	0.000779	
HEX 20 : 41A022E1	418A05B9	4014E2F3	
DEC 20 : 20.017031	17.252794	2.326352	
HEX 21 : 41B54EC8	41A7B3AE	408602CD	
DEC 21 : 22.663467	20.962734	4.187842	
HEX 22 : 41AE5C47	41AE89A5	40E02D28	
DEC 22 : 21.795057	21.817209	7.005512	
HEX 23 : 41CAA222	41CA8D8C	4062086C	
DEC 23 : 25.329166	25.319115	3.531764	
HEX 24 : 41A09A38	41956DD7	40800A5F	
DEC 24 : 20.075302	18.678633	4.001266	
HEX 25 : 41A5FD0D	419984B9	3FC4B5AA	
DEC 25 : 20.748560	19.189806	1.536794	
HEX 26 : 4188CC10	418E533B	40766317	
DEC 26 : 17.099640	17.790640	3.849798	
