Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 3BC98E54	406C6A83	41778ED5	
DEC 1 : 0.006151	3.694001	15.472371	
HEX 2 : 4043B61C	3FABF6F5	41209E4A	
DEC 2 : 3.057990	1.343474	10.038645	
HEX 3 : 405B59C5	40B70D8F	41670F62	
DEC 3 : 3.427354	5.720405	14.441256	
HEX 4 : 40BAD597	3ABAE89F	417DE845	
DEC 4 : 5.838573	0.001426	15.869206	
HEX 5 : 3F717668	3ABEF8CF	413A1234	
DEC 5 : 0.943213	0.001457	11.629444	
HEX 6 : 404A8ACE	40D725E1	41424757	
DEC 6 : 3.164722	6.723374	12.142417	
HEX 7 : 4003AB08	40EEEFCC	41211667	
DEC 7 : 2.057314	7.466772	10.067969	
HEX 8 : 3BC9AFE2	407D3C82	410D05BB	
DEC 8 : 0.006155	3.956818	8.813899	
HEX 9 : 3FED5A5C	4095A2F5	412AE999	
DEC 9 : 1.854320	4.676142	10.682031	
HEX 10 : 4096DA1B	40B2E521	414B456C	
DEC 10 : 4.714124	5.590470	12.704449	
HEX 11 : 40D20C6D	40F97E28	41228F65	
DEC 11 : 6.564017	7.796650	10.160008	
HEX 12 : 40A58C7E	40E1BE4F	415FCBFD	
DEC 12 : 5.173400	7.054481	13.987302	
HEX 13 : 3BCB1898	4096CAD3	41372170	
DEC 13 : 0.006198	4.712259	11.445663	
HEX 14 : 40107DB3	408AF78C	4178A47C	
DEC 14 : 2.257672	4.342718	15.540157	
HEX 15 : 40593366	406EFE7E	411918E2	
DEC 15 : 3.393762	3.734283	9.568575	
HEX 16 : 404EEE89	40B7F4FD	411B554F	
DEC 16 : 3.233309	5.748656	9.708327	
HEX 17 : 40205F52	3FFFA8EF	4150A2FE	
DEC 17 : 2.505818	1.997343	13.039793	
HEX 18 : 40C4178B	3FC86645	416A82D8	
DEC 18 : 6.127874	1.565621	14.656944	
HEX 19 : 40A97931	41024723	413BB7F4	
DEC 19 : 5.296044	8.142367	11.732410	
HEX 20 : 409A5E68	3FD8EF56	413C5F95	
DEC 20 : 4.824024	1.694804	11.773335	
HEX 21 : 3BCB20FB	40AD08D7	41847A98	
DEC 21 : 0.006199	5.407329	16.559860	
HEX 22 : 409DCF0E	3FF88A9C	411ACE75	
DEC 22 : 4.931525	1.941730	9.675405	
HEX 23 : 3F96F9CA	3F35C2A0	411C62FB	
DEC 23 : 1.179498	0.710001	9.774165	
HEX 24 : 40F6447C	4067EB9A	414A593C	
DEC 24 : 7.695860	3.623755	12.646786	
HEX 25 : 410146DC	4096BDE8	4108283A	
DEC 25 : 8.079800	4.710682	8.509821	
HEX 26 : 40CB71B7	40A69077	415C6F58	
DEC 26 : 6.357631	5.205135	13.777184	
HEX 27 : 405353E7	4065E6A3	415F25C5	
DEC 27 : 3.301996	3.592202	13.946721	
HEX 28 : 3F981A05	4039DF26	4120954C	
DEC 28 : 1.188294	2.904245	10.036449	
HEX 29 : 404101FC	40E20664	418767E3	
DEC 29 : 3.015746	7.063280	16.925726	
HEX 30 : 402D7336	400ED862	4182128A	
DEC 30 : 2.710157	2.231957	16.259052	
HEX 31 : 3BD3F184	40ED1F5A	415127E1	
DEC 31 : 0.006468	7.410077	13.072236	
