Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 4142D4C3	40E29D39	412DFB05	
DEC 1 : 12.176944	7.081692	10.873784	
HEX 2 : 4128482B	40C09716	41336EEC	
DEC 2 : 10.517619	6.018443	11.214581	
HEX 3 : 4169CF88	4104603E	412CB9CA	
DEC 3 : 14.613167	8.273497	10.795359	
HEX 4 : 4126E4E1	409D98FA	417A2804	
DEC 4 : 10.430879	4.924924	15.634769	
HEX 5 : 4161A9F9	40CCD5C9	4124F8E5	
DEC 5 : 14.103997	6.401097	10.310765	
HEX 6 : 416BDFC2	4102E5B6	414C9FF8	
DEC 6 : 14.742128	8.181082	12.789055	
HEX 7 : 413ACE1A	3FE4730C	414F2A83	
DEC 7 : 11.675318	1.784761	12.947879	
HEX 8 : 4141B1BA	3B388CA4	411EF366	
DEC 8 : 12.105890	0.002816	9.934423	
HEX 9 : 410879E0	40D2E804	415A7742	
DEC 9 : 8.529755	6.590822	13.654116	
HEX 10 : 413ADD06	40B29B09	41167647	
DEC 10 : 11.678961	5.581425	9.403876	
HEX 11 : 4182F0C0	3F513C04	41759F07	
DEC 11 : 16.367554	0.817322	15.351325	
HEX 12 : 4185FD75	40314D3C	417267B4	
DEC 12 : 16.748758	2.770339	15.150318	
HEX 13 : 411EDDDC	40FF1FA1	41725340	
DEC 13 : 9.929165	7.972611	15.145325	
HEX 14 : 41809386	40617DAF	41222338	
DEC 14 : 16.072033	3.523296	10.133598	
HEX 15 : 4161B532	3D7C72E2	4124B7FA	
DEC 15 : 14.106737	0.061633	10.294916	
HEX 16 : 4120CE0E	3F19188F	415396E0	
DEC 16 : 10.050306	0.598031	13.224335	
HEX 17 : 4123087A	4082DB05	412564F0	
DEC 17 : 10.189569	4.089236	10.337143	
HEX 18 : 41128D0B	40435F4E	410CD586	
DEC 18 : 9.159434	3.052692	8.802130	
HEX 19 : 4134581B	3AC111AE	413C1D16	
DEC 19 : 11.271510	0.001473	11.757101	
HEX 20 : 410CAAD3	40E9E8CB	413903B6	
DEC 20 : 8.791705	7.309667	11.563406	
HEX 21 : 416B68F8	3FFAB9AA	417D3213	
DEC 21 : 14.713127	1.958791	15.824725	
HEX 22 : 4182B028	40F00FFE	413CA374	
DEC 22 : 16.336014	7.501952	11.789906	
HEX 23 : 41658FD6	3F92B407	415D2645	
DEC 23 : 14.347616	1.146119	13.821843	
HEX 24 : 413530FA	40D054A6	416CE293	
DEC 24 : 11.324457	6.510333	14.805316	
HEX 25 : 417D97C0	3AC111AE	41112DEC	
DEC 25 : 15.849548	0.001473	9.073711	
HEX 26 : 4186277C	40E6BED5	415B877E	
DEC 26 : 16.769279	7.210795	13.720579	
HEX 27 : 412D369D	4046FFC9	416484C8	
DEC 27 : 10.825833	3.109362	14.282417	
HEX 28 : 4151D439	409D421A	41335F54	
DEC 28 : 13.114312	4.914319	11.210773	
HEX 29 : 417834EA	405EDDC6	41435D58	
DEC 29 : 15.512918	3.482286	12.210289	
HEX 30 : 4151D88F	40F3EC3E	41676C81	
DEC 30 : 13.115371	7.622588	14.463990	
HEX 31 : 41456372	40928ABB	416BEE72	
DEC 31 : 12.336779	4.579435	14.745714	
HEX 32 : 4109D7CD	3FFD896A	413F89B8	
DEC 32 : 8.615186	1.980756	11.971123	
HEX 33 : 413FC847	3AC1333C	415CC595	
DEC 33 : 11.986396	0.001474	13.798238	
HEX 34 : 41203D2C	40A2EA77	415AF81B	
DEC 34 : 10.014935	5.091121	13.685573	
HEX 35 : 4128B8AD	3FD411A1	4112A265	
DEC 35 : 10.545087	1.656788	9.164647	
HEX 36 : 415525AE	3E70D38D	41451443	
DEC 36 : 13.321699	0.235182	12.317447	
HEX 37 : 4116AFF2	403D9F9D	417B2032	
DEC 37 : 9.417955	2.962867	15.695360	
HEX 38 : 413DB425	405FEC92	413EEF27	
DEC 38 : 11.856481	3.498814	11.933387	
HEX 39 : 4108A34C	3E9D8794	416BCA08	
DEC 39 : 8.539867	0.307675	14.736824	
HEX 40 : 41403D81	408AC880	4185A34A	
DEC 40 : 12.015016	4.336975	16.704731	
HEX 41 : 413E69BE	40AA49CB	414C2806	
DEC 41 : 11.900816	5.321508	12.759771	
HEX 42 : 41868218	40C83EAF	411B3D1F	
DEC 42 : 16.813522	6.257652	9.702422	
HEX 43 : 4160EAD1	40763CFF	417E610A	
DEC 43 : 14.057328	3.847473	15.898691	
HEX 44 : 415FAACE	404E542E	412952C2	
DEC 44 : 13.979200	3.223888	10.582705	
HEX 45 : 415DFB07	4107E8E3	410E5D3C	
DEC 45 : 13.873786	8.494357	8.897762	
HEX 46 : 41734EE6	40A67FFA	41126256	
DEC 46 : 15.206762	5.203122	9.149008	
HEX 47 : 410B9848	40CFB3BC	417BD534	
DEC 47 : 8.724678	6.490690	15.739552	
HEX 48 : 4159D347	3FDB1865	41141E04	
DEC 48 : 13.614081	1.711682	9.257328	
HEX 49 : 412B98BD	3F5D3719	4171698B	
DEC 49 : 10.724790	0.864122	15.088267	
HEX 50 : 413D863B	40F90F45	410DA313	
DEC 50 : 11.845271	7.783114	8.852313	
HEX 51 : 414ACD28	41054539	414832D7	
DEC 51 : 12.675087	8.329400	12.512412	
HEX 52 : 412BEB8C	40EA5022	414EE037	
DEC 52 : 10.745007	7.322282	12.929740	
HEX 53 : 414A67F5	3F21C94F	417938A1	
DEC 53 : 12.650380	0.631978	15.576325	
HEX 54 : 4119DADE	40C162FE	41144CB5	
DEC 54 : 9.615934	6.043334	9.268727	
HEX 55 : 4179232A	3FFD224B	410F1285	
DEC 55 : 15.571085	1.977609	8.942021	
HEX 56 : 417CE861	3AC111AE	41512B07	
DEC 56 : 15.806733	0.001473	13.073005	
HEX 57 : 4118F36C	3AC111AE	41274AE5	
DEC 57 : 9.559429	0.001473	10.455785	
HEX 58 : 4183F94F	409686C2	416B4AD4	
DEC 58 : 16.496733	4.703950	14.705769	
HEX 59 : 415B16E8	401B4507	4146E719	
DEC 59 : 13.693092	2.426088	12.431420	
HEX 60 : 412F7D0A	3AC0485A	4187026D	
DEC 60 : 10.968027	0.001467	16.876184	
HEX 61 : 413B18FB	4106A036	4182995C	
DEC 61 : 11.693599	8.414114	16.324883	
HEX 62 : 410CBFC7	400D74B4	415F3181	
DEC 62 : 8.796821	2.210248	13.949586	
HEX 63 : 4167E56A	40E51FAC	41809D18	
DEC 63 : 14.493509	7.160116	16.076706	
HEX 64 : 418275A5	40D06B4C	41789897	
DEC 64 : 16.307444	6.513098	15.537253	
HEX 65 : 415D70F4	408CB62A	41536153	
DEC 65 : 13.840076	4.397237	13.211261	
HEX 66 : 4149D378	40CAB481	418404EC	
DEC 66 : 12.614128	6.334534	16.502403	
HEX 67 : 4126D6B2	4001C819	413205BA	
DEC 67 : 10.427416	2.027838	11.126398	
HEX 68 : 41849308	41057DAB	4183984B	
DEC 68 : 16.571793	8.343181	16.449362	
HEX 69 : 4175F30C	40A9D5B0	413678D7	
DEC 69 : 15.371838	5.307335	11.404502	
HEX 70 : 41288C90	41038FE4	412E1345	
DEC 70 : 10.534317	8.222630	10.879704	
HEX 71 : 4174AA78	4105FD08	416B3CDD	
DEC 71 : 15.291618	8.374275	14.702359	
HEX 72 : 41773C71	40B7D3FC	4155ABD7	
DEC 72 : 15.452256	5.744627	13.354453	
HEX 73 : 415B0935	40CE23CF	4147D446	
DEC 73 : 13.689748	6.441871	12.489325	
HEX 74 : 4147DFEE	3FDA2A13	412E9BA7	
DEC 74 : 12.492170	1.704409	10.913001	
HEX 75 : 410B484B	40A7C891	4140C459	
DEC 75 : 8.705150	5.243233	12.047936	
HEX 76 : 4115D59D	3F928D97	41843825	
DEC 76 : 9.364652	1.144946	16.527414	
HEX 77 : 4168B508	3AC111AE	41773381	
DEC 77 : 14.544197	0.001473	15.450074	
HEX 78 : 41836128	3FF3B59E	41509345	
DEC 78 : 16.422440	1.903980	13.035954	
HEX 79 : 4141E0EE	406D8A83	411F6413	
DEC 79 : 12.117414	3.711579	9.961932	
HEX 80 : 4180E8F1	3AC1333C	4130E622	
DEC 80 : 16.113741	0.001474	11.056185	
HEX 81 : 410A3A1C	40943C79	4183CAAD	
DEC 81 : 8.639187	4.632382	16.473963	
HEX 82 : 4127DF0B	40DA205A	418645B6	
DEC 82 : 10.491954	6.816449	16.784039	
HEX 83 : 411DFC9B	405E06C4	4146AF87	
DEC 83 : 9.874171	3.469163	12.417853	
HEX 84 : 416119C1	40B468D9	416D9E08	
DEC 84 : 14.068788	5.637799	14.851082	
HEX 85 : 414FF196	401FBEAD	4168E173	
DEC 85 : 12.996481	2.496013	14.555041	
HEX 86 : 41759598	3FECBB6F	41311286	
DEC 86 : 15.349022	1.849470	11.067022	
HEX 87 : 41708CDF	403FC565	4162539E	
DEC 87 : 15.034392	2.996423	14.145414	
HEX 88 : 413915C0	401476CD	41815C73	
