Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 41C5197B	401C8499	411EACC7	
DEC 1 : 24.637442	2.445593	9.917182	
HEX 2 : 41C703DC	40C7B05B	411D395E	
DEC 2 : 24.876884	6.240278	9.826506	
HEX 3 : 41948DD6	3AC111AE	41824C27	
DEC 3 : 18.569256	0.001473	16.287184	
HEX 4 : 41C756D3	3C0BCDFF	417139C2	
DEC 4 : 24.917395	0.008533	15.076601	
HEX 5 : 41AABC9A	3F930119	41165284	
DEC 5 : 21.342091	1.148471	9.395145	
HEX 6 : 41B24D82	41073D3C	4174D87C	
DEC 6 : 22.287846	8.452450	15.302853	
HEX 7 : 41CAC606	4089ED44	4120F23C	
DEC 7 : 25.346691	4.310213	10.059139	
HEX 8 : 41BEBBD0	4092004B	4176ACBE	
DEC 8 : 23.841705	4.562536	15.417173	
HEX 9 : 41BA1671	3FF03D25	4109513B	
DEC 9 : 23.260958	1.876866	8.582332	
HEX 10 : 4196E421	40EC9D32	4156B08E	
DEC 10 : 18.861391	7.394189	13.418104	
HEX 11 : 419DAB92	40D3FC5B	41838B69	
DEC 11 : 19.708775	6.624555	16.443071	
HEX 12 : 41C84324	40BB1FB4	41429B53	
DEC 12 : 25.032784	5.847620	12.162921	
HEX 13 : 41C8349B	40B9C6C3	41838C79	
DEC 13 : 25.025686	5.805513	16.443590	
HEX 14 : 41CBB1C4	40FB0534	414318FA	
DEC 14 : 25.461800	7.844385	12.193598	
HEX 15 : 41CA4EC8	3AC197E5	41127A22	
DEC 15 : 25.288467	0.001477	9.154818	
HEX 16 : 418A639D	4098DEE8	4137C08A	
DEC 16 : 17.298639	4.777210	11.484507	
HEX 17 : 41B729B5	40BF07A5	411CEEAE	
DEC 17 : 22.895365	5.969683	9.808271	
HEX 18 : 4191BFC1	40EA9425	4174F996	
DEC 18 : 18.218630	7.330584	15.310934	
HEX 19 : 419AFD63	3FDFFAA9	411D6308	
DEC 19 : 19.373724	1.749837	9.836678	
HEX 20 : 418C323D	40645A9F	41529EAA	
DEC 20 : 17.524530	3.568031	13.163736	
HEX 21 : 4190C4C2	40457EDC	41299984	
DEC 21 : 18.096073	3.085868	10.599979	
HEX 22 : 41C6FFEB	40B9BEF9	4163D00E	
DEC 22 : 24.874960	5.804562	14.238295	
HEX 23 : 41AC3A7E	4075AC43	41859EBF	
DEC 23 : 21.528561	3.838639	16.702513	
HEX 24 : 419D660D	4092B700	4184CB60	
DEC 24 : 19.674829	4.584839	16.599304	
HEX 25 : 418D80ED	3F9969B1	4135AB61	
DEC 25 : 17.687952	1.198538	11.354341	
HEX 26 : 41A1EEA4	40FCF9C2	416E0E1D	
DEC 26 : 20.241524	7.905488	14.878446	
HEX 27 : 41AB381F	40B31B3B	417B708B	
DEC 27 : 21.402403	5.597074	15.714976	
HEX 28 : 41BC0E84	3FDCE7D5	4151EF23	
DEC 28 : 23.507088	1.725825	13.120883	
HEX 29 : 41AEC6B3	3FE5DE05	417AEFA2	
DEC 29 : 21.847021	1.795838	15.683504	
HEX 30 : 418F9926	40AF8332	41804287	
DEC 30 : 17.949780	5.484765	16.032484	
HEX 31 : 4198EA94	40171ACE	41443F9C	
DEC 31 : 19.114540	2.361011	12.265530	
HEX 32 : 418C6E6A	41005213	4124A5CD	
DEC 32 : 17.553913	8.020038	10.290479	
HEX 33 : 41BA67B9	40D1A2BA	4177F2AE	
DEC 33 : 23.300646	6.551114	15.496748	
HEX 34 : 41B594FB	4021BA84	4129A629	
DEC 34 : 22.697744	2.527009	10.603066	
HEX 35 : 41A9CB1E	409B8805	411F8AE6	
DEC 35 : 21.224178	4.860354	9.971411	
HEX 36 : 41A6341C	3F4DE1D2	41573500	
DEC 36 : 20.775444	0.804227	13.450439	
HEX 37 : 41B9E301	40937030	41531E1B	
DEC 37 : 23.235842	4.607445	13.194850	
HEX 38 : 419BEB3B	40B6E554	4110F325	
DEC 38 : 19.489859	5.715494	9.059361	
HEX 39 : 41935001	40D2D0F8	41363E48	
DEC 39 : 18.414064	6.588009	11.390205	
HEX 40 : 418E80B8	40B0DDF0	41571D86	
DEC 40 : 17.812851	5.527092	13.444708	
HEX 41 : 41B87D6F	408F5244	413218BD	
DEC 41 : 23.061247	4.478792	11.131040	
HEX 42 : 419E02AA	3CCC8366	410DF016	
DEC 42 : 19.751301	0.024965	8.871115	
HEX 43 : 41C7EE59	407527E1	415F04FF	
DEC 43 : 24.991381	3.830559	13.938720	
HEX 44 : 41BA5660	3AC111AE	41146C9D	
DEC 44 : 23.292175	0.001473	9.276517	
HEX 45 : 41ACD6F0	3AC1333C	41844863	
DEC 45 : 21.604950	0.001474	16.535345	
HEX 46 : 41A4C3BC	40441BEB	412B8367	
DEC 46 : 20.595573	3.064204	10.719581	
HEX 47 : 41BE887E	3FC19E17	417ED140	
DEC 47 : 23.816647	1.512637	15.926086	
HEX 48 : 41C34E09	3F2D0FB6	412D25F6	
DEC 48 : 24.413103	0.676021	10.821768	
HEX 49 : 41AA9790	408BB613	4141D949	
DEC 49 : 21.324005	4.365976	12.115548	
HEX 50 : 419CCC00	40BBBC43	416886DD	
DEC 50 : 19.599609	5.866731	14.532926	
HEX 51 : 419AD74D	4096A21A	412FC5C9	
DEC 51 : 19.355127	4.707288	10.985787	
HEX 52 : 41AA8607	408559A9	41639FB0	
