Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 4197A99A	41085775	410F508B	
DEC 1 : 18.957813	8.521352	8.957164	
HEX 2 : 41A770A4	416D5EA1	410C016A	
DEC 2 : 20.930000	14.835603	8.750345	
HEX 3 : 418BBC90	41202EFE	412743A6	
DEC 3 : 17.467072	10.011473	10.454016	
HEX 4 : 4190B27C	4183E8A8	416D7461	
DEC 4 : 18.087151	16.488602	14.840913	
HEX 5 : 41C4CAC8	41399BBB	418044F5	
DEC 5 : 24.599014	11.600520	16.033670	
HEX 6 : 419D71E3	41491AC3	414ED867	
DEC 6 : 19.680609	12.569034	12.927833	
HEX 7 : 41A8629E	4133AB6B	4158BA82	
DEC 7 : 21.048153	11.229350	13.545534	
HEX 8 : 41A6A1C1	4137A897	4127BC3A	
DEC 8 : 20.828981	11.478660	10.483454	
HEX 9 : 418AB566	412E7C0B	41662084	
DEC 9 : 17.338573	10.905284	14.382938	
HEX 10 : 41B28D1A	411F1BA6	411DC60F	
DEC 10 : 22.318897	9.944250	9.860854	
HEX 11 : 41A9FEC7	4173FD93	41572B27	
DEC 11 : 21.249403	15.249408	13.448035	
HEX 12 : 418D96A0	41661D31	415E44A5	
DEC 12 : 17.698547	14.382127	13.891759	
HEX 13 : 41A51A8C	410AE4F7	4186B98C	
DEC 13 : 20.637962	8.680900	16.840599	
HEX 14 : 419CBD78	41169F9A	4157D591	
DEC 14 : 19.592514	9.413965	13.489640	
HEX 15 : 418BFC67	412D80EE	41445B67	
DEC 15 : 17.498243	10.843977	12.272315	
HEX 16 : 4192EEC9	414993F5	412DF88B	
DEC 16 : 18.366594	12.598622	10.873179	
HEX 17 : 419D7D46	4131AFA5	4185A332	
DEC 17 : 19.686169	11.105382	16.704685	
HEX 18 : 41BB3BB4	417ED842	4128A775	
DEC 18 : 23.404152	15.927797	10.540883	
HEX 19 : 419FCBB7	415071EC	416DA297	
DEC 19 : 19.974470	13.027813	14.852195	
HEX 20 : 41B5A986	41092442	414278B1	
DEC 20 : 22.707775	8.571352	12.154466	
HEX 21 : 4199B90E	4174C8A2	414F7120	
DEC 21 : 19.215359	15.298983	12.965118	
HEX 22 : 41BFBD7F	4146A0CC	413B835F	
DEC 22 : 23.967527	12.414257	11.719573	
HEX 23 : 41B05C36	415311C2	415AF5FA	
DEC 23 : 22.045025	13.191835	13.685053	
HEX 24 : 41B2938A	4140162F	41142EE6	
DEC 24 : 22.322041	12.005416	9.261450	
HEX 25 : 418C2604	417A6916	4126D724	
DEC 25 : 17.518562	15.650656	10.427525	
HEX 26 : 41A7F986	4173178A	4187E164	
DEC 26 : 20.996838	15.193247	16.985054	
HEX 27 : 419F5AAE	4154BB31	4186AAD0	
DEC 27 : 19.919277	13.295701	16.833405	
HEX 28 : 41B3FB9D	41825985	414492A4	
DEC 28 : 22.497858	16.293711	12.285801	
HEX 29 : 4191EEC9	4161F6DC	4110E60E	
DEC 29 : 18.241594	14.122768	9.056166	
HEX 30 : 41B79B23	41637FF7	4119B32A	
DEC 30 : 22.950750	14.218741	9.606241	
HEX 31 : 41C07D46	412E7DB3	4120FA93	
DEC 31 : 24.061169	10.905688	10.061175	
HEX 32 : 41AF2DB4	417B93C7	41747A12	
DEC 32 : 21.897316	15.723578	15.279802	
HEX 33 : 4189B42E	410ED439	416A5A68	
DEC 33 : 17.212978	8.926812	14.647072	
HEX 34 : 41A31EBF	4116FF50	41202BC6	
DEC 34 : 20.390013	9.437332	10.010687	
HEX 35 : 41A993E0	411D5231	413CC205	
DEC 35 : 21.197205	9.832566	11.797368	
HEX 36 : 41A99375	4156999A	41221487	
DEC 36 : 21.197001	13.412500	10.130012	
HEX 37 : 41AD4255	415C9D2B	417B95EE	
DEC 37 : 21.657389	13.788371	15.724104	
HEX 38 : 41BD4F7B	4171214C	4169B45E	
DEC 38 : 23.663809	15.070629	14.606535	
HEX 39 : 419A95F1	41316E6D	4168C4BF	
DEC 39 : 19.323214	11.089459	14.548034	
HEX 40 : 41C7E4CD	41817CB3	417C5FC4	
DEC 40 : 24.986719	16.185888	15.773380	
HEX 41 : 41A5C958	415FDD53	413FC1D9	
DEC 41 : 20.723312	13.991534	11.984826	
HEX 42 : 418BC333	412D1F15	4186C84B	
DEC 42 : 17.470312	10.820088	16.847799	
HEX 43 : 41AAFFF6	413CFED4	41799F7F	
DEC 43 : 21.374981	11.812214	15.601439	
HEX 44 : 41A6B30D	411EEF25	4172D0B6	
DEC 44 : 20.837427	9.933385	15.175955	
HEX 45 : 41C6CCD0	411B9F43	4148BB86	
DEC 45 : 24.850006	9.726382	12.545782	
HEX 46 : 419F38DF	417058F0	416FDA68	
DEC 46 : 19.902769	15.021713	14.990822	
HEX 47 : 41C70B0A	41260E06	41679C6A	
DEC 47 : 24.880390	10.378424	14.475687	
HEX 48 : 419766BC	41160EBD	417C67E0	
DEC 48 : 18.925163	9.378598	15.775360	
HEX 49 : 418EB1BE	4163AB47	417E190B	
DEC 49 : 17.836788	14.229316	15.881114	
HEX 50 : 41AFE14D	4143F2C0	413EC672	
DEC 50 : 21.985010	12.246765	11.923449	
HEX 51 : 41BAC3FA	416FB4B6	4184A2E8	
DEC 51 : 23.345692	14.981619	16.579544	
HEX 52 : 419ABE7F	417B2A15	4119C08D	
DEC 52 : 19.343016	15.697774	9.609509	
HEX 53 : 419B622A	41088E85	4138F171	
DEC 53 : 19.422932	8.534795	11.558946	
HEX 54 : 41C06AE6	4108B210	41611652	
DEC 54 : 24.052197	8.543472	14.067949	
HEX 55 : 41B49A22	417F8EDB	410B88F2	
DEC 55 : 22.575260	15.972377	8.720934	
HEX 56 : 41C8223E	416C534C	4124A814	
DEC 56 : 25.016720	14.770336	10.291035	
HEX 57 : 41C46916	417BD42E	41084C2B	
DEC 57 : 24.551311	15.739302	8.518596	
HEX 58 : 41C0E6AB	4159C229	41550F5D	
DEC 58 : 24.112631	13.609902	13.316251	
HEX 59 : 41A03FC7	41875F45	4166109F	
DEC 59 : 20.031141	16.921518	14.379058	
HEX 60 : 418E08E8	410E84D2	414B8CA5	
DEC 60 : 17.754349	8.907427	12.721837	
HEX 61 : 41C63D12	417A5158	4144DAA1	
DEC 61 : 24.779819	15.644859	12.303376	
HEX 62 : 41C1E6E3	410FA0C5	4128F270	
DEC 62 : 24.237738	8.976750	10.559189	
HEX 63 : 41B5AD42	4163E34B	413DB3B8	
DEC 63 : 22.709599	14.242991	11.856377	
HEX 64 : 41B2B524	411B721F	415C0BAC	
DEC 64 : 22.338448	9.715362	13.752850	
HEX 65 : 41CB5F93	4141E9D5	4150F8EB	
DEC 65 : 25.421667	12.119588	13.060771	
HEX 66 : 41A9D7E6	417AD5FE	412DCFD1	
DEC 66 : 21.230419	15.677244	10.863236	
HEX 67 : 41981075	41767783	4187FC4D	
DEC 67 : 19.008036	15.404178	16.998194	
HEX 68 : 41BEF27B	41868173	415A5881	
DEC 68 : 23.868399	16.813208	13.646607	
HEX 69 : 41B8BF26	4127EBC6	413C405B	
DEC 69 : 23.093334	10.495062	11.765712	
HEX 70 : 4190F056	41443FB3	417A057B	
DEC 70 : 18.117352	12.265552	15.626338	
HEX 71 : 41BB4737	41398C75	41575375	
DEC 71 : 23.409773	11.596791	13.457875	
HEX 72 : 4198A502	412EA4B5	411B1495	
DEC 72 : 19.080570	10.915212	9.692525	
HEX 73 : 41BAE94C	414E8F05	4172971A	
DEC 73 : 23.363914	12.909917	15.161890	
HEX 74 : 4197C592	4167BE7B	41327B1C	
DEC 74 : 18.971470	14.484004	11.155056	
HEX 75 : 419BC8B0	412D5657	413F4A73	
DEC 75 : 19.472992	10.833579	11.955676	
HEX 76 : 41986390	41860A88	413480B0	
DEC 76 : 19.048615	16.755142	11.281418	
HEX 77 : 41B7BED8	4129DC5E	4176C8AF	
DEC 77 : 22.968185	10.616301	15.423995	
HEX 78 : 41C33B7E	414DC460	411D0404	
DEC 78 : 24.404049	12.860443	9.813480	
HEX 79 : 41C13CC7	41111447	41812B72	
DEC 79 : 24.154676	9.067451	16.146214	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
