Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 3FB98002	41B3AF03	415FE8FF	
DEC 1 : 1.449219	22.460455	13.994384	
HEX 2 : 409EBE44	41A0F3FB	4134C97F	
DEC 2 : 4.960726	20.119131	11.299193	
HEX 3 : 41060993	41C25BE1	4179B8C7	
DEC 3 : 8.377337	24.294863	15.607612	
HEX 4 : 4087D919	4198D98E	414DE48F	
DEC 4 : 4.245251	19.106228	12.868300	
HEX 5 : 4051E925	41BDFFA8	4185F04F	
DEC 5 : 3.279855	23.749832	16.742338	
HEX 6 : 40DA7E8D	41CABE0B	416E6507	
DEC 6 : 6.827948	25.342794	14.899665	
HEX 7 : 40AD1349	4194704E	417613C5	
DEC 7 : 5.408604	18.554836	15.379827	
HEX 8 : 40BCAE8C	418FF794	414AA59B	
DEC 8 : 5.896307	17.995888	12.665431	
HEX 9 : 3C99B4DD	41CBCBF7	417887CF	
DEC 9 : 0.018763	25.474592	15.533156	
HEX 10 : 3BCABC51	41BB7A6D	41855C94	
DEC 10 : 0.006187	23.434778	16.670204	
HEX 11 : 4023CFA7	41BF8C01	412F18E5	
DEC 11 : 2.559549	23.943361	10.943578	
HEX 12 : 3BCA03C5	418D2D15	417C235C	
DEC 12 : 0.006165	17.647013	15.758633	
HEX 13 : 40825C89	41A1F05F	416815B7	
DEC 13 : 4.073796	20.242369	14.505301	
HEX 14 : 408F1B5A	41AFE9CC	41823D54	
DEC 14 : 4.472089	21.989159	16.279945	
HEX 15 : 403F4B3C	41B8A541	414B2347	
DEC 15 : 2.988967	23.080690	12.696113	
HEX 16 : 40FB4D51	418ADA8D	411675E5	
DEC 16 : 7.853188	17.356714	9.403783	
HEX 17 : 3F7BA616	41883C40	411FE170	
DEC 17 : 0.983003	17.029419	9.992538	
HEX 18 : 40B75619	41A95236	411C6DD0	
DEC 18 : 5.729260	21.165142	9.776810	
HEX 19 : 3BC9EA9A	41A9906A	4156E519	
DEC 19 : 0.006162	21.195515	13.430932	
HEX 20 : 40DC6912	419CAFB9	41341C72	
DEC 20 : 6.887826	19.585802	11.256945	
HEX 21 : 3F3FF759	41C65B79	412F63A2	
