Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 41BB640A	418DB67A	411379BA	
DEC 1 : 23.423847	17.714100	9.217218	
HEX 2 : 41CA82EC	418F8077	41673459	
DEC 2 : 25.313927	17.937727	14.450280	
HEX 3 : 41B6FF3D	41ACDA6E	410AD078	
DEC 3 : 22.874628	21.606655	8.675896	
HEX 4 : 41A6E988	41AB6AD1	410BB67F	
DEC 4 : 20.864029	21.427156	8.732055	
HEX 5 : 41AD6C62	41A210F6	415E8392	
DEC 5 : 21.677921	20.258282	13.907122	
HEX 6 : 419272C7	4195A391	4123FAF8	
DEC 6 : 18.306044	18.704866	10.248772	
HEX 7 : 41B02D4E	41A4867F	41227D60	
DEC 7 : 22.022121	20.565672	10.155609	
HEX 8 : 41B6DB6C	41A9B9DA	4173549A	
DEC 8 : 22.857140	21.215748	15.208155	
HEX 9 : 41B696AB	41B5C07C	414F6F72	
DEC 9 : 22.823568	22.718987	12.964708	
HEX 10 : 41BE55BA	41C89C70	414B24A0	
DEC 10 : 23.791859	25.076385	12.696442	
HEX 11 : 41928D45	41B58FCB	415F08F8	
DEC 11 : 18.318979	22.695211	13.939690	
HEX 12 : 41BA8A27	419BF240	4180EA37	
DEC 12 : 23.317457	19.493286	16.114363	
HEX 13 : 41BBDD1D	4195C963	41646A46	
DEC 13 : 23.482965	18.723333	14.275946	
HEX 14 : 41B6234B	41C418FC	417F9FB7	
DEC 14 : 22.767233	24.512199	15.976493	
HEX 15 : 41B9CEE0	418A3770	417A222F	
DEC 15 : 23.226013	17.277069	15.633346	
HEX 16 : 41BF73AD	41B1F940	4184B23F	
DEC 16 : 23.931482	22.246704	16.587034	
HEX 17 : 41A663DC	419B9CAA	417831D3	
DEC 17 : 20.798759	19.451496	15.512164	
HEX 18 : 418DB8F8	41A5D343	41564627	
DEC 18 : 17.715317	20.728155	13.392127	
HEX 19 : 41C425F7	41C63294	4170C047	
DEC 19 : 24.518538	24.774696	15.046943	
HEX 20 : 41A0D44E	41AB7610	4158772C	
DEC 20 : 20.103664	21.432648	13.529095	
HEX 21 : 41C071D4	41C7AF2E	412B78DE	
DEC 21 : 24.055580	24.960537	10.717009	
HEX 22 : 419A8549	4189D207	4181E33B	
DEC 22 : 19.315081	17.227552	16.235952	
HEX 23 : 41C8FAA1	41A0FEED	4178727D	
DEC 23 : 25.122377	20.124475	15.527951	
