Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 1 : 4106F320	40D642C4	41BB660D	
DEC 1 : 8.434357	6.695650	23.424829	
HEX 2 : 40323D29	40E6E00F	41B04B2A	
DEC 2 : 2.784983	7.214851	22.036701	
HEX 3 : 408BAC52	403E1130	41B09268	
DEC 3 : 4.364785	2.969799	22.071487	
HEX 4 : 40F2DF40	40570F5E	418CD82B	
DEC 4 : 7.589752	3.360313	17.605551	
HEX 5 : 40E65680	3FE938CE	41BCAA1B	
DEC 5 : 7.198059	1.822046	23.583059	
HEX 6 : 3BC026CC	40044752	41C4A997	
DEC 6 : 0.005864	2.066853	24.582808	
HEX 7 : 40B8B91D	4102B9B2	41C84F37	
DEC 7 : 5.772597	8.170336	25.038679	
HEX 8 : 407362B7	3E15A5B9	41A4F742	
DEC 8 : 3.802900	0.146140	20.620731	
HEX 9 : 40C16A6E	3F0DD324	41AE22A0	
DEC 9 : 6.044242	0.554003	21.766907	
HEX 10 : 40C9F1C9	4021D9DC	41AF7CE4	
DEC 10 : 6.310765	2.528922	21.935982	
HEX 11 : 3C4D2D45	40B7E1DD	41B3FF40	
DEC 11 : 0.012523	5.746321	22.499634	
HEX 12 : 40AC7DB3	3F725061	41C9B250	
DEC 12 : 5.390344	0.946539	25.212067	
HEX 13 : 4104808A	40E4F71F	419B276D	
DEC 13 : 8.281382	7.155166	19.394251	
HEX 14 : 40B8D5B4	3AB630A9	418EF20D	
DEC 14 : 5.776087	0.001390	17.868189	
HEX 15 : 406F6738	3ABD6627	41C4BAFE	
DEC 15 : 3.740675	0.001445	24.591305	
HEX 16 : 4054B09A	4063E9D9	41993783	
DEC 16 : 3.323279	3.561148	19.152105	
HEX 17 : 40C80CD0	4087AA61	41BA7435	
DEC 17 : 6.251564	4.239548	23.306742	
HEX 18 : 40C483F5	40D3819D	419EDB10	
DEC 18 : 6.141108	6.609572	19.856964	
HEX 19 : 402A1240	40B52101	4199B328	
DEC 19 : 2.657364	5.660279	19.212479	
HEX 20 : 3BF25A25	41037FBE	41C51C42	
DEC 20 : 0.007396	8.218687	24.638798	
HEX 21 : 404208B3	3FCC01BD	419B8BB3	
DEC 21 : 3.031781	1.593803	19.443213	
HEX 22 : 3FC469A5	40877A1E	41A06983	
DEC 22 : 1.534474	4.233657	20.051519	
HEX 23 : 40FF590A	40D8F3EB	41CB573C	
DEC 23 : 7.979619	6.779775	25.417595	
HEX 24 : 3BC9081C	3F7DA5CA	41953DE6	
DEC 24 : 0.006135	0.990811	18.655224	
HEX 25 : 40777879	400DA537	41C5EB52	
DEC 25 : 3.866728	2.213209	24.739902	
HEX 26 : 4076B3B3	40B0DB55	41B0EAA8	
DEC 26 : 3.854718	5.526774	22.114578	
HEX 27 : 40990CD6	400C9175	41A1A377	
DEC 27 : 4.782817	2.196378	20.204817	
HEX 28 : 3F76C7B9	40010CC8	41A126EE	
DEC 28 : 0.963985	2.016405	20.144009	
HEX 29 : 400C345D	40A90065	418A7094	
DEC 29 : 2.190696	5.281298	17.304970	
HEX 30 : 4040B691	40CD3F94	41BED7AF	
DEC 30 : 3.011143	6.414011	23.855314	
HEX 31 : 3C1DBEC2	409D1C6F	41CA626E	
DEC 31 : 0.009628	4.909721	25.298061	
HEX 32 : 40BB1995	40FF091A	41AB4B9E	
DEC 32 : 5.846873	7.969861	21.411922	
HEX 33 : 3F819839	40E4AA30	418E9C15	
DEC 33 : 1.012458	7.145775	17.826212	
HEX 34 : 40EEBFD1	3ABED741	41A3BE03	
