Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 415D6ADC	3AC08B76	418A925B	
DEC 1 : 13.838589	0.001469	17.321463	
HEX 2 : 415D94C6	40C33AA6	41BE1BAB	
DEC 2 : 13.848822	6.100909	23.763510	
HEX 3 : 415C8A0A	41018B2F	41BF0917	
DEC 3 : 13.783701	8.096480	23.879438	
HEX 4 : 41460DF1	40EED5F1	41B4D6B9	
DEC 4 : 12.378404	7.463616	22.604845	
HEX 5 : 41835414	40208E75	4188D70F	
DEC 5 : 16.416054	2.508695	17.105009	
HEX 6 : 418153C9	40CDCC92	419B7A2E	
DEC 6 : 16.165911	6.431222	19.434658	
HEX 7 : 413106BC	3AC0F020	41B7DC1E	
DEC 7 : 11.064144	0.001472	22.982479	
HEX 8 : 411A79AD	3AC0CE92	4195B76D	
DEC 8 : 9.654706	0.001471	18.714563	
HEX 9 : 4128A035	41044049	41B2A142	
DEC 9 : 10.539113	8.265695	22.328739	
HEX 10 : 41270FCE	3DE20579	41C70A10	
DEC 10 : 10.441359	0.110362	24.879913	
HEX 11 : 4177D696	40A16680	41C196BC	
DEC 11 : 15.489889	5.043762	24.198601	
HEX 12 : 41687D05	40D93F70	41905534	
DEC 12 : 14.530522	6.788994	18.041603	
HEX 13 : 414BFF72	3AC026CC	41AF3FF4	
DEC 13 : 12.749865	0.001466	21.906227	
HEX 14 : 415EB53B	40F13027	41A45B59	
DEC 14 : 13.919246	7.537128	20.544603	
HEX 15 : 41393F38	3F2B3494	41A33E5E	
DEC 15 : 11.577934	0.668771	20.405453	
HEX 16 : 41315218	40A9F792	41B30F47	
DEC 16 : 11.082542	5.311471	22.382460	
HEX 17 : 416FE2E9	401B0A57	419D578E	
DEC 17 : 14.992898	2.422506	19.667751	
HEX 18 : 410F3A93	40B8FA5D	4190A6E0	
DEC 18 : 8.951800	5.780562	18.081482	
HEX 19 : 41853CBC	3BD2B2C0	418B22C0	
DEC 19 : 16.654655	0.006430	17.391968	
HEX 20 : 4177FF40	3AC111AE	419AC142	
DEC 20 : 15.499817	0.001473	19.344364	
HEX 21 : 415A0C27	40A1874F	418D32C4	
DEC 21 : 13.627967	5.047767	17.649788	
HEX 22 : 416BFA31	408966C1	41B3FE58	
DEC 22 : 14.748582	4.293793	22.499191	
HEX 23 : 412ECBDD	404660BF	41B8AB48	
DEC 23 : 10.924771	3.099655	23.083633	
HEX 24 : 416DE440	3AC0AD04	41C74443	
DEC 24 : 14.868225	0.001470	24.908331	
HEX 25 : 4118E80A	40A1C882	41BD32D9	
DEC 25 : 9.556650	5.055726	23.649828	
HEX 26 : 414F7416	3C7DD228	4198FA1C	
DEC 26 : 12.965841	0.015492	19.122124	
HEX 27 : 414E60DD	40FDB64A	418EC36C	
DEC 27 : 12.898648	7.928502	17.845421	
HEX 28 : 41448BE5	3FF8AA2A	41AE47AA	
DEC 28 : 12.284154	1.942693	21.784992	
HEX 29 : 412BA22F	402071E7	41A5437E	
DEC 29 : 10.727096	2.506952	20.657955	
HEX 30 : 415D8266	3F8FAD86	41A54DFE	
DEC 30 : 13.844336	1.122483	20.663082	
HEX 31 : 41710089	406C667B	418FD4FE	
DEC 31 : 15.062631	3.693755	17.979000	
HEX 32 : 41685885	40DFF30C	41CB5ACB	
DEC 32 : 14.521611	6.998419	25.419333	
HEX 33 : 41251A30	40E4E613	419ACF24	
DEC 33 : 10.318893	7.153085	19.351143	
HEX 34 : 4152F935	40B05C7D	41AA679A	
DEC 34 : 13.185842	5.511290	21.300587	
HEX 35 : 4109D52C	40F7EB74	418A889D	
DEC 35 : 8.614544	7.747492	17.316706	
HEX 36 : 41855F75	405D08D1	41993B96	
DEC 36 : 16.671610	3.453663	19.154095	
HEX 37 : 41496DE2	40073E14	419BB16D	
DEC 37 : 12.589327	2.113164	19.461634	
HEX 38 : 4114C225	405F6C87	419D5037	
DEC 38 : 9.297399	3.490999	19.664167	
HEX 39 : 410B02B0	40934FC4	41CB2658	
DEC 39 : 8.688156	4.603487	25.393723	
HEX 40 : 414D20E4	40BE5606	41CBC870	
DEC 40 : 12.820530	5.948001	25.472870	
HEX 41 : 413A0518	3FEFBDE8	41C816A6	
DEC 41 : 11.626244	1.872983	25.011059	
HEX 42 : 41873003	408FA7D0	41AE6E90	
DEC 42 : 16.898443	4.489235	21.803986	
HEX 43 : 4117DD87	410363FF	41C18703	
DEC 43 : 9.491584	8.211913	24.190924	
HEX 44 : 41776123	405EA858	41CB8D18	
DEC 44 : 15.461215	3.479025	25.443893	
HEX 45 : 417D5841	410689FB	41C70E7F	
DEC 45 : 15.834046	8.408687	24.882078	
HEX 46 : 4120F97A	4063341A	418BF789	
DEC 46 : 10.060907	3.550055	17.495867	
HEX 47 : 4177E81B	3E698FE7	41AAD5F5	
DEC 47 : 15.494166	0.228088	21.354471	
HEX 48 : 411ED7BA	3FB3D53D	41B0FBF0	
DEC 48 : 9.927668	1.404945	22.123016	
HEX 49 : 415346BA	40421BB5	418D28C6	
DEC 49 : 13.204767	3.032941	17.644909	
HEX 50 : 4180E195	40A6FEA6	41898A08	
DEC 50 : 16.110147	5.218585	17.192398	
HEX 51 : 413A428F	40D6F8D5	41A736ED	
DEC 51 : 11.641250	6.717875	20.901819	
HEX 52 : 416F341B	401C2E17	41BD5EF1	
DEC 52 : 14.950221	2.440313	23.671358	
HEX 53 : 4131D760	40E18581	41C0C9A4	
DEC 53 : 11.115082	7.047547	24.098457	
HEX 54 : 4148ACF2	40CB3E3C	41993AEB	
DEC 54 : 12.542223	6.351347	19.153769	
HEX 55 : 41219368	405166BA	41C73F96	
DEC 55 : 10.098488	3.271895	24.906048	
HEX 56 : 418460FD	410402CC	41A160B9	
DEC 56 : 16.547358	8.250683	20.172228	
HEX 57 : 4185505F	405F3483	41BC5F81	
DEC 57 : 16.664244	3.487580	23.546633	
HEX 58 : 411AEB3F	40D14954	41AD3CDA	
DEC 58 : 9.682433	6.540201	21.654713	
HEX 59 : 411B3EB7	407CCBDE	41ACBAEC	
DEC 59 : 9.702811	3.949943	21.591270	
HEX 60 : 4136C7B6	40A12D19	41C2F39B	
DEC 60 : 11.423758	5.036755	24.368948	
HEX 61 : 410B76A5	3FD5ED8D	41A20DF8	
DEC 61 : 8.716466	1.671312	20.256821	
HEX 62 : 4134997C	4065F88C	41989992	
DEC 62 : 11.287472	3.593295	19.074986	
HEX 63 : 410B43FC	40AB893E	41A15A6E	
DEC 63 : 8.704098	5.360503	20.169155	
HEX 64 : 41401FDE	40794A38	41AA86AD	
DEC 64 : 12.007780	3.895155	21.315760	
HEX 65 : 41150C00	3FD51E32	41C012BD	
DEC 65 : 9.315430	1.664984	24.009150	
HEX 66 : 414D2203	4091C255	41B82873	
DEC 66 : 12.820804	4.554972	23.019751	
HEX 67 : 410D6BBC	3FF9CDC4	41923E2A	
DEC 67 : 8.838802	1.951592	18.280354	
HEX 68 : 4175EB4B	4085A157	41A46C18	
DEC 68 : 15.369945	4.175945	20.552780	
HEX 69 : 41532FDF	408091DE	419BD9CA	
DEC 69 : 13.199187	4.017806	19.481342	
HEX 70 : 417BDEF7	40DCABF7	41BBE659	
DEC 70 : 15.741935	6.895992	23.487474	
HEX 71 : 4180237C	3AC3D252	41BA2C01	
DEC 71 : 16.017326	0.001494	23.271486	
HEX 72 : 418564EF	3FD1F962	41A355DF	
DEC 72 : 16.674284	1.640423	20.416929	
HEX 73 : 4181F955	3FC4FE37	41C730CD	
