Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 409960F2	412B5303	41C64FD1	
DEC 1 : 4.793084	10.707767	24.788973	
HEX 2 : 3FA9B2F6	411B9E04	419D2B84	
DEC 2 : 1.325774	9.726078	19.646248	
HEX 3 : 4070DD40	416902EA	41C52DFE	
DEC 3 : 3.763504	14.563211	24.647457	
HEX 4 : 40D37D8F	41505C22	418BFAAE	
DEC 4 : 6.609077	13.022493	17.497402	
HEX 5 : 409AD174	41640FD4	419871B8	
DEC 5 : 4.838068	14.253864	19.055527	
HEX 6 : 408EEEC6	417BF950	418E3D3D	
DEC 6 : 4.466647	15.748367	17.779902	
HEX 7 : 400B5FDD	41819D10	4190E5E8	
DEC 7 : 2.177726	16.201691	18.112259	
HEX 8 : 3BCACD18	4184876A	41B8F6AD	
DEC 8 : 0.006189	16.566120	23.120447	
HEX 9 : 4098736B	41258B14	4192990B	
DEC 9 : 4.764089	10.346455	18.324728	
HEX 10 : 3F6A89B9	418042B0	41C68E9C	
DEC 10 : 0.916164	16.032562	24.819633	
HEX 11 : 4100BA96	41811172	41961E46	
DEC 11 : 8.045553	16.133518	18.764782	
HEX 12 : 40D7D7D4	41860766	41B2E7F3	
DEC 12 : 6.745096	16.753613	22.363256	
HEX 13 : 3F9E323C	416624DC	418FA3DC	
DEC 13 : 1.235908	14.383999	17.955009	
HEX 14 : 40714A12	410F19BF	41AEB187	
DEC 14 : 3.770146	8.943786	21.836683	
HEX 15 : 40AFD975	411EFA86	41AD1D68	
DEC 15 : 5.495295	9.936163	21.639359	
HEX 16 : 3D0B9347	4187DA2C	41A9506D	
DEC 16 : 0.034076	16.981529	21.164270	
HEX 17 : 40D9799E	41239D0F	41A12F47	
DEC 17 : 6.796096	10.225844	20.148085	
HEX 18 : 3BED45E9	416ED076	41A04576	
DEC 18 : 0.007241	14.925894	20.033916	
HEX 19 : 40A57B22	410D8A55	419CAA1D	
DEC 19 : 5.171281	8.846272	19.583063	
HEX 20 : 40E5E5DC	41694ABC	41AD106C	
DEC 20 : 7.184309	14.580746	21.633018	
HEX 21 : 3BC9E237	4132A1D2	4199B00C	
DEC 21 : 0.006161	11.164507	19.210960	
HEX 22 : 40D639DC	416D1EDF	419C4DED	
DEC 22 : 6.694563	14.820037	19.538050	
HEX 23 : 40D8099A	41286912	41C939B6	
DEC 23 : 6.751172	10.525652	25.153179	
HEX 24 : 40FEEF4C	410AEC3E	41A52BA7	
DEC 24 : 7.966711	8.682676	20.646315	
HEX 25 : 4104F677	410FE170	41B4BC92	
DEC 25 : 8.310172	8.992538	22.592075	
HEX 26 : 4049B9C7	41713884	41AB55F3	
DEC 26 : 3.151964	15.076298	21.416967	
HEX 27 : 3BCA600B	414D7DE3	418CF112	
DEC 27 : 0.006176	12.843234	17.617710	
HEX 28 : 40F3010C	414B27F2	41B7A8E6	
DEC 28 : 7.593878	12.697252	22.957470	
HEX 29 : 3FEE8AE7	415D3FD7	41B7DE2F	
DEC 29 : 1.863614	13.828086	22.983488	
HEX 30 : 3BCAD57C	41150880	4189DC08	
DEC 30 : 0.006190	9.314575	17.232437	
HEX 31 : 3FF6D341	413DC9E6	41B4FDEA	
DEC 31 : 1.928322	11.861792	22.623981	
HEX 32 : 40FD0208	41813ED1	41BFA7DC	
DEC 32 : 7.906498	16.155672	23.956963	
HEX 33 : 40514778	41271BF2	41B87C2F	
DEC 33 : 3.269987	10.444323	23.060637	
HEX 34 : 4077D45F	410CD314	418B5CE8	
DEC 34 : 3.872337	8.801533	17.420364	
HEX 35 : 403F5DA2	4169AD8E	418816F4	
DEC 35 : 2.990090	14.604872	17.011208	
HEX 36 : 40671455	417BD971	419CB30A	
DEC 36 : 3.610616	15.740586	19.587421	
HEX 37 : 40EEB0DE	414D74CF	419A63EB	
DEC 37 : 7.459090	12.841018	19.298788	
HEX 38 : 408B2B11	410FA5DD	41BF1BE0	
DEC 38 : 4.349007	8.977994	23.888611	
HEX 39 : 408B062D	4149A709	41C2AEC1	
DEC 39 : 4.344504	12.603280	24.335329	
HEX 40 : 4076BACF	415CB02F	41B66E92	
DEC 40 : 3.855152	13.793014	22.803989	
HEX 41 : 3BCAF70A	4134FB42	41B5E46C	
DEC 41 : 0.006194	11.311342	22.736534	
HEX 42 : 4082FE8B	413F5327	41B05D5C	
DEC 42 : 4.093572	11.957801	22.045586	
HEX 43 : 401E5369	41289C2B	41A9D1DC	
DEC 43 : 2.473841	10.538127	21.227470	
HEX 44 : 41034F7F	41243B43	419072DD	
DEC 44 : 8.206908	10.264468	18.056086	
HEX 45 : 40C4ADA7	414485E2	41A6EDF3	
DEC 45 : 6.146198	12.282686	20.866186	
HEX 46 : 40B956F5	4156B027	41B3CBFA	
DEC 46 : 5.791865	13.418006	22.474598	
HEX 47 : 401CBB23	417A4016	41BCBF4F	
DEC 47 : 2.448922	15.640646	23.593412	
HEX 48 : 3F5778FF	413AC1D1	41A7A530	
DEC 48 : 0.841690	11.672318	20.955658	
HEX 49 : 40199A89	414EB01E	41C57457	
DEC 49 : 2.400057	12.917997	24.681807	
HEX 50 : 3E373648	41806541	41931B2F	
DEC 50 : 0.178918	16.049440	18.388273	
HEX 51 : 40C60330	418623B1	41930C9C	
DEC 51 : 6.187889	16.767427	18.381157	
HEX 52 : 401ABFD3	413E02E3	419DEEEF	
DEC 52 : 2.417958	11.875705	19.741667	
HEX 53 : 408820AE	412DDE07	41A30456	
DEC 53 : 4.253989	10.866706	20.377117	
HEX 54 : 40CA7460	41473789	41C47175	
DEC 54 : 6.326706	12.451058	24.555399	
HEX 55 : 40B5E172	41642992	41C8F00C	
DEC 55 : 5.683770	14.260149	25.117210	
HEX 56 : 40F0CBFB	416CBC9F	418AF9B1	
DEC 56 : 7.524900	14.796050	17.371920	
HEX 57 : 409B09FC	41442807	41973648	
DEC 57 : 4.844969	12.259772	18.901505	
HEX 58 : 400D6AFD	4165158D	419D9B04	
DEC 58 : 2.209655	14.317761	19.700691	
HEX 59 : 408CD094	417B1C82	41B8CAD1	
DEC 59 : 4.400461	15.694460	23.099031	
HEX 60 : 3FA59408	4179F2EF	41AF538B	
DEC 60 : 1.293580	15.621810	21.915792	
HEX 61 : 409F8D45	417C7FC4	41A85966	
DEC 61 : 4.985995	15.781193	21.043652	
HEX 62 : 3BCA1CEF	4169181C	41B83586	
DEC 62 : 0.006168	14.568386	23.026134	
HEX 63 : 4037FE7A	4132CD6C	418F6641	
DEC 63 : 2.874907	11.175152	17.924929	
HEX 64 : 3F2BBB73	4159DD17	41AB2331	
DEC 64 : 0.670829	13.616477	21.392183	
HEX 65 : 3BC881E4	4121799B	41CB45CA	
DEC 65 : 0.006119	10.092189	25.409077	
HEX 66 : 40BAD69B	413762FF	41B7190B	
DEC 66 : 5.838697	11.461669	22.887228	
HEX 67 : 40486C8F	41524D20	4192F501	
DEC 67 : 3.131626	13.143829	18.369631	
HEX 68 : 410355CD	412D4C65	41BE8B36	
DEC 68 : 8.208447	10.831151	23.817974	
HEX 69 : 3F6DA0BE	41313DB3	418B81B6	
DEC 69 : 0.928234	11.077563	17.438335	
HEX 70 : 3F2FB279	41181DAF	41BA2533	
DEC 70 : 0.686317	9.507247	23.268164	
HEX 71 : 409BC9E2	415EAABD	4188AD7D	
DEC 71 : 4.868394	13.916684	17.084711	
HEX 72 : 3F343AC9	41504F24	419BDEA5	
DEC 72 : 0.704022	13.019321	19.483713	
HEX 73 : 4024F844	41224DD1	41C74D34	
DEC 73 : 2.577653	10.143998	24.912697	
HEX 74 : 3FC809FF	418178A3	41A01F9F	
DEC 74 : 1.562805	16.183905	20.015440	
HEX 75 : 40EEA57F	412BAC0C	41AFBC7B	
DEC 75 : 7.457702	10.729504	21.967031	
HEX 76 : 40D0F63E	41346443	4193BA5F	
DEC 76 : 6.530059	11.274478	18.466002	
HEX 77 : 40C93A06	4171D01D	41BB4C7B	
DEC 77 : 6.288333	15.113309	23.412344	
HEX 78 : 3F8F1F92	41368F5E	41C32AA6	
DEC 78 : 1.118151	11.410002	24.395824	
HEX 79 : 3BC87981	415125E3	41C2D281	
DEC 79 : 0.006118	13.071750	24.352785	
HEX 80 : 40DFAF42	410B8B34	41936D89	
DEC 80 : 6.990144	8.721485	18.428484	
HEX 81 : 41022590	4182D9B3	41A600B3	
DEC 81 : 8.134171	16.356298	20.750341	
HEX 82 : 3C884407	411DC3D2	41A93A71	
DEC 82 : 0.016634	9.860308	21.153536	
HEX 83 : 40F4D790	410C8475	41C5D143	
DEC 83 : 7.651314	8.782338	24.727179	
HEX 84 : 40C861DA	411974AA	41BBA1E1	
DEC 84 : 6.261945	9.590982	23.454042	
HEX 85 : 4092131D	41586DE1	41A73027	
DEC 85 : 4.564833	13.526826	20.898512	
HEX 86 : 4028ADE6	415266E8	41AA2403	
DEC 86 : 2.635614	13.150124	21.267584	
HEX 87 : 4052299E	41175F87	419AB1D1	
DEC 87 : 3.283790	9.460822	19.336824	
HEX 88 : 40F72798	41601BC8	41C53AFD	
DEC 88 : 7.723583	14.006783	24.653803	
HEX 89 : 3FD49260	410B6DDF	41AAB57D	
DEC 89 : 1.660717	8.714324	21.338617	
HEX 90 : 3FFDF291	411661F2	418D95B7	
DEC 90 : 1.983965	9.398912	17.698103	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
