Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 41A194DC	41126FAC	41A6FDDB	
DEC 1 : 20.197685	9.152264	20.873953	
HEX 2 : 41A1130E	41149B9C	419619B2	
DEC 2 : 20.134304	9.287991	18.762547	
HEX 3 : 41A71DA1	4125AB67	41B284FE	
DEC 3 : 20.889467	10.354346	22.314938	
HEX 4 : 41CA58A2	416AB37F	41B84BC5	
DEC 4 : 25.293278	14.668822	23.036997	
HEX 5 : 41B16366	415E57FF	41C7A090	
DEC 5 : 22.173534	13.896483	24.953400	
HEX 6 : 41B4F19A	4123BE84	41C95C23	
DEC 6 : 22.617970	10.234013	25.169989	
HEX 7 : 41AA3322	417072BD	41A08DA1	
DEC 7 : 21.274967	15.028012	20.069155	
HEX 8 : 418A1590	417AB5A1	419D7800	
DEC 8 : 17.260529	15.669343	19.683594	
HEX 9 : 41AC3EE7	413CD1F3	41C1E68E	
DEC 9 : 21.530714	11.801257	24.237576	
HEX 10 : 41C0A18D	41246A42	419F5F5A	
DEC 10 : 24.078882	10.275942	19.921558	
HEX 11 : 41AE2013	4123BF9D	419B6D20	
DEC 11 : 21.765661	10.234281	19.428284	
HEX 12 : 41ADF93C	4128BF19	4189D6DF	
DEC 12 : 21.746696	10.546655	17.229918	
HEX 13 : 418823B5	4185A2B2	41B7470D	
DEC 13 : 17.017435	16.704441	22.909693	
HEX 14 : 41B73ADF	416CFFE5	41BAA8AF	
DEC 14 : 22.903746	14.812474	23.332365	
HEX 15 : 41ADF9C5	414D21D3	419D9BC3	
DEC 15 : 21.746958	12.820758	19.701056	
HEX 16 : 41BB019C	41409FD6	41A4789C	
DEC 16 : 23.375786	12.039022	20.558891	
HEX 17 : 41BC68F5	414F5DF1	41B760D2	
DEC 17 : 23.551249	12.960435	22.922276	
HEX 18 : 418B812B	41373127	41B48221	
DEC 18 : 17.438070	11.449500	22.563540	
HEX 19 : 41A38742	41869CBA	41B318F1	
DEC 19 : 20.441044	16.826527	22.387178	
HEX 20 : 41929399	41107C34	419D7016	
DEC 20 : 18.322069	9.030323	19.679729	
HEX 21 : 41B16804	41861380	419A609F	
DEC 21 : 22.175789	16.759521	19.297178	
HEX 22 : 41A39109	4186EF42	41A319CE	
DEC 22 : 20.445818	16.866825	20.387600	
HEX 23 : 41A32450	415E2A94	41957AB5	
DEC 23 : 20.392731	13.885395	18.684916	
HEX 24 : 41887A7F	411B974C	41AB6320	
DEC 24 : 17.059813	9.724438	21.423401	
HEX 25 : 41AD3B6A	4142EA2A	41B055E6	
DEC 25 : 21.654011	12.182169	22.041943	
HEX 26 : 41B20279	41859A9C	41B9D3CC	
DEC 26 : 22.251207	16.700493	23.228416	
HEX 27 : 418808B0	415798DD	419D43B8	
DEC 27 : 17.004242	13.474820	19.658066	
HEX 28 : 419E9868	417D6467	4196514A	
DEC 28 : 19.824417	15.837012	18.789692	
HEX 29 : 41B4BDA4	41236AD3	41AA351D	
DEC 29 : 22.592598	10.213580	21.275934	
HEX 30 : 41C99383	416E0441	418AA147	
DEC 30 : 25.197027	14.876039	17.328749	
HEX 31 : 41C4CBE6	4133D9C5	41AF6576	
DEC 31 : 24.599560	11.240666	21.924541	
HEX 32 : 4197B2B6	414C5A4A	419DB505	
DEC 32 : 18.962261	12.772043	19.713388	
HEX 33 : 41B85618	4110F517	41B963F3	
DEC 33 : 23.042038	9.059836	23.173803	
HEX 34 : 41A79BE3	4158EF7F	41BA7DEA	
DEC 34 : 20.951117	13.558471	23.311481	
HEX 35 : 41BAF65C	41418DA2	41C7B759	
DEC 35 : 23.370293	12.097078	24.964525	
HEX 36 : 41BEC65F	415259A5	418AE30C	
DEC 36 : 23.846861	13.146886	17.360863	
HEX 37 : 41B7BE5C	410A517D	419CC601	
DEC 37 : 22.967949	8.644895	19.596682	
HEX 38 : 41C204E3	415D935E	41C49255	
DEC 38 : 24.252386	13.848478	24.571451	
HEX 39 : 41AAC977	41712B87	41B089D4	
DEC 39 : 21.348372	15.073127	22.067299	
HEX 40 : 41A31C94	4158AB3E	41A894F8	
DEC 40 : 20.388954	13.541807	21.072739	
HEX 41 : 4198E8C4	416F1A46	41A3793F	
DEC 41 : 19.113655	14.943914	20.434202	
HEX 42 : 41A2DA46	4151965B	41C9A4B4	
DEC 42 : 20.356579	13.099208	25.205421	
HEX 43 : 41C3073A	41230EB3	41C1C6C3	
DEC 43 : 24.378529	10.191089	24.222052	
HEX 44 : 41B90FAC	4178FFFF	41A4A893	
DEC 44 : 23.132652	15.562499	20.582312	
HEX 45 : 41B2A2F3	41678750	419250D9	
DEC 45 : 22.329565	14.470535	18.289476	
HEX 46 : 41B7AD09	4130DF5A	41B86E79	
DEC 46 : 22.959490	11.054529	23.053942	
HEX 47 : 419AB1B9	416D17C8	41B4B30A	
DEC 47 : 19.336779	14.818306	22.587421	
HEX 48 : 41B4DA63	415C0651	41A9FCEF	
DEC 48 : 22.606634	13.751542	21.248503	
HEX 49 : 41C325F1	417F3F0D	41C23A98	
DEC 49 : 24.393526	15.952893	24.278610	
HEX 50 : 41C0495D	41817AC4	41B2982C	
DEC 50 : 24.035822	16.184944	22.324303	
HEX 51 : 41C7C151	41439E14	4195E41E	
DEC 51 : 24.969393	12.226093	18.736385	
HEX 52 : 41A333C5	41385BA6	41951380	
DEC 52 : 20.400278	11.522375	18.634521	
HEX 53 : 419757FA	41205D61	41B210D5	
DEC 53 : 18.917957	10.022798	22.258219	
HEX 54 : 4194A270	4186F9B6	41AD4286	
DEC 54 : 18.579315	16.871929	21.657482	
HEX 55 : 418B1E04	41735B97	41AD1234	
DEC 55 : 17.389656	15.209861	21.633888	
HEX 56 : 41C4D05A	415B9AF3	41AB165E	
DEC 56 : 24.601734	13.725329	21.385921	
HEX 57 : 41B30FEF	4184C6B2	418A843A	
DEC 57 : 22.382780	16.597019	17.314564	
HEX 58 : 4191489E	4131A080	41A3D51D	
DEC 58 : 18.160458	11.101685	20.479059	
HEX 59 : 41A680F2	417A5342	41C11028	
DEC 59 : 20.812962	15.645327	24.132889	
HEX 60 : 41C20E57	41216CA8	418F7806	
DEC 60 : 24.257002	10.089027	17.933605	
HEX 61 : 41BE04E3	415AA222	419BA67D	
DEC 61 : 23.752386	13.664583	19.456293	
HEX 62 : 41BFB00B	4178716F	419613C2	
DEC 62 : 23.960958	15.527694	18.759647	
HEX 63 : 41BF644D	410B9197	41AAD02B	
DEC 63 : 23.923975	8.723044	21.351645	
HEX 64 : 41998B0C	416ABA5F	41C64769	
DEC 64 : 19.192894	14.670501	24.784868	
HEX 65 : 41AE114E	414AFCB5	418B9042	
DEC 65 : 21.758450	12.686696	17.445438	
HEX 66 : 41B5C68B	410D85AE	418CF9D9	
DEC 66 : 22.721945	8.845137	17.621996	
HEX 67 : 41904DE9	414E20AC	41BF0B2F	
DEC 67 : 18.038042	12.882977	23.880461	
HEX 68 : 418CBC02	416D71BA	41BCC142	
DEC 68 : 17.591801	14.840265	23.594364	
HEX 69 : 41C706E2	41086D7F	4198223E	
DEC 69 : 24.878361	8.526732	19.016720	
HEX 70 : 41915529	4154019B	41ACC91F	
DEC 70 : 18.166582	13.250392	21.598204	
HEX 71 : 4193A86D	41662DA6	419508A1	
DEC 71 : 18.457239	14.386145	18.629213	
HEX 72 : 41A21172	413403DE	41A4E335	
DEC 72 : 20.258518	11.250944	20.610941	
HEX 73 : 41B8A9AC	4138DE0D	4194FAE6	
DEC 73 : 23.082848	11.554212	18.622509	
HEX 74 : 419711F4	4183FF78	41BCCA65	
DEC 74 : 18.883766	16.499741	23.598825	
HEX 75 : 41C8FDC8	4178E013	41A626C1	
DEC 75 : 25.123917	15.554706	20.768923	
HEX 76 : 41912E6A	41222E79	41C0CF36	
DEC 76 : 18.147663	10.136346	24.101177	
HEX 77 : 41A8E6AD	410F827B	41BDEC5D	
DEC 77 : 21.112635	8.969356	23.740412	
HEX 78 : 419D5FB5	4142380C	41B26F4B	
DEC 78 : 19.671732	12.138683	22.304342	
HEX 79 : 418ADF4F	41829045	418D50DB	
DEC 79 : 17.359037	16.320444	17.664480	
HEX 80 : 41CA6087	4117CDE8	41B4B518	
DEC 80 : 25.297132	9.487770	22.588425	
HEX 81 : 4192C1E2	41468E14	418D874F	
DEC 81 : 18.344669	12.409687	17.691069	
HEX 82 : 41951952	412943AF	4193A20D	
DEC 82 : 18.637363	10.579024	18.454126	
HEX 83 : 419C5C72	41390022	41C1B914	
DEC 83 : 19.545139	11.562532	24.215370	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
