Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 3BC73ABD	41944CE4	41B64560	
DEC 1 : 0.006080	18.537544	22.783875	
HEX 2 : 3E65E95B	41AADFF3	41A25B63	
DEC 2 : 0.224523	21.359350	20.294622	
HEX 3 : 3BCEBBBA	41BF5F42	41B6BFCA	
DEC 3 : 0.006309	23.921513	22.843647	
HEX 4 : 4043552E	418B9B6D	41A3AFD1	
DEC 4 : 3.052074	17.450891	20.460848	
HEX 5 : 406ABC12	418DCEE6	418DA04F	
DEC 5 : 3.667729	17.726025	17.703276	
HEX 6 : 4043032A	41BE991A	41A33B1D	
DEC 6 : 3.047068	23.824757	20.403864	
HEX 7 : 4037C4C1	41B5C6E6	41B51E0B	
DEC 7 : 2.871384	22.722118	22.639669	
HEX 8 : 40B9D9F1	41ADFCCB	41BE8489	
DEC 8 : 5.807854	21.748434	23.814714	
HEX 9 : 401E0D80	41A9D2CA	41BF4153	
DEC 9 : 2.469574	21.227924	23.906897	
HEX 10 : 40975A27	418D795F	419B2E08	
DEC 10 : 4.729755	17.684263	19.397476	
HEX 11 : 409ABDA7	4191B5A7	41B7E07E	
DEC 11 : 4.835651	18.213697	22.984615	
HEX 12 : 3FDBE37E	419F3229	41A325E6	
DEC 12 : 1.717880	19.899492	20.393505	
HEX 13 : 40F842C4	41B520D8	41C1DB8D	
DEC 13 : 7.758150	22.641037	24.232203	
HEX 14 : 3FF5BFCF	41C3D886	41B5799C	
DEC 14 : 1.919916	24.480724	22.684380	
HEX 15 : 40EF2F75	419F5E18	419212C0	
DEC 15 : 7.474543	19.920944	18.259155	
HEX 16 : 3FD69060	419CD8B4	41B86045	
DEC 16 : 1.676281	19.605812	23.047007	
HEX 17 : 4085BB15	41AB5840	41C76B38	
DEC 17 : 4.179087	21.418091	24.927353	
HEX 18 : 3C4FBFC6	418F7783	418DE77F	
DEC 18 : 0.012680	17.933355	17.738035	
HEX 19 : 4080456B	41C23507	41B0C9F3	
DEC 19 : 4.008474	24.275892	22.098608	
HEX 20 : 4069D4F6	41A4C98B	41912350	
DEC 20 : 3.653623	20.598410	18.142242	
HEX 21 : 404E419E	418956FC	41B37763	
DEC 21 : 3.222755	17.167473	22.433294	
HEX 22 : 40808DAA	419F761D	41BCC896	
DEC 22 : 4.017293	19.932673	23.597942	
HEX 23 : 40505D96	41A9A7EA	41A1A06F	
DEC 23 : 3.255712	21.206989	20.203337	
HEX 24 : 40DC0243	41C470EC	41A4DEFB	
DEC 24 : 6.875276	24.555138	20.608877	
HEX 25 : 40965078	41C78388	41BEDFF9	
DEC 25 : 4.697323	24.939224	23.859362	
HEX 26 : 40B95128	4189F09F	41C39717	
DEC 26 : 5.791157	17.242491	24.448774	
HEX 27 : 3FD06D40	41912885	41AD74DB	
DEC 27 : 1.628334	18.144785	21.682058	
HEX 28 : 3FCF4AF5	41BC9CB2	418EBFEB	
DEC 28 : 1.619475	23.576511	17.843710	
HEX 29 : 40CD0721	41C9B22F	41B3830C	
DEC 29 : 6.407120	25.212004	22.438988	
HEX 30 : 3BCB1898	41A70827	418B6683	
DEC 30 : 0.006198	20.878981	17.425055	
HEX 31 : 40F2844D	418CE6C0	41CAA00A	
DEC 31 : 7.578650	17.612671	25.328144	
HEX 32 : 401BC361	41C5556F	41C9D92A	
DEC 32 : 2.433800	24.666716	25.231037	
HEX 33 : 40DD7785	41B1F167	4188EA1D	
DEC 33 : 6.920840	22.242872	17.114313	
HEX 34 : 3DF674D1	41A3F6C3	41B0C379	
DEC 34 : 0.120340	20.495489	22.095446	
HEX 35 : 4099106D	41970261	41A8C936	
DEC 35 : 4.783255	18.876162	21.098248	
HEX 36 : 3EA9AF9F	41B08A21	41BC27E8	
DEC 36 : 0.331418	22.067446	23.519485	
HEX 37 : 40223CD1	41AF8354	418933D2	
DEC 37 : 2.534962	21.939125	17.150303	
HEX 38 : 3FE9F42C	41AFA8A3	41982B03	
DEC 38 : 1.827764	21.957342	19.021002	
HEX 39 : 3C2A4335	41979F57	41A69E75	
DEC 39 : 0.010392	18.952803	20.827372	
HEX 40 : 404A5BAF	41C4F6B4	4194949B	
DEC 40 : 3.161846	24.620461	18.572561	
HEX 41 : 3F8C5871	41C7661F	41A75572	
DEC 41 : 1.096449	24.924864	20.916721	
HEX 42 : 405CE521	4199E116	419D32DA	
DEC 42 : 3.451485	19.234905	19.649830	
HEX 43 : 40AD309C	41B77170	41CB07D1	
DEC 43 : 5.412184	22.930389	25.378817	
HEX 44 : 40A5C497	41A55E56	41A25F65	
DEC 44 : 5.180248	20.671062	20.296579	
HEX 45 : 3BCAFF6D	41A15E79	41C08679	
DEC 45 : 0.006195	20.171129	24.065660	
HEX 46 : 4078774B	41B61EF4	4193021E	
DEC 46 : 3.882281	22.765114	18.376034	
HEX 47 : 3FF7DF55	419CD7C2	41932EAF	
DEC 47 : 1.936503	19.605350	18.397795	
HEX 48 : 40AFC4A2	41A277E6	41B268B9	
DEC 48 : 5.492753	20.308544	22.301134	
HEX 49 : 4100C386	4191A2C9	419FC135	
DEC 49 : 8.047735	18.204485	19.969339	
HEX 50 : 41047A83	41C1C3EB	41CABD59	
DEC 50 : 8.279910	24.220663	25.342455	
HEX 51 : 40A554CC	41BC0B5A	41A54AC7	
DEC 51 : 5.166601	23.505543	20.661512	
HEX 52 : 3BC94B38	41B4A239	4193D34A	
DEC 52 : 0.006143	22.579210	18.478168	
HEX 53 : 3BD99CBF	41C9F67C	418C28D2	
DEC 53 : 0.006641	25.245354	17.519932	
HEX 54 : 3E58FE69	41CBD820	41C0A2F3	
DEC 54 : 0.211908	25.480530	24.079565	
HEX 55 : 40705A14	41884883	41C37DE2	
DEC 55 : 3.755498	17.035406	24.436466	
HEX 56 : 4100C6C7	41919134	41BA5F43	
DEC 56 : 8.048530	18.195900	23.296515	
HEX 57 : 40E2844F	41A25DD9	41A669E2	
DEC 57 : 7.078651	20.295824	20.801701	
HEX 58 : 40EF9907	41A2BC41	41B69BD8	
DEC 58 : 7.487430	20.341921	22.826096	
HEX 59 : 40B4A70D	41B211F7	419961F9	
DEC 59 : 5.645392	22.258772	19.172838	
HEX 60 : 409163BD	41954DFB	41CA5386	
DEC 60 : 4.543425	18.663076	25.290783	
HEX 61 : 3C0D9F90	41BD5D71	41C73F61	
DEC 61 : 0.008644	23.670626	24.905947	
HEX 62 : 40CB5758	41C1AD0C	4195AC3A	
DEC 62 : 6.354412	24.209496	18.709095	
HEX 63 : 3F9F3248	4190BB28	419C0C95	
DEC 63 : 1.243722	18.091385	19.506144	
HEX 64 : 406D1759	41BA3C3D	41C2F677	
DEC 64 : 3.704550	23.279413	24.370344	
HEX 65 : 3CAB1B37	41B9EA3B	41A7B586	
DEC 65 : 0.020887	23.239370	20.963634	
HEX 66 : 40B678E4	41BACB05	41B4F664	
DEC 66 : 5.702257	23.349131	22.620308	
HEX 67 : 40C44ABA	4198D63E	419BFDB1	
DEC 67 : 6.134122	19.104610	19.498873	
HEX 68 : 40B6A529	41947127	418CFD4C	
DEC 68 : 5.707661	18.555250	17.623680	
HEX 69 : 3BCADDDF	41C31E4E	419A9F1D	
DEC 69 : 0.006191	24.389797	19.327692	
HEX 70 : 3FDCE536	418D960A	41BD3088	
DEC 70 : 1.725745	17.698261	23.648697	
HEX 71 : 409842D0	41CB93F2	41A348C4	
DEC 71 : 4.758156	25.447239	20.410530	
HEX 72 : 4104C001	41B93CDE	41A3C664	
DEC 72 : 8.296876	23.154720	20.471870	
HEX 73 : 40D35DF0	41958F23	41AF3953	
DEC 73 : 6.605217	18.694891	21.902990	
HEX 74 : 40F99E79	418FB823	418FFE57	
DEC 74 : 7.800595	17.964911	17.999189	
HEX 75 : 40F6C836	41BD9E41	41B26F30	
DEC 75 : 7.711940	23.702272	22.304291	
HEX 76 : 40CBABAC	4189F0AD	41A3B0C9	
DEC 76 : 6.364706	17.242517	20.461321	
HEX 77 : 3BC96463	418EBF23	41C546B2	
DEC 77 : 0.006146	17.843328	24.659519	
HEX 78 : 3F9CDA77	41A795C5	41CB94AD	
DEC 78 : 1.225417	20.948130	25.447596	
HEX 79 : 40F12637	41AD2D0B	419B32F6	
DEC 79 : 7.535915	21.646994	19.399883	
HEX 80 : 40D0D9B4	41C1BC0F	41C1C7A0	
DEC 80 : 6.526575	24.216825	24.222473	
HEX 81 : 40E9B5C4	41A5D803	41C6EE1B	
DEC 81 : 7.303438	20.730474	24.866262	
HEX 82 : 3FE8728F	41B2DCA6	41A7D7D4	
DEC 82 : 1.815996	22.357738	20.980385	
HEX 83 : 40D50B7C	41B17BBB	41AA6E5E	
DEC 83 : 6.657652	22.185415	21.303890	
HEX 84 : 3BCA46E1	419C62F7	41975849	
DEC 84 : 0.006173	19.548323	18.918108	
HEX 85 : 408D81B6	41AF1452	41AD8D31	
DEC 85 : 4.422084	21.884922	21.693941	
HEX 86 : 40C7F33B	419950F2	41C04465	
DEC 86 : 6.248441	19.164524	24.033396	
HEX 87 : 40A7598E	41BCE9BC	4189546B	
DEC 87 : 5.229682	23.614128	17.166220	
HEX 88 : 4025F634	41993978	41C6206B	
DEC 88 : 2.593152	19.153061	24.765829	
HEX 89 : 404B7C42	419FDB8E	41AE42B7	
DEC 89 : 3.179459	19.982204	21.782576	
HEX 90 : 4102DB22	41BC2BC7	41921A31	
DEC 90 : 8.178499	23.521376	18.262789	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
