Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 413EB017	41B838B7	419A2810	
DEC 1 : 11.917991	23.027693	19.269562	
HEX 2 : 416C2A7E	41B8C5AE	41A5D7B0	
DEC 2 : 14.760374	23.096523	20.730316	
HEX 3 : 41300183	41AC6884	41B78707	
DEC 3 : 11.000369	21.551033	22.940931	
HEX 4 : 41146AFB	41C4EBE5	41BD3AC1	
DEC 4 : 9.276118	24.615183	23.653688	
HEX 5 : 411AEECD	419C9A2D	418BA97B	
DEC 5 : 9.683301	19.575281	17.457754	
HEX 6 : 410F1685	41A269C2	419EDDB6	
DEC 6 : 8.942998	20.301640	19.858257	
HEX 7 : 41843AA3	419CF4A7	41C03017	
DEC 7 : 16.528631	19.619459	24.023481	
HEX 8 : 4139D0C9	41986E16	418B4491	
DEC 8 : 11.613473	19.053753	17.408480	
HEX 9 : 4185D27A	41890B3E	41A792B4	
DEC 9 : 16.727772	17.130489	20.946632	
HEX 10 : 410EDA5E	41AAC786	418FF764	
DEC 10 : 8.928312	21.347424	17.995796	
HEX 11 : 4111DB00	41A9809B	41C02C09	
DEC 11 : 9.115967	21.187796	24.021502	
HEX 12 : 41608C55	41BBB3E3	4195D3D4	
DEC 12 : 14.034261	23.462835	18.728432	
HEX 13 : 417984F5	418DA475	41C123E8	
DEC 13 : 15.594960	17.705301	24.142532	
HEX 14 : 415371F9	4188D9FA	41A0C89E	
DEC 14 : 13.215325	17.106434	20.097958	
HEX 15 : 4133EE9F	41B5A6C7	41A914C5	
DEC 15 : 11.245757	22.706434	21.135141	
HEX 16 : 412924FD	41C3FDFF	419CA9AE	
DEC 16 : 10.571530	24.499022	19.582851	
HEX 17 : 416EA080	4188CA1C	41B05B6B	
DEC 17 : 14.914185	17.098686	22.044638	
HEX 18 : 414AF68C	41B5D547	418AFED5	
DEC 18 : 12.685192	22.729139	17.374430	
HEX 19 : 410975AB	41C78746	419CF9CB	
DEC 19 : 8.591228	24.941051	19.621969	
HEX 20 : 41394E25	41CA4F2B	41A8F164	
DEC 20 : 11.581578	25.288656	21.117867	
HEX 21 : 414E5F5B	41C92A64	419A9F25	
DEC 21 : 12.898280	25.145699	19.327707	
HEX 22 : 4125344C	41B98495	4190910D	
DEC 22 : 10.325268	23.189737	18.070826	
HEX 23 : 412783BC	41A26ED3	41A933BB	
DEC 23 : 10.469662	20.304113	21.150259	
HEX 24 : 418290DF	41A87E7C	419ED8DC	
DEC 24 : 16.320738	21.061760	19.855888	
HEX 25 : 416B0C3D	419BC791	41C661F5	
DEC 25 : 14.690488	19.472445	24.797831	
HEX 26 : 415E488C	41ABF2E9	419F41D2	
DEC 26 : 13.892712	21.493608	19.907139	
HEX 27 : 412A6B3E	419A803E	41998155	
DEC 27 : 10.651182	19.312618	19.188150	
HEX 28 : 410B45BD	4199F896	41AC5C65	
DEC 28 : 8.704526	19.246380	21.545115	
HEX 29 : 411EC947	41B0A105	419E2574	
DEC 29 : 9.924140	22.078623	19.768288	
HEX 30 : 413A27E0	418B2CB8	4197427C	
DEC 30 : 11.634735	17.396835	18.907463	
HEX 31 : 4157F0BD	419D88FB	41A656ED	
DEC 31 : 13.496274	19.691885	20.792444	
HEX 32 : 41739614	41AF3555	41922DE8	
DEC 32 : 15.224140	21.901041	18.272415	
HEX 33 : 411A27A2	41C8C3F1	418F5B67	
DEC 33 : 9.634676	25.095675	17.919630	
HEX 34 : 410DE2A6	419A53A0	41C7BEFC	
DEC 34 : 8.867834	19.290833	24.968254	
HEX 35 : 414B314D	41C85CC4	41B73D56	
DEC 35 : 12.699536	25.045296	22.904949	
HEX 36 : 417BC0C9	41BB0746	41CBB85C	
DEC 36 : 15.734567	23.378551	25.465019	
HEX 37 : 416FAADA	41AD766C	41B1062C	
DEC 37 : 14.979212	21.682823	22.128014	
HEX 38 : 412CD006	41A7FFC7	41C8A94C	
DEC 38 : 10.800787	20.999891	25.082664	
HEX 39 : 41189571	4189F3B7	41C313DD	
DEC 39 : 9.536485	17.244001	24.384699	
HEX 40 : 414E4A71	41BE7246	41A6A97B	
DEC 40 : 12.893174	23.805798	20.832754	
HEX 41 : 41690EA5	41C9824A	418BE133	
DEC 41 : 14.566075	25.188618	17.484961	
HEX 42 : 4151A450	41B8C888	41B5883F	
DEC 42 : 13.102615	23.097916	22.691526	
HEX 43 : 415A95EF	419A5E21	4188B2A0	
DEC 43 : 13.661605	19.295961	17.087219	
HEX 44 : 411F5BEC	419CF74E	41B8E043	
DEC 44 : 9.959942	19.620754	23.109503	
HEX 45 : 412F89EA	41A8A597	4190EC78	
DEC 45 : 10.971170	21.080854	18.115463	
