Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 41C2EFD3	40D58F52	3F9B6A94	
DEC 1 : 24.367102	6.673745	1.214190	
HEX 2 : 41C3F6CC	3AC08B76	40AA7C18	
DEC 2 : 24.495506	0.001469	5.327648	
HEX 3 : 41A206B9	40EF2D7B	40FB3498	
DEC 3 : 20.253283	7.474302	7.850170	
HEX 4 : 418DEE4E	3AD9945B	40F0D764	
DEC 4 : 17.741360	0.001660	7.526293	
HEX 5 : 41C6CFB6	4075DDFD	40DE2E0C	
DEC 5 : 24.851421	3.841674	6.943121	
HEX 6 : 419D136B	3AC0AD04	40DBEEB9	
DEC 6 : 19.634481	0.001470	6.872891	
HEX 7 : 41B8DD52	3F4659E2	3FFA0FE4	
DEC 7 : 23.108067	0.774809	1.953610	
HEX 8 : 419F827F	41065EF5	4099B7A6	
DEC 8 : 19.938719	8.398183	4.803668	
HEX 9 : 41906FEC	40D8348D	40FEA971	
DEC 9 : 18.054649	6.756415	7.958184	
HEX 10 : 41B8B19F	40C3F80E	405C17E7	
DEC 10 : 23.086729	6.124030	3.438959	
HEX 11 : 4195F91A	4105590E	40CD19AC	
DEC 11 : 18.746632	8.334242	6.409384	
HEX 12 : 41CAC2A9	40FB1C3F	405508D9	
DEC 12 : 25.345049	7.847198	3.328665	
HEX 13 : 41A58CB9	409B4C90	40F0A4A7	
DEC 13 : 20.693712	4.853096	7.520099	
HEX 14 : 41BA2362	4104E883	40E280CB	
DEC 14 : 23.267277	8.306766	7.078222	
HEX 15 : 419D6AD8	3FC301B8	406135CE	
DEC 15 : 19.677170	1.523490	3.518909	
HEX 16 : 41C248B9	40AFBC99	40A2834B	
DEC 16 : 24.285509	5.491772	5.078527	
HEX 17 : 41B9AECF	3AC069E8	4072E4A4	
DEC 17 : 23.210356	0.001468	3.795205	
HEX 18 : 41C9366F	4052E942	3A4C78EA	
DEC 18 : 25.151579	3.295487	0.000780	
HEX 19 : 41AC67B6	3E70867B	3A4564F9	
DEC 19 : 21.550640	0.234888	0.000753	
HEX 20 : 41C91D4C	40B2367A	4051615B	
DEC 20 : 25.139305	5.569150	3.271567	
HEX 21 : 41BB3BAE	4106EBB9	405F0404	
DEC 21 : 23.404140	8.432549	3.484620	
HEX 22 : 419027AF	40695958	3F2567A9	
DEC 22 : 18.019377	3.646078	0.646113	
HEX 23 : 41AF0AF7	40CB0675	41020546	
DEC 23 : 21.880354	6.344538	8.126287	
HEX 24 : 41BC852E	4085B14F	40429208	
DEC 24 : 23.565029	4.177894	3.040163	
HEX 25 : 41B22C75	40EAD4EB	3FD9B542	
DEC 25 : 22.271708	7.338491	1.700844	
HEX 26 : 4189303F	408F7F2C	4027CBDA	
DEC 26 : 17.148558	4.484274	2.621817	
