Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 4206B71F	3AB26395	40870F2E	
DEC 1 : 33.678829	0.001361	4.220603	
HEX 2 : 41EE7C67	3F8791C5	40D296A2	
DEC 2 : 29.810743	1.059136	6.580888	
HEX 3 : 41EFF621	40FE03DE	3FC43AD2	
DEC 3 : 29.995180	7.937972	1.533045	
HEX 4 : 420794BA	404D9FFD	40664580	
DEC 4 : 33.895241	3.212890	3.597992	
HEX 5 : 41F1E0A9	401134BD	409B071E	
DEC 5 : 30.234697	2.268844	4.844619	
HEX 6 : 41F2D762	403E5E07	40D88D8B	
DEC 6 : 30.355167	2.974489	6.767278	
HEX 7 : 41FD77B5	3FF7C3CE	405F2FE4	
DEC 7 : 31.683451	1.935663	3.487298	
HEX 8 : 41D7AD0E	4084D29C	3A4BF2B2	
DEC 8 : 26.959499	4.150709	0.000778	
HEX 9 : 4200FBE1	40EF5B4B	40B4E929	
DEC 9 : 32.245975	7.479894	5.653462	
HEX 10 : 41CEB4F7	407DA52F	40A208C4	
DEC 10 : 25.838362	3.963207	5.063570	
HEX 11 : 41D094A0	4055E315	404B50EC	
DEC 11 : 26.072571	3.341985	3.176814	
HEX 12 : 41F8D257	40C64936	40D5A2D7	
DEC 12 : 31.102705	6.196437	6.676128	
HEX 13 : 41D1FC24	40D9B5CA	3FF0CCA3	
DEC 13 : 26.248116	6.803441	1.881245	
HEX 14 : 41D6D2EC	4009D413	3A7733A9	
DEC 14 : 26.852989	2.153569	0.000943	
HEX 15 : 41FA3FE6	40FF86C2	40F1B021	
DEC 15 : 31.281200	7.985200	7.552750	
HEX 16 : 42042783	3ABAE89F	40DF01BA	
DEC 16 : 33.038586	0.001426	6.968961	
HEX 17 : 41DCEF23	40E2BEEC	4053F7CF	
DEC 17 : 27.616766	7.085806	3.312000	
HEX 18 : 41E3DD73	40D24190	3FC99A84	
DEC 18 : 28.483130	6.570503	1.575028	
HEX 19 : 42073B4E	40D7B68D	409004E4	
DEC 19 : 33.807915	6.741034	4.500597	
HEX 20 : 41F5AC55	3E4211CB	3E14C6E7	
DEC 20 : 30.709146	0.189521	0.145290	
HEX 21 : 41DDC652	4016825A	406E5387	
DEC 21 : 27.721836	2.351706	3.723848	
HEX 22 : 41F54505	408F8EB6	40AFCA38	
DEC 22 : 30.658701	4.486171	5.493435	
HEX 23 : 41F67DD5	40AEE801	3FC08AB5	
DEC 23 : 30.811441	5.465821	1.504233	
HEX 24 : 41FF89AC	3FF8DEB9	3FA81112	
DEC 24 : 31.942223	1.944297	1.313021	
HEX 25 : 41E0CB1E	40CF0E22	40F20455	
DEC 25 : 28.099178	6.470475	7.563029	
HEX 26 : 41EB9929	3F9D0186	404A8733	
DEC 26 : 29.449785	1.226609	3.164502	
HEX 27 : 41E12D69	40C32E0C	40AB3AA6	
DEC 27 : 28.147173	6.099371	5.350909	
HEX 28 : 41F6F989	408326A8	405BA1A1	
DEC 28 : 30.871843	4.098469	3.431740	
HEX 29 : 41D193B2	3FACBEAD	4093A971	
DEC 29 : 26.197117	1.349569	4.614434	
HEX 30 : 4200DF48	40B38C20	409E267A	
DEC 30 : 32.218048	5.610855	4.942197	
HEX 31 : 41D9F389	409F6D57	407188CE	
DEC 31 : 27.243914	4.982097	3.773975	
HEX 32 : 41D997E5	3EDB358F	402B1B7E	
DEC 32 : 27.199167	0.428143	2.673553	
HEX 33 : 41DEA6A4	3F602EEC	40CB8C3F	
DEC 33 : 27.831367	0.875716	6.360870	
HEX 34 : 41E7BBE1	40A8A1CB	3E0A1230	
DEC 34 : 28.966738	5.269750	0.134835	
HEX 35 : 4204C40C	3F8087BA	4023DA90	
DEC 35 : 33.191452	1.004142	2.560215	
HEX 36 : 41D0E58C	40D2539C	4096DB81	
DEC 36 : 26.112083	6.572706	4.714295	
HEX 37 : 41D0B8D5	3FEE36EB	3FE9D2F2	
DEC 37 : 26.090250	1.861051	1.826750	
HEX 38 : 41FD8868	3AC308FF	407FC044	
DEC 38 : 31.691605	0.001488	3.996110	
HEX 39 : 4201EA36	40AF5E3C	403375E6	
DEC 39 : 32.478722	5.480253	2.804071	
HEX 40 : 41FDC19A	40E47CF6	40703D71	
DEC 40 : 31.719532	7.140254	3.753750	
HEX 41 : 4204FAB3	41064961	4050A7F0	
DEC 41 : 33.244823	8.392915	3.260250	
HEX 42 : 41F5B3BB	4084D17C	3A4CBC06	
DEC 42 : 30.712759	4.150572	0.000781	
HEX 43 : 42032353	408B5700	40EAAF77	
DEC 43 : 32.784496	4.354370	7.333919	
HEX 44 : 41DF84CC	4017B03E	40F5F091	
DEC 44 : 27.939842	2.370132	7.685616	
HEX 45 : 42059167	3FC32839	3A4B6C7A	
DEC 45 : 33.391994	1.524665	0.000776	
HEX 46 : 41D44EDC	401BC265	40C85213	
DEC 46 : 26.538506	2.433740	6.260019	
HEX 47 : 41F30D64	40471C76	3FE1A9FC	
DEC 47 : 30.381538	3.111112	1.763000	
HEX 48 : 41E89774	407E5E42	408C58DA	
DEC 48 : 29.073952	3.974503	4.385846	
HEX 49 : 41D98A98	40A167F1	3FE331F4	
DEC 49 : 27.192673	5.043938	1.774962	
HEX 50 : 41D7ACA1	3F439DA1	4105CFAD	
DEC 50 : 26.959291	0.764124	8.363202	
HEX 51 : 41F2D6E5	40D68115	3A4BF2B2	
DEC 51 : 30.354929	6.703257	0.000778	
HEX 52 : 41EC52AE	40F3AB47	405D0803	
DEC 52 : 29.540371	7.614658	3.453614	
HEX 53 : 41F398D1	400ABE6A	3A417657	
DEC 53 : 30.449617	2.167872	0.000738	
HEX 54 : 41F1A83E	40CA0C37	409A336A	
DEC 54 : 30.207150	6.313991	4.818776	
HEX 55 : 42055453	40C58B13	40D6A943	
DEC 55 : 33.332348	6.173227	6.708162	
HEX 56 : 41D5810C	407B799E	40F75C83	
DEC 56 : 26.688011	3.929298	7.730043	
HEX 57 : 420218F7	3AB7A1C2	3F76AA19	
DEC 57 : 32.524380	0.001401	0.963533	
HEX 58 : 41DA9C68	41076634	3FCB78EE	
DEC 58 : 27.326370	8.462452	1.589628	
HEX 59 : 42040006	3FE5D5AA	410335D0	
DEC 59 : 33.000023	1.795583	8.200638	
HEX 60 : 4203D4A0	40E144AC	3DE47FDC	
DEC 60 : 32.957642	7.039633	0.111572	
HEX 61 : 42063609	40FE89FA	4106A4E9	
DEC 61 : 33.552769	7.954343	8.415261	
HEX 62 : 41E41539	402ACF4F	40B95977	
DEC 62 : 28.510363	2.668903	5.792171	
HEX 63 : 41E18692	3FFF18DB	3FE80F91	
DEC 63 : 28.190708	1.992946	1.812975	
HEX 64 : 4207895A	40D94AC7	400FEB8E	
DEC 64 : 33.884132	6.790378	2.248752	
HEX 65 : 41EAB0A0	41000B45	41067D2F	
DEC 65 : 29.336243	8.002751	8.405562	
HEX 66 : 41D7BD6B	40C4D272	3BA52EF9	
DEC 66 : 26.967489	6.150689	0.005041	
HEX 67 : 4202CE68	40690269	40034984	
DEC 67 : 32.701569	3.640772	2.051362	
HEX 68 : 4203B51F	40A4A9B9	3F40E8C9	
DEC 68 : 32.926876	5.145718	0.753552	
HEX 69 : 41FD2592	3F57F0CC	40B9E806	
DEC 69 : 31.643345	0.843518	5.809573	
HEX 70 : 41D8F35C	40F79A7E	40C7FEEF	
DEC 70 : 27.118828	7.737609	6.249870	
HEX 71 : 41E52828	4075A1E8	401BFBF4	
DEC 71 : 28.644608	3.838007	2.437253	
HEX 72 : 41DD63E9	3AC026CC	40923524	
DEC 72 : 27.673784	0.001466	4.568987	
HEX 73 : 41EBDD63	40EBF224	40CDF517	
DEC 73 : 29.483099	7.373308	6.436168	
HEX 74 : 41FB2567	3ABEF8CF	4101B24E	
DEC 74 : 31.393263	0.001457	8.106031	
HEX 75 : 41E601EF	3ABD017E	40FD04A7	
DEC 75 : 28.750944	0.001442	7.906818	
HEX 76 : 41ED3F19	3DE611FD	409A0078	
DEC 76 : 29.655809	0.112339	4.812557	
HEX 77 : 41D1E1D6	40E8A7BD	4102824F	
DEC 77 : 26.235271	7.270476	8.156814	
HEX 78 : 41CC4280	4006C090	40FEA0C3	
DEC 78 : 25.532471	2.105503	7.957124	
HEX 79 : 41CEF655	3EAD39DA	40D7B335	
DEC 79 : 25.870279	0.338332	6.740626	
HEX 80 : 42022700	40555337	3B3630A9	
DEC 80 : 32.538086	3.333204	0.002780	
HEX 81 : 41EB7E0E	40B27BDD	4041A92A	
DEC 81 : 29.436550	5.577620	3.025950	
HEX 82 : 42013569	40264BF9	40D0392A	
DEC 82 : 32.302158	2.598387	6.506978	
HEX 83 : 41E614C1	40520C7C	3D6617C2	
DEC 83 : 28.760134	3.282012	0.056175	
HEX 84 : 41DA6A41	3ABFC222	3F38E8C9	
DEC 84 : 27.301882	0.001463	0.722302	
HEX 85 : 41D3A563	40B0EE0D	40D1AD69	
DEC 85 : 26.455755	5.529059	6.552418	
HEX 86 : 41F6A45D	409304BE	40FAF0D2	
DEC 86 : 30.830256	4.594329	7.841897	
HEX 87 : 41F7DFA8	3ED3502B	400AF502	
DEC 87 : 30.984207	0.412721	2.171204	
HEX 88 : 41FE9FD9	40E56CCE	3FE0E286	
DEC 88 : 31.828051	7.169532	1.756913	
HEX 89 : 4207F655	409224B1	40A7FC1C	
DEC 89 : 33.990559	4.566979	5.249525	
HEX 90 : 42013419	4067D063	4097EA7F	
DEC 90 : 32.300877	3.622094	4.747375	
HEX 91 : 41E53D08	3FA48D65	3A4069E8	
DEC 91 : 28.654800	1.285565	0.000734	
