Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 4176D727	416C6472	40368A93	
DEC 1 : 15.427527	14.774523	2.852208	
HEX 2 : 4133B355	41619A84	3A4C35CE	
DEC 2 : 11.231282	14.100224	0.000779	
HEX 3 : 4182827D	4184458C	4020730C	
DEC 3 : 16.313715	16.533958	2.507022	
HEX 4 : 41144AF6	411FA81A	4056824D	
DEC 4 : 9.268301	9.978540	3.351703	
HEX 5 : 416708E6	41462FCB	403CB0E6	
DEC 5 : 14.439672	12.386668	2.948297	
HEX 6 : 410CF4E7	41279D27	41050A37	
DEC 6 : 8.809791	10.475867	8.314994	
HEX 7 : 4146C539	414376C0	40639364	
DEC 7 : 12.423150	12.216492	3.555871	
HEX 8 : 41796D3E	416D49CC	40B0755C	
DEC 8 : 15.589170	14.830517	5.514326	
HEX 9 : 417CA62F	4154F79A	40854B88	
DEC 9 : 15.790572	13.310450	4.165470	
HEX 10 : 41561B1A	4187F79B	3D8D1E97	
DEC 10 : 13.381617	16.995901	0.068906	
HEX 11 : 4186AF9A	411EB546	405AC915	
DEC 11 : 16.835743	9.919256	3.418523	
HEX 12 : 414078CF	416F3F8D	4096D838	
DEC 12 : 12.029494	14.953015	4.713894	
HEX 13 : 4156565B	418481AE	4013AB43	
DEC 13 : 13.396083	16.563320	2.307328	
HEX 14 : 41724700	4162A8A4	40EC6271	
DEC 14 : 15.142334	14.166172	7.387017	
HEX 15 : 414D3D38	412684F7	3A4CFF22	
DEC 15 : 12.827446	10.407462	0.000782	
HEX 16 : 4168A233	412D5942	40A24EC8	
DEC 16 : 14.539599	10.834291	5.072117	
HEX 17 : 4186AD9D	4147AEEC	3FB29657	
DEC 17 : 16.834772	12.480206	1.395213	
HEX 18 : 41515E8B	41704E41	3A4C78EA	
DEC 18 : 13.085582	15.019105	0.000780	
HEX 19 : 417B5AFC	413090CD	400CC222	
DEC 19 : 15.709713	11.035352	2.199349	
HEX 20 : 411F26CB	414EFC5C	3FFC6174	
DEC 20 : 9.946971	12.936611	1.971724	
HEX 21 : 41847120	414E5247	41042772	
DEC 21 : 16.555237	12.895087	8.259630	
HEX 22 : 412BE6C8	41493470	40BC939A	
DEC 22 : 10.743843	12.575302	5.893018	
HEX 23 : 41601B2F	41372E5C	3F9E2C34	
DEC 23 : 14.006637	11.448818	1.235724	
HEX 24 : 410B7CA7	416AF65B	3FE67FFE	
DEC 24 : 8.717933	14.685145	1.800781	
HEX 25 : 41347E76	41191019	405AE38A	
DEC 25 : 11.280874	9.566430	3.420138	
HEX 26 : 411C9428	410FDEDA	3FD86888	
DEC 26 : 9.786171	8.991907	1.690690	
HEX 27 : 413DD1D9	4181688B	3F8A785B	
DEC 27 : 11.863732	16.176046	1.081798	
HEX 28 : 414D9DDE	416ABDAF	3FFA67BE	
DEC 28 : 12.851042	14.671309	1.956291	
HEX 29 : 41864B90	41566115	40C76E2B	
DEC 29 : 16.786896	13.398702	6.232198	
HEX 30 : 4134619C	4182F523	40F47354	
DEC 30 : 11.273830	16.369696	7.639078	
HEX 31 : 41120359	4117789B	40A8F500	
DEC 31 : 9.125817	9.466945	5.279907	
HEX 32 : 410E677C	4138E4F8	40B41E30	
DEC 32 : 8.900265	11.555901	5.628685	
HEX 33 : 4132754D	413703F0	3EBCCD96	
DEC 33 : 11.153638	11.438461	0.368756	
HEX 34 : 417670E5	4146A184	3A4C35CE	
DEC 34 : 15.402562	12.414433	0.000779	
HEX 35 : 413ACB79	411A9FCD	3FBB19AC	
DEC 35 : 11.674676	9.664014	1.461721	
HEX 36 : 410A1FC9	415C95CD	40C1B6B9	
DEC 36 : 8.632760	13.786572	6.053555	
HEX 37 : 4156F5DA	415EF068	406E2802	
DEC 37 : 13.435022	13.933693	3.721192	
HEX 38 : 41644917	41182964	3FD36FB1	
DEC 38 : 14.267844	9.510105	1.651846	
HEX 39 : 417C383D	41397B45	40DED7B0	
DEC 39 : 15.763730	11.592595	6.963829	
HEX 40 : 41110596	414094C0	40618959	
DEC 40 : 9.063864	12.036316	3.524008	
HEX 41 : 418302E8	410AC33D	3F190E88	
DEC 41 : 16.376419	8.672666	0.597878	
HEX 42 : 41293A23	412FC5AC	40948024	
DEC 42 : 10.576694	10.985760	4.640642	
HEX 43 : 413AA368	4129761E	40D08315	
DEC 43 : 11.664894	10.591337	6.516001	
HEX 44 : 4150675F	4126A0BB	403BA3BE	
DEC 44 : 13.025237	10.414241	2.931869	
HEX 45 : 412096CB	41709860	40921557	
DEC 45 : 10.036815	15.037201	4.565105	
HEX 46 : 412AF739	41526204	4078DD01	
DEC 46 : 10.685357	13.148930	3.888489	
HEX 47 : 413FB055	41851DEB	40B934A2	
DEC 47 : 11.980550	16.639608	5.787675	
HEX 48 : 4187E53D	41817835	3F28166A	
DEC 48 : 16.986933	16.183695	0.656592	
HEX 49 : 417762D3	4180E2EA	40E17696	
DEC 49 : 15.461627	16.110798	7.045726	
HEX 50 : 416A890B	415A2520	3FB33EBC	
DEC 50 : 14.658458	13.634064	1.400352	
HEX 51 : 411A32A1	4174D7C2	3DEFB092	
DEC 51 : 9.637361	15.302675	0.117036	
HEX 52 : 411B70A8	41219454	3A4C35CE	
DEC 52 : 9.715004	10.098713	0.000779	
HEX 53 : 416BC5B8	4179B15D	3F8984BA	
DEC 53 : 14.735771	15.605802	1.074363	
HEX 54 : 41215822	41180F77	40E28EEB	
DEC 54 : 10.084017	9.503776	7.079946	
HEX 55 : 4180D10E	416837BF	3B230DB7	
DEC 55 : 16.102077	14.513610	0.002488	
HEX 56 : 414D88FA	413D21B5	40AF0BCC	
DEC 56 : 12.845942	11.820729	5.470190	
HEX 57 : 4164B2CC	417AA0B9	4087A485	
DEC 57 : 14.293652	15.664239	4.238833	
HEX 58 : 411A3DC3	414CA831	3A4C35CE	
DEC 58 : 9.640079	12.791062	0.000779	
HEX 59 : 41686EE4	4145DF8E	41076475	
DEC 59 : 14.527073	12.367079	8.462026	
HEX 60 : 416A8EEE	410F709C	40B8BC97	
DEC 60 : 14.659895	8.964993	5.773021	
HEX 61 : 4156D1D2	414E9387	3A4C35CE	
DEC 61 : 13.426226	12.911017	0.000779	
HEX 62 : 41136B04	41311B56	3FD68BA0	
DEC 62 : 9.213627	11.069174	1.676136	
HEX 63 : 414525A2	410AE428	40D60C24	
DEC 63 : 12.321688	8.680702	6.688982	
HEX 64 : 412CC698	41375B17	410187AF	
DEC 64 : 10.798485	11.459739	8.095626	
HEX 65 : 418315BA	41374906	4093C3A6	
DEC 65 : 16.385609	11.455328	4.617633	
HEX 66 : 413B0D26	41842D43	406156DA	
DEC 66 : 11.690710	16.522100	3.520926	
HEX 67 : 412EF2C3	4169641E	40215743	
DEC 67 : 10.934268	14.586943	2.520951	
HEX 68 : 411B99B2	4171590D	40F998EC	
DEC 68 : 9.725023	15.084241	7.799917	
HEX 69 : 416CDC34	41187D56	406507B8	
DEC 69 : 14.803761	9.530600	3.578596	
HEX 70 : 416A635A	414F9593	40B9FE63	
DEC 70 : 14.649256	12.974017	5.812303	
HEX 71 : 4147E06B	4120796B	41051D9C	
DEC 71 : 12.492290	10.029643	8.319729	
HEX 72 : 4177C760	41270713	3E9B5504	
DEC 72 : 15.486176	10.439227	0.303383	
HEX 73 : 415E4B4D	412E3816	40E162E9	
DEC 73 : 13.893384	10.888693	7.043324	
HEX 74 : 413F66C9	414E742F	3FBB65AA	
DEC 74 : 11.962594	12.903365	1.464040	
HEX 75 : 414C7B20	41188194	4097CA9B	
DEC 75 : 12.780060	9.531635	4.743482	
HEX 76 : 41140298	414E1CB0	40FCD0D5	
DEC 76 : 9.250633	12.882004	7.900492	
HEX 77 : 415A222F	416D2BF7	40BDDE8B	
DEC 77 : 13.633346	14.823234	5.933416	
HEX 78 : 417501B0	4119D9CF	40F5EB92	
DEC 78 : 15.312912	9.615676	7.685006	
HEX 79 : 41310D4A	41354B58	40189468	
DEC 79 : 11.065744	11.330894	2.384058	
HEX 80 : 414A81E4	414CC17C	40E691DE	
DEC 80 : 12.656712	12.797237	7.205306	
HEX 81 : 4136D70B	41682287	40D231DF	
DEC 81 : 11.427501	14.508430	6.568588	
HEX 82 : 415097E2	416A8288	40FABCC9	
DEC 82 : 13.037081	14.656868	7.835545	
HEX 83 : 41170798	41877897	408B3F38	
DEC 83 : 9.439354	16.933882	4.351467	
HEX 84 : 41130416	417FEC55	40C34517	
DEC 84 : 9.188498	15.995198	6.102184	
HEX 85 : 41858609	411C6262	40C23C30	
DEC 85 : 16.690447	9.774019	6.069847	
HEX 86 : 412032D2	4182E0D1	401BE4E7	
DEC 86 : 10.012407	16.359774	2.435846	
HEX 87 : 418607A7	4174F8FE	410719B5	
DEC 87 : 16.753736	15.310789	8.443776	
HEX 88 : 4157A16B	4184C868	40E3A6CA	
DEC 88 : 13.476909	16.597855	7.114110	
HEX 89 : 4132BE63	4158E762	4104F0B5	
DEC 89 : 11.171481	13.556490	8.308766	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
