Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 420596E4	410D3B69	40D3EAD5	
DEC 1 : 33.397354	8.827004	6.622416	
HEX 2 : 41EFD00D	415C5C6A	408CE5F7	
DEC 2 : 29.976587	13.772562	4.403072	
HEX 3 : 42068C6E	4177EF46	4054FE3B	
DEC 3 : 33.637138	15.495916	3.328017	
HEX 4 : 41D889C1	41134BDD	405B65DC	
DEC 4 : 27.067263	9.206021	3.428092	
HEX 5 : 41DB5C06	414A4D49	40A9CCC0	
DEC 5 : 27.419933	12.643868	5.306244	
HEX 6 : 420182DA	412FDED1	4006836B	
DEC 6 : 32.377785	10.991899	2.101771	
HEX 7 : 41DB0177	4176AC39	3FF70881	
DEC 7 : 27.375715	15.417047	1.929947	
HEX 8 : 41CC8690	414B3F35	4091E37A	
DEC 8 : 25.565704	12.702931	4.559018	
HEX 9 : 4201B4DD	41247A52	3A4BAF96	
DEC 9 : 32.426624	10.279863	0.000777	
HEX 10 : 4206A0C7	4187CD91	3A4C78EA	
DEC 10 : 33.657009	16.975374	0.000780	
HEX 11 : 41E4BCD7	415680B1	3FCD0C13	
DEC 11 : 28.592207	13.406419	1.601931	
HEX 12 : 41EAD42F	413DF422	408C8764	
DEC 12 : 29.353605	11.872103	4.391527	
HEX 13 : 41F7CEC7	4178CB2D	3C886595	
DEC 13 : 30.975965	15.549603	0.016650	
HEX 14 : 41CE2E43	411B6F47	3FBA6F26	
DEC 14 : 25.772589	9.714667	1.456517	
HEX 15 : 41D759F8	4183102D	41059F45	
DEC 15 : 26.918930	16.382898	8.351384	
HEX 16 : 41CF36A5	413147B9	3A4C35CE	
DEC 16 : 25.901682	11.080010	0.000779	
HEX 17 : 41FD4C50	41789989	4040F29D	
DEC 17 : 31.662262	15.537484	3.014808	
HEX 18 : 41FB5B48	4112B6E7	4040531A	
DEC 18 : 31.419571	9.169654	3.005072	
HEX 19 : 41D300ED	4148CDE0	40E04BE6	
DEC 19 : 26.375452	12.550262	7.009265	
HEX 20 : 41E315F2	4108F273	409924FF	
DEC 20 : 28.385715	8.559192	4.785766	
HEX 21 : 41F207E3	41298F65	41002035	
DEC 21 : 30.253851	10.597508	8.007863	
HEX 22 : 41DBBF51	412C1187	3FD516EC	
DEC 22 : 27.468416	10.754279	1.664762	
HEX 23 : 4206FD77	415CD82A	400F8512	
DEC 23 : 33.747524	13.802774	2.242497	
HEX 24 : 41F2A8E2	414809CC	40E961C1	
DEC 24 : 30.332462	12.502392	7.293183	
HEX 25 : 41D29872	418228C2	4059BD34	
DEC 25 : 26.324436	16.269901	3.402173	
HEX 26 : 41F8F108	4132B8A1	40694196	
DEC 26 : 31.117691	11.170075	3.644628	
HEX 27 : 4200ECC4	417A8BF8	40FFCD0C	
DEC 27 : 32.231216	15.659172	7.993780	
HEX 28 : 42070FA0	415DE678	408F7BB5	
DEC 28 : 33.765259	13.868767	4.483851	
HEX 29 : 41F2DBAD	41099846	40A3D871	
DEC 29 : 30.357264	8.599676	5.120171	
HEX 30 : 41FDC5DE	411E55AC	40DB0612	
DEC 30 : 31.721615	9.895916	6.844491	
HEX 31 : 4207823D	414993B2	40C0C9E0	
DEC 31 : 33.877186	12.598558	6.024643	
HEX 32 : 41D39492	415F96F1	3F66DC1A	
DEC 32 : 26.447544	13.974351	0.901796	
HEX 33 : 41DDE42A	41503592	405770EB	
DEC 33 : 27.736408	13.013079	3.366267	
