Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 1 : 4103F1BC	41882D0C	3FE29614	
DEC 1 : 8.246517	17.021996	1.770205	
HEX 2 : 41073213	41AF0F1E	407EFA2B	
DEC 2 : 8.449725	21.882381	3.984019	
HEX 3 : 40FDD47E	41A06752	4057B999	
DEC 3 : 7.932189	20.050449	3.370703	
HEX 4 : 40733361	41B2C178	40E36317	
DEC 4 : 3.800011	22.344467	7.105846	
HEX 5 : 3FDDEEF6	4196BF7C	4100854C	
DEC 5 : 1.733855	18.843498	8.032543	
HEX 6 : 40FA50AB	419D1FF7	40D6BAC1	
DEC 6 : 7.822347	19.640608	6.710297	
HEX 7 : 409558F3	41C655AD	40CB8579	
DEC 7 : 4.667108	24.791834	6.360043	
HEX 8 : 4067E3B9	418F3E76	410584CC	
DEC 8 : 3.623274	17.905499	8.344921	
HEX 9 : 40A98D99	41B61D9B	4105CADB	
DEC 9 : 5.298535	22.764456	8.362025	
HEX 10 : 409ADBE4	41BA29BD	400BB99D	
DEC 10 : 4.839342	23.270380	2.183204	
HEX 11 : 40EFF60E	4197031A	3FE7C161	
DEC 11 : 7.498786	18.876514	1.810589	
HEX 12 : 3BCAEEA6	419AAF75	40A41A9C	
DEC 12 : 0.006193	19.335672	5.128248	
HEX 13 : 40E1B572	41A50343	3A4C35CE	
DEC 13 : 7.053399	20.626593	0.000779	
HEX 14 : 4104285F	4193F651	3A4DC875	
DEC 14 : 8.259856	18.495272	0.000785	
HEX 15 : 406984CF	41A4F4FC	40B7FF80	
DEC 15 : 3.648731	20.619621	5.749939	
HEX 16 : 4008BDB6	41A97632	40DDCFA7	
DEC 16 : 2.136579	21.182713	6.931598	
HEX 17 : 3FD65343	41A35B10	4034C0C6	
DEC 17 : 1.674416	20.419464	2.824266	
HEX 18 : 40CB9F36	41BBD0F8	40AC2548	
DEC 18 : 6.363185	23.477036	5.379551	
HEX 19 : 40855790	4189470F	40D24209	
DEC 19 : 4.166939	17.159697	6.570561	
HEX 20 : 40E1F7C9	41A46859	40A33544	
DEC 20 : 7.061497	20.550951	5.100252	
HEX 21 : 3BCA686E	4198E762	40490100	
DEC 21 : 0.006177	19.112980	3.140686	
HEX 22 : 40E193CD	41B2E682	3F7E74B0	
DEC 22 : 7.049292	22.362553	0.993968	
HEX 23 : 3FC58F1D	41B88C47	40ED5D5D	
DEC 23 : 1.543430	23.068495	7.417647	
HEX 24 : 40C9AF29	41A879A7	4017CAB8	
DEC 24 : 6.302632	21.059401	2.371748	
HEX 25 : 403A2BD0	41C42EAA	40E8C975	
DEC 25 : 2.908924	24.522785	7.274592	
HEX 26 : 3FD46DDF	4190100D	40568E7E	
DEC 26 : 1.659603	18.007837	3.352447	
HEX 27 : 4104C8FE	41B84268	40B3A079	
DEC 27 : 8.299070	23.032425	5.613339	
HEX 28 : 3FF56C7A	418F2860	3AB13598	
DEC 28 : 1.917373	17.894714	0.001352	
HEX 29 : 3FF6642C	41C6A8A7	40110486	
DEC 29 : 1.924932	24.832350	2.265901	
HEX 30 : 4103E12D	418E1788	40C53B2A	
DEC 30 : 8.242475	17.761490	6.163472	
HEX 31 : 40592FD7	4199102F	40564478	
DEC 31 : 3.393545	19.132902	3.347929	
HEX 32 : 40B81DB8	41C07F8E	3F1725B3	
DEC 32 : 5.753628	24.062283	0.590419	
HEX 33 : 408D2151	41B860FC	40AABD0E	
DEC 33 : 4.410317	23.047356	5.335578	
HEX 34 : 3BCAC4B5	41B94508	4096E80E	
DEC 34 : 0.006188	23.158707	4.715827	
HEX 35 : 40B5F330	4199DAE1	40593BFB	
DEC 35 : 5.685936	19.231874	3.394286	
HEX 36 : 4065C93A	41C329E5	3F8A7FAA	
DEC 36 : 3.590407	24.395456	1.082021	
HEX 37 : 4106EC36	41BDF065	3B8CF7CB	
DEC 37 : 8.432669	23.742380	0.004302	
HEX 38 : 40BE1716	41AEB25A	40D2B8AE	
DEC 38 : 5.940318	21.837086	6.585044	
HEX 39 : 4046BC8C	4199876D	3F74D0FF	
DEC 39 : 3.105258	19.191126	0.956314	
HEX 40 : 409DE627	41A67CBE	40FF3C0E	
DEC 40 : 4.934345	20.810909	7.976081	
HEX 41 : 3F064EBE	41AC8C25	40B9FE33	
DEC 41 : 0.524639	21.568430	5.812280	
HEX 42 : 400332B1	418B5AC4	40A7C769	
DEC 42 : 2.049969	17.419319	5.243092	
HEX 43 : 40434E1A	41A95DD8	3F9E22EE	
DEC 43 : 3.051642	21.170822	1.235441	
HEX 44 : 40B5313C	419D99EA	40CF6158	
