Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 41E54B80	41C4724A	40A83DCB	
DEC 1 : 28.661865	24.555805	5.257543	
HEX 2 : 4203D553	4199F08E	40902999	
DEC 2 : 32.958324	19.242458	4.505078	
HEX 3 : 4200819C	41CA8F39	405B1427	
DEC 3 : 32.126572	25.319933	3.423105	
HEX 4 : 41DB92F2	41BA107B	40861F3A	
DEC 4 : 27.446751	23.258047	4.191312	
HEX 5 : 41FA8FAF	418B8791	410505B0	
DEC 5 : 31.320158	17.441195	8.313889	
HEX 6 : 41EF02B1	4190D16D	40E32316	
DEC 6 : 29.876314	18.102259	7.098033	
HEX 7 : 420448AB	419AD981	4020BC6A	
DEC 7 : 33.070965	19.356203	2.511500	
HEX 8 : 41D7424A	41A62CAF	4036EF0F	
DEC 8 : 26.907368	20.771818	2.858341	
HEX 9 : 41D0F192	418FA62F	40ED2B34	
DEC 9 : 26.117954	17.956144	7.411524	
HEX 10 : 41D5ED7F	4188040A	3F636588	
DEC 10 : 26.740965	17.001972	0.888268	
HEX 11 : 41E3222E	418D99F0	3A4BF2B2	
DEC 11 : 28.391689	17.700165	0.000778	
HEX 12 : 41EDF248	41B26BD5	3F61758E	
DEC 12 : 29.743301	22.302652	0.880700	
HEX 13 : 41E830A3	41A4612A	4086D135	
DEC 13 : 29.023748	20.547443	4.213038	
HEX 14 : 41EF44DD	41CBD2E1	401647A1	
DEC 14 : 29.908625	25.477968	2.348122	
HEX 15 : 41F2B3F5	41C73976	4086E12C	
DEC 15 : 30.337870	24.903057	4.214987	
HEX 16 : 41FE1884	41AE813D	3F823C21	
DEC 16 : 31.761971	21.813105	1.017460	
HEX 17 : 41F9DFFA	41C9A62A	41005AD3	
DEC 17 : 31.234364	25.206135	8.022174	
HEX 18 : 41E10EFA	41B052A0	41007437	
DEC 18 : 28.132313	22.040344	8.028373	
HEX 19 : 41DFC804	4199B8ED	400C5E31	
DEC 19 : 27.972664	19.215296	2.193249	
HEX 20 : 41F96AED	419C839A	3FF392B0	
DEC 20 : 31.177210	19.564259	1.902914	
HEX 21 : 420580FA	41B466AD	3FF8EB70	
DEC 21 : 33.375954	22.550135	1.944685	
HEX 22 : 4200D94C	41A9BA6F	4038030C	
DEC 22 : 32.212204	21.216032	2.875186	
HEX 23 : 41EEFB20	41AF97C5	40E18191	
DEC 23 : 29.872620	21.949106	7.047066	
HEX 24 : 41D4B8BE	41C3FCCA	40EE17EE	
DEC 24 : 26.590206	24.498432	7.440421	
HEX 25 : 41E8D76A	419EEDC3	40F47DE5	
DEC 25 : 29.105183	19.866095	7.640368	
HEX 26 : 41F6F64D	41BB0714	40C22077	
DEC 26 : 30.870264	23.378456	6.066463	
HEX 27 : 41E32124	41C22049	3FEAF284	
DEC 27 : 28.391182	24.265764	1.835526	
HEX 28 : 41D3572B	41AA3DDA	3F7CA676	
DEC 28 : 26.417562	21.280201	0.986915	
HEX 29 : 41FB9619	41A0F4ED	3A4C35CE	
DEC 29 : 31.448290	20.119593	0.000779	
HEX 30 : 41D24F8C	41C6F049	3A4996B7	
DEC 30 : 26.288841	24.867327	0.000769	
HEX 31 : 42030CFE	41C1D3BF	40E5C79D	
DEC 31 : 32.762688	24.228392	7.180617	
HEX 32 : 4204BAD2	41B6FFD4	40B7AD8E	
DEC 32 : 33.182442	22.874916	5.739936	
HEX 33 : 41E1FCAE	41A88256	40C92EA7	
DEC 33 : 28.248379	21.063641	6.286945	
HEX 34 : 41FD7A2D	419A72AB	40EDB01D	
