Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 40A032AF	41F77CFB	40D85307	
DEC 1 : 5.006187	30.936026	6.760135	
HEX 2 : 3BCB295F	41E0EFD5	40022DD8	
DEC 2 : 0.006200	28.117105	2.034048	
HEX 3 : 3BCACD18	41F84137	3F817C24	
DEC 3 : 0.006189	31.031843	1.011601	
HEX 4 : 40D20DDC	42076C1E	3F530AF6	
DEC 4 : 6.564192	33.855583	0.824386	
HEX 5 : 408ED955	41D9A67C	40D10FA1	
DEC 5 : 4.464030	27.206291	6.533158	
HEX 6 : 40C2F167	4200AA2E	410339F7	
DEC 6 : 6.091968	32.166191	8.201652	
HEX 7 : 4067AFFB	41D1C0B1	3A4C78EA	
DEC 7 : 3.620116	26.219088	0.000780	
HEX 8 : 4065DC2B	41E4A666	4054738A	
DEC 8 : 3.591563	28.581249	3.319552	
HEX 9 : 40F68C41	41E94666	40C4D938	
DEC 9 : 7.704621	29.159374	6.151516	
HEX 10 : 3C500714	41E2E04E	40C9B455	
DEC 10 : 0.012697	28.359524	6.303263	
HEX 11 : 40E76AAF	41D80807	40B605EC	
DEC 11 : 7.231773	27.003920	5.688223	
HEX 12 : 3DF7AEDE	41E060EB	41046995	
DEC 12 : 0.120939	28.047323	8.275777	
HEX 13 : 40CB94EE	41E75C5C	3A4B295F	
DEC 13 : 6.361930	28.920097	0.000775	
HEX 14 : 408E27CA	42055644	4043D0A6	
DEC 14 : 4.442357	33.334244	3.059610	
HEX 15 : 3FF0D59D	41E5A4C5	40DDA1FB	
DEC 15 : 1.881519	28.705454	6.926023	
HEX 16 : 3BCAD57C	41E812FA	408B9164	
DEC 16 : 0.006190	29.009266	4.361498	
HEX 17 : 40F2872F	41F365A7	3F017FB7	
DEC 17 : 7.579002	30.424635	0.505855	
HEX 18 : 40A64D14	41F9F66C	4051B980	
DEC 18 : 5.196909	31.245323	3.276947	
HEX 19 : 3F4CA750	41D398E2	3A4C35CE	
DEC 19 : 0.799428	26.449650	0.000779	
HEX 20 : 3FFA958E	42076623	3E055CD9	
DEC 20 : 1.957689	33.849743	0.130237	
HEX 21 : 40C4ED8D	41CFCE60	40E0E013	
DEC 21 : 6.153998	25.975769	7.027353	
HEX 22 : 4087DD48	41E82387	40F80EFA	
DEC 22 : 4.245762	29.017347	7.751828	
HEX 23 : 3BCAE643	42051206	3A4C35CE	
DEC 23 : 0.006192	33.267601	0.000779	
HEX 24 : 40E00351	41DCEF80	403CC9A7	
DEC 24 : 7.000405	27.616943	2.949808	
HEX 25 : 409F4E92	41DD3111	3FA751CE	
DEC 25 : 4.978341	27.648958	1.307184	
HEX 26 : 408DEA07	41EECD32	4093AFC0	
DEC 26 : 4.434818	29.850193	4.615204	
HEX 27 : 40F1EFAE	41F6BBA9	401D8E50	
DEC 27 : 7.560508	30.841631	2.461811	
HEX 28 : 4100B670	41FEF2E1	408B6332	
DEC 28 : 8.044540	31.868593	4.355859	
HEX 29 : 3FCC25D9	41E4FA36	404D6F3F	
DEC 29 : 1.594905	28.622173	3.209915	
HEX 30 : 40407000	42005BE3	40DF2B47	
DEC 30 : 3.006836	32.089733	6.974033	
HEX 31 : 40DD4454	41DA23F3	3F7B8056	
DEC 31 : 6.914591	27.267553	0.982427	
HEX 32 : 407789DB	41FE67DC	40A0447A	
DEC 32 : 3.867789	31.800713	5.008359	
HEX 33 : 3F0DC747	42045D10	40FBC5F8	
DEC 33 : 0.553822	33.090881	7.867916	
HEX 34 : 403115A0	420134D7	405A9707	
DEC 34 : 2.766945	32.301601	3.415468	
