Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 4160FEA2	41D87C12	405E0707	
DEC 1 : 14.062166	27.060581	3.469179	
HEX 2 : 413DBA3A	41CF9880	4107CC61	
DEC 2 : 11.857965	25.949463	8.487397	
HEX 3 : 41535E93	4203DE7A	40938503	
DEC 3 : 13.210589	32.967262	4.609987	
HEX 4 : 415A749D	41E649C9	4106C3AF	
DEC 4 : 13.653470	28.786028	8.422774	
HEX 5 : 41289C15	41E38412	40119881	
DEC 5 : 10.538106	28.439487	2.274933	
HEX 6 : 41086A43	41DBB23E	40877B96	
DEC 6 : 8.525943	27.462032	4.233836	
HEX 7 : 414247DE	41DBAF7C	3FB472DA	
DEC 7 : 12.142546	27.460686	1.409755	
HEX 8 : 41272022	41FC4050	40D0E43B	
DEC 8 : 10.445345	31.531403	6.527860	
HEX 9 : 411424D1	420110A2	40344F94	
DEC 9 : 9.258988	32.266243	2.817357	
HEX 10 : 41605718	41D6F25E	40FFAD2A	
DEC 10 : 14.021263	26.868343	7.989888	
HEX 11 : 414D7118	41F417EA	3FFD0785	
DEC 11 : 12.840111	30.511677	1.976792	
HEX 12 : 415151A7	42019AA0	3A4C35CE	
DEC 12 : 13.082435	32.401001	0.000779	
HEX 13 : 410FEDDC	41E78FAB	4103575B	
DEC 13 : 8.995571	28.945150	8.208827	
HEX 14 : 413A9127	41D63FC5	404E96C8	
DEC 14 : 11.660438	26.781137	3.227953	
HEX 15 : 417B1D51	42068EC4	4091A19D	
DEC 15 : 15.694657	33.639420	4.550978	
HEX 16 : 41254976	41DB6540	3F1070A8	
DEC 16 : 10.330435	27.424438	0.564219	
HEX 17 : 416F3ADA	41FF4E79	40AE9664	
DEC 17 : 14.951868	31.913317	5.455858	
HEX 18 : 413CC9DD	41EC7EE3	405D5A6C	
DEC 18 : 11.799283	29.561956	3.458644	
HEX 19 : 411CD97B	41F332B0	3FC8B913	
DEC 19 : 9.803096	30.399750	1.568148	
HEX 20 : 411D60F3	4204AB31	3F5FAE36	
DEC 20 : 9.836169	33.167179	0.873752	
HEX 21 : 41697506	41EB8BAB	3F734A77	
DEC 21 : 14.591070	29.443197	0.950355	
HEX 22 : 4177BFDA	41CCEED0	40EE5DE3	
DEC 22 : 15.484339	25.616608	7.448961	
HEX 23 : 415B043B	41CF1C33	3E9B80AA	
DEC 23 : 13.688533	25.888769	0.303716	
HEX 24 : 413675CD	41E8C33D	3EA7A2AD	
DEC 24 : 11.403760	29.095331	0.327413	
HEX 25 : 412AA434	41EF47A6	40F5B21E	
DEC 25 : 10.665089	29.909985	7.677993	
HEX 26 : 41497147	41E6A334	40C94A8A	
DEC 26 : 12.590156	28.829689	6.290349	
HEX 27 : 4180DE01	41D05301	40A535A4	
DEC 27 : 16.108400	26.040529	5.162798	
HEX 28 : 416C5294	41D7ACB8	3FCCFAF8	
DEC 28 : 14.770161	26.959335	1.601409	
HEX 29 : 418180B2	41E804CB	40F8766F	
DEC 29 : 16.187840	29.002340	7.764457	
HEX 30 : 4176FC9E	41CC8296	4055C797	
DEC 30 : 15.436674	25.563763	3.340307	
HEX 31 : 41315936	41EE7B28	40AD3121	
DEC 31 : 11.084280	29.810135	5.412247	
HEX 32 : 41576B26	41E51540	40190B3D	
DEC 32 : 13.463659	28.635376	2.391311	
HEX 33 : 417C6A84	41F5F146	3FF38B37	
DEC 33 : 15.776005	30.742809	1.902686	
HEX 34 : 4184C011	41E5B3B4	3FBD9B45	
DEC 34 : 16.593782	28.712746	1.481301	
HEX 35 : 41465760	41F7B2DB	40F717DD	
DEC 35 : 12.396332	30.962332	7.721663	
HEX 36 : 411F801F	41F2E3C1	4063E5C9	
DEC 36 : 9.968780	30.361208	3.560900	
HEX 37 : 415864AA	41CC61BF	4011B3CC	
DEC 37 : 13.524576	25.547728	2.276599	
HEX 38 : 4149EDA6	41E0474E	408E922B	
DEC 38 : 12.620520	28.034817	4.455343	
HEX 39 : 4165E110	41FD2945	405A6DB1	
DEC 39 : 14.367447	31.645151	3.412945	
HEX 40 : 413561F9	4207AFD2	40B1D641	
DEC 40 : 11.336419	33.921700	5.557404	
HEX 41 : 41823291	41F7F7CB	40FCBB9F	
DEC 41 : 16.274691	30.995993	7.897903	
HEX 42 : 411D994B	41D087A0	406BFB94	
DEC 42 : 9.849925	26.066223	3.687230	
HEX 43 : 41296C67	41CED791	3FE405CD	
DEC 43 : 10.588965	25.855257	1.781427	
HEX 44 : 41132AEB	41FBE0BB	3A4C35CE	
DEC 44 : 9.197978	31.484732	0.000779	
HEX 45 : 416036D3	41F0AAFF	40DDE0F4	
DEC 45 : 14.013385	30.083494	6.933710	
HEX 46 : 4147138E	4201E889	40CC7D1E	
DEC 46 : 12.442274	32.477085	6.390273	
HEX 47 : 4168F3E5	41FF7362	40EF07AB	
DEC 47 : 14.559545	31.931339	7.469686	
HEX 48 : 414F355B	41F68845	40ACBDBA	
DEC 48 : 12.950526	30.816538	5.398160	
HEX 49 : 4108EE14	41D58253	3A4AA327	
DEC 49 : 8.558125	26.688635	0.000773	
HEX 50 : 415F1556	41D6B0CB	40AE7EBD	
DEC 50 : 13.942709	26.836325	5.452971	
HEX 51 : 41813FE1	4204882D	40E7C5D6	
DEC 51 : 16.156191	33.132984	7.242900	
HEX 52 : 414DE3E8	41CE40EC	40D89F32	
DEC 52 : 12.868141	25.781700	6.769433	
HEX 53 : 413D11FC	41E0F78D	40FFC824	
DEC 53 : 11.816891	28.120874	7.993181	
HEX 54 : 413B521A	42070FA1	3EFF9D2C	
DEC 54 : 11.707544	33.765263	0.499246	
HEX 55 : 410DFE93	4202F0D1	40BE9646	
DEC 55 : 8.874652	32.735172	5.955844	
HEX 56 : 416B2CC7	41E1C579	40D5D27E	
DEC 56 : 14.698432	28.221422	6.681945	
HEX 57 : 417D8AF7	41EFCF69	40B6A9B5	
DEC 57 : 15.846427	29.976274	5.708216	
HEX 58 : 4155E138	41E16C35	3A4BF2B2	
DEC 58 : 13.367485	28.177835	0.000778	
HEX 59 : 411F5B98	4204C2DA	40F25606	
DEC 59 : 9.959862	33.190285	7.573001	
HEX 60 : 41876D67	41DA687B	40E09455	
DEC 60 : 16.928419	27.301016	7.018107	
HEX 61 : 413B9325	41D0D61D	3A4B295F	
DEC 61 : 11.723424	26.104548	0.000775	
HEX 62 : 4161CACD	41E9CCE1	40A1BDC2	
DEC 62 : 14.112012	29.225039	5.054414	
HEX 63 : 4182C13E	41FC1185	4080BFFF	
DEC 63 : 16.344357	31.508554	4.023437	
HEX 64 : 41367B9F	41FBD347	3F14691F	
DEC 64 : 11.405181	31.478163	0.579729	
HEX 65 : 4112FCBC	41F3B48E	40ACC326	
DEC 65 : 9.186703	30.463161	5.398822	
HEX 66 : 416CDDC7	41FB693F	3E967968	
DEC 66 : 14.804145	31.426390	0.293895	
HEX 67 : 417E4811	4204A7EC	3E914A0A	
DEC 67 : 15.892594	33.163986	0.283768	
HEX 68 : 41789847	41DF0C80	3A4BAF96	
DEC 68 : 15.537177	27.881104	0.000777	
HEX 69 : 410E2EFC	41D6CF4B	4007335D	
DEC 69 : 8.886471	26.851217	2.112510	
HEX 70 : 41647A27	420793A8	40C52926	
DEC 70 : 14.279822	33.894196	6.161273	
HEX 71 : 4171B635	41EC40B8	40563183	
DEC 71 : 15.106984	29.531601	3.346772	
HEX 72 : 41325C68	4202CAF1	4014856E	
DEC 72 : 11.147560	32.698185	2.320644	
HEX 73 : 412648A1	420068D9	4090A1AF	
DEC 73 : 10.392732	32.102390	4.519737	
HEX 74 : 4109E6DB	41F58157	40E9B467	
DEC 74 : 8.618861	30.688154	7.303272	
HEX 75 : 417E6738	420311BF	4019BE38	
DEC 75 : 15.900200	32.767330	2.402235	
HEX 76 : 4164AA00	42074C9F	4048D363	
DEC 76 : 14.291504	33.824825	3.137902	
HEX 77 : 415492B9	420224C2	3FFE2FB6	
DEC 77 : 13.285821	32.535896	1.985831	
HEX 78 : 41507CCB	41F225E2	3A4C35CE	
DEC 78 : 13.030467	30.268497	0.000779	
HEX 79 : 4130B7C4	41D8211D	40B4AB56	
DEC 79 : 11.044865	27.016169	5.645915	
HEX 80 : 411B0A76	41E28ED3	40CC579D	
DEC 80 : 9.690054	28.319738	6.385695	
HEX 81 : 410D44B5	41E55C81	3AA808C8	
DEC 81 : 8.829274	28.670168	0.001282	
HEX 82 : 417EA00C	41DD97AD	404434FC	
DEC 82 : 15.914074	27.699060	3.065734	
HEX 83 : 41219760	41D5E02F	40FE5244	
DEC 83 : 10.099457	26.734465	7.947542	
HEX 84 : 417D1AFB	41E01FE3	40A1394E	
DEC 84 : 15.819087	28.015570	5.038245	
HEX 85 : 4124E8C4	41E2F97F	408854EB	
DEC 85 : 10.306828	28.371824	4.260366	
HEX 86 : 41440852	41FC024E	40694424	
DEC 86 : 12.252031	31.501125	3.644784	
HEX 87 : 417A788C	41CD7129	3A4C35CE	
DEC 87 : 15.654430	25.680254	0.000779	
HEX 88 : 4184BAC5	41CF77C9	3FDFF291	
DEC 88 : 16.591196	25.933489	1.749590	
HEX 89 : 4181EED4	41F070C5	3A4BAF96	
