Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 41A8775C	41EDD17F	3FF50CE5	
DEC 1 : 21.058281	29.727293	1.914456	
HEX 2 : 41C75A3A	41D7194D	40968132	
DEC 2 : 24.919056	26.887354	4.703271	
HEX 3 : 4191EA4D	41D87530	3FF25500	
DEC 3 : 18.239405	27.057220	1.893219	
HEX 4 : 4199D2B7	41D49690	3E6491B0	
DEC 4 : 19.227888	26.573517	0.223212	
HEX 5 : 419C1D72	41E938BF	40C1DF67	
DEC 5 : 19.514378	29.152708	6.058521	
HEX 6 : 41BE8A49	41D06983	4007BCED	
DEC 6 : 23.817522	26.051519	2.120906	
HEX 7 : 418A782C	41FE0406	3F8DBE6E	
DEC 7 : 17.308678	31.751965	1.107374	
HEX 8 : 4189A1EE	4200219D	40B9697B	
DEC 8 : 17.204067	32.032825	5.794126	
HEX 9 : 41888EEA	41EEDE0A	40494C01	
DEC 9 : 17.069782	29.858418	3.145264	
HEX 10 : 41980A87	4202D9DA	40A3A6C4	
DEC 10 : 19.005140	32.712746	5.114107	
HEX 11 : 418D717A	41E4AD23	40AFF2E7	
DEC 11 : 17.680408	28.584539	5.498401	
HEX 12 : 419A52CF	41EBA8A7	40511551	
DEC 12 : 19.290434	29.457350	3.266926	
HEX 13 : 418EEDE7	4205499A	3A4A1CEF	
DEC 13 : 17.866163	33.321877	0.000771	
HEX 14 : 41A85389	4206E853	3FFC339C	
DEC 14 : 21.040789	33.726879	1.970325	
HEX 15 : 41A664B4	4201F27B	40E6AD9B	
DEC 15 : 20.799171	32.486797	7.208692	
HEX 16 : 41C7FF7B	41E4F880	3FD9E27A	
DEC 16 : 24.999746	28.621338	1.702224	
HEX 17 : 4190D26F	41FC8E41	4044A372	
DEC 17 : 18.102751	31.569460	3.072476	
HEX 18 : 41C5E9BF	41FE061B	406ED0AB	
DEC 18 : 24.739134	31.752981	3.731486	
HEX 19 : 41B9E19D	41D8A127	3E745BAF	
DEC 19 : 23.235163	27.078688	0.238631	
HEX 20 : 41C34ABB	41E3BD19	40C1D439	
DEC 20 : 24.411489	28.467333	6.057156	
HEX 21 : 41959D9A	41E74366	3FA56D2B	
DEC 21 : 18.701954	28.907909	1.292394	
HEX 22 : 41A70365	41D26930	40DDB3CE	
DEC 22 : 20.876657	26.301361	6.928199	
HEX 23 : 419CC014	42052757	4052A70D	
DEC 23 : 19.593788	33.288418	3.291446	
HEX 24 : 41A980F9	41D1F3C1	3A4BAF96	
DEC 24 : 21.187975	26.244020	0.000777	
HEX 25 : 419A724C	4203D3E3	3FAB8D9B	
DEC 25 : 19.305809	32.956921	1.340259	
HEX 26 : 41A97908	41FDDC00	4000A92A	
DEC 26 : 21.184097	31.732422	2.010325	
HEX 27 : 41A67C96	4205F70B	40AF562A	
DEC 27 : 20.810833	33.491253	5.479268	
HEX 28 : 41AC0260	42036EEE	406D9347	
DEC 28 : 21.501160	32.858330	3.712114	
HEX 29 : 41930917	41F43EAC	40984962	
DEC 29 : 18.379438	30.530602	4.758958	
HEX 30 : 41C3C9D3	41CE10EE	40DA63A8	
DEC 30 : 24.473547	25.758266	6.824665	
HEX 31 : 41BFCFAB	41DF4AA1	405117EC	
DEC 31 : 23.976400	27.911440	3.267085	
HEX 32 : 41BF291D	41ED0A6D	410307FF	
