Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 41CC535B	41E15117	40F5C181	
DEC 1 : 25.540701	28.164595	7.679871	
HEX 2 : 41F48947	41F57741	40AB4170	
DEC 2 : 30.567030	30.683229	5.351738	
HEX 3 : 41EB41A3	41ED0574	407CB999	
DEC 3 : 29.407049	29.627663	3.948828	
HEX 4 : 41D109E3	420435FB	404768DC	
DEC 4 : 26.129827	33.052715	3.115775	
HEX 5 : 41EB793E	41F79BD2	40E4E8C7	
DEC 5 : 29.434200	30.951084	7.153415	
HEX 6 : 41D89587	41EF56EA	3A4AE643	
DEC 6 : 27.073011	29.917439	0.000774	
HEX 7 : 41E1F6ED	41FE2D7D	3B840E17	
DEC 7 : 28.245569	31.772211	0.004030	
HEX 8 : 41E82DB9	41EBC2A6	3A4BAF96	
DEC 8 : 29.022326	29.470043	0.000777	
HEX 9 : 41FD3192	41E3C8C3	4104AE1C	
DEC 9 : 31.649204	28.473028	8.292507	
HEX 10 : 41D59951	41E7646D	40C728A8	
DEC 10 : 26.699862	28.924036	6.223713	
HEX 11 : 41CE10CD	41F4FF4A	40B67ED6	
DEC 11 : 25.758204	30.624653	5.702983	
HEX 12 : 41E0D1C7	41D6D07F	4026A6F8	
DEC 12 : 28.102430	26.851805	2.603941	
HEX 13 : 41EA9323	41CE3328	40FC571D	
DEC 13 : 29.321844	25.774979	7.885634	
HEX 14 : 41ECE2B7	41DBB3CE	3FB87B67	
DEC 14 : 29.610701	27.462795	1.441266	
HEX 15 : 41E8C90E	41EB2A2F	40BE24B1	
DEC 15 : 29.098171	29.395597	5.941979	
HEX 16 : 41FA4154	41F1D6D7	40ED1FB0	
DEC 16 : 31.281898	30.229902	7.410118	
HEX 17 : 41CF49B0	41D200C4	4102020B	
DEC 17 : 25.910980	26.250374	8.125499	
HEX 18 : 41F16EA4	4202F7B7	40D54AE8	
DEC 18 : 30.179024	32.741909	6.665394	
HEX 19 : 42032232	41E75EC8	407628CC	
DEC 19 : 32.783394	28.921280	3.846240	
HEX 20 : 41DCF60A	41DCA40B	40F2CC40	
DEC 20 : 27.620136	27.580099	7.587433	
HEX 21 : 420284E6	41F6E272	409146EB	
DEC 21 : 32.629784	30.860569	4.539907	
HEX 22 : 42015A4E	41EA709C	40BF8B6B	
DEC 22 : 32.338188	29.304985	5.985769	
HEX 23 : 42061707	41F4CA4C	3EC37C57	
DEC 23 : 33.522488	30.598778	0.381808	
HEX 24 : 41D969FB	4202A7BB	41051EB6	
DEC 24 : 27.176748	32.663799	8.319998	
