Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 4203A378	403B5AE2	4184BEB6	
DEC 1 : 32.909637	2.927422	16.593121	
HEX 2 : 41EA4C34	40EC281E	4184C621	
DEC 2 : 29.287209	7.379897	16.596743	
HEX 3 : 42032AD3	3F9ED0EE	41786515	
DEC 3 : 32.791821	1.240751	15.524678	
HEX 4 : 41F4BB93	40A70B50	4182339A	
DEC 4 : 30.591589	5.220131	16.275196	
HEX 5 : 41EBFBEB	4051EC31	4108C5A9	
DEC 5 : 29.498007	3.280041	8.548257	
HEX 6 : 41D2A48B	408C162F	4148EB77	
DEC 6 : 26.330343	4.377708	12.557487	
HEX 7 : 41E2A441	40582995	4138DC86	
DEC 7 : 28.330202	3.377538	11.553839	
HEX 8 : 41FD3F8D	410230CF	4161B4C9	
DEC 8 : 31.656031	8.136916	14.106637	
HEX 9 : 41E3FE96	409F991C	410D802D	
DEC 9 : 28.499310	4.987440	8.843793	
HEX 10 : 42079A93	3ABC382A	414740AC	
DEC 10 : 33.900951	0.001436	12.453289	
HEX 11 : 41E0A253	4103D2C5	411FF61C	
DEC 11 : 28.079260	8.238957	9.997585	
HEX 12 : 41EFEDEA	40F9D7E4	412654EE	
DEC 12 : 29.991169	7.807604	10.395735	
HEX 13 : 41CC73AD	40F1C418	417A2138	
DEC 13 : 25.556482	7.555187	15.633110	
HEX 14 : 41E2B126	4073AF57	416E125C	
DEC 14 : 28.336498	3.807577	14.879482	
HEX 15 : 41DCCD31	40F7A13C	41713E7B	
DEC 15 : 27.600191	7.738432	15.077754	
HEX 16 : 41FBF55D	409C4897	412BBD0F	
DEC 16 : 31.494806	4.883861	10.733657	
HEX 17 : 41E9E9AA	40C1DD59	41301E79	
DEC 17 : 29.239094	6.058270	11.007440	
HEX 18 : 4202CFF1	40F3B51C	41866779	
DEC 18 : 32.703068	7.615858	16.800524	
HEX 19 : 42021D74	4024BCD3	412F3182	
DEC 19 : 32.528763	2.574025	10.949587	
HEX 20 : 41F5DE1C	4024A986	41211660	
DEC 20 : 30.733452	2.572847	10.067963	
HEX 21 : 420276E4	4040E64F	4169DDEE	
DEC 21 : 32.616104	3.014057	14.616682	
HEX 22 : 41D884DF	3FC11CF3	41237680	
DEC 22 : 27.064878	1.508696	10.216431	
HEX 23 : 41CD30A3	404FCB60	417BC2E8	
DEC 23 : 25.648748	3.246788	15.735085	
HEX 24 : 4206E476	40F04E12	412B2CED	
DEC 24 : 33.723106	7.509530	10.698468	
HEX 25 : 4203DD85	40CF0D13	416C6454	
DEC 25 : 32.966328	6.470346	14.774494	
HEX 26 : 41F5DD70	404A4456	41496549	
DEC 26 : 30.733124	3.160421	12.587228	
HEX 27 : 41E79533	4028D951	41560600	
DEC 27 : 28.947851	2.638264	13.376465	
HEX 28 : 41F163D4	40432E90	4171A732	
DEC 28 : 30.173744	3.049717	15.103319	
HEX 29 : 41DA59E7	40A9B107	412DDBEB	
DEC 29 : 27.293898	5.302860	10.866191	
HEX 30 : 41F99081	3FE2F755	415F39FE	
DEC 30 : 31.195559	1.773173	13.951658	
HEX 31 : 42034FDA	4086A8F4	414102F5	
DEC 31 : 32.827980	4.208124	12.063222	
HEX 32 : 41E7DBBD	3F1474C9	415C6079	
DEC 32 : 28.982294	0.579907	13.773553	
HEX 33 : 41D588A6	40B78AF2	417125EC	
