Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 3FD062DC	4156A219	4153C19D	
DEC 1 : 1.628017	13.414575	13.234769	
HEX 2 : 3BCA0C28	41468B9D	414A2D45	
DEC 2 : 0.006166	12.409085	12.636052	
HEX 3 : 40FE2744	4166C83B	413C7359	
DEC 3 : 7.942293	14.423884	11.778161	
HEX 4 : 40384420	4118F54B	410E2CB4	
DEC 4 : 2.879158	9.559886	8.885914	
HEX 5 : 40B4B522	41186ACE	4185D46D	
DEC 5 : 5.647111	9.526075	16.728724	
HEX 6 : 40DE4D5E	413477A2	41841463	
DEC 6 : 6.946944	11.279207	16.509954	
HEX 7 : 408D110C	414D8757	415D07A9	
DEC 7 : 4.408331	12.845542	13.814370	
HEX 8 : 40372043	4184ADFE	41822DA8	
DEC 8 : 2.861344	16.584957	16.272293	
HEX 9 : 403BBD34	416F1DAE	4157A8E7	
DEC 9 : 2.933423	14.944746	13.478736	
HEX 10 : 40F7D2A6	41644F90	41095079	
DEC 10 : 7.744464	14.269424	8.582147	
HEX 11 : 40F64938	4126194B	41211159	
DEC 11 : 7.696438	10.381175	10.066735	
HEX 12 : 40E62E4D	41546F3C	41252238	
DEC 12 : 7.193152	13.277157	10.320854	
HEX 13 : 4102BE6A	414D7490	4182190E	
DEC 13 : 8.171488	12.840958	16.262234	
HEX 14 : 409A1B95	410F595F	4157E60C	
DEC 14 : 4.815867	8.959319	13.493664	
HEX 15 : 40C232BA	413A05FD	4126CB6C	
DEC 15 : 6.068692	11.626462	10.424664	
HEX 16 : 3F216F44	41122C75	4130FCF6	
DEC 16 : 0.630604	9.135854	11.061758	
HEX 17 : 3BCAE643	41654465	41413793	
DEC 17 : 0.006192	14.329198	12.076068	
HEX 18 : 40F86A79	4122D1E2	4156BB1F	
DEC 18 : 7.762997	10.176241	13.420684	
HEX 19 : 40804622	412F2051	411C875A	
DEC 19 : 4.008561	10.945390	9.783045	
HEX 20 : 40FE1C9D	4155EF03	41658F82	
DEC 20 : 7.940993	13.370852	14.347536	
HEX 21 : 40B71B2E	41413E3C	414841ED	
DEC 21 : 5.722068	12.077694	12.516095	
HEX 22 : 408DC966	4175CD9B	414368EC	
DEC 22 : 4.430835	15.362697	12.213116	
HEX 23 : 3DDC065B	418298DC	413FCB15	
DEC 23 : 0.107434	16.324638	11.987081	
HEX 24 : 404D19F0	4121F838	4154551D	
DEC 24 : 3.204708	10.123100	13.270780	
HEX 25 : 40B4B789	411AC2D8	4127E52F	
DEC 25 : 5.647404	9.672569	10.493453	
HEX 26 : 40D0F2BF	413F5F76	4167CFC3	
DEC 26 : 6.529632	11.960806	14.488223	
HEX 27 : 3FCE3DB4	41132111	4160BCD3	
DEC 27 : 1.611258	9.195573	14.046100	
HEX 28 : 40C9C706	41804DA9	414B245E	
DEC 28 : 6.305545	16.037920	12.696379	
HEX 29 : 40DC5346	417923D2	41200BDC	
DEC 29 : 6.885165	15.571245	10.002895	
HEX 30 : 40A8509C	4143B4E8	41801BA6	
DEC 30 : 5.259840	12.231667	16.013500	
HEX 31 : 3BCB295F	416528A7	41822C62	
DEC 31 : 0.006200	14.322425	16.271671	
HEX 32 : 3FC2A2E4	41330421	41519FE2	
DEC 32 : 1.520596	11.188508	13.101534	
HEX 33 : 40A0600D	416BDABF	41605DC2	
DEC 33 : 5.011725	14.740905	14.022890	
HEX 34 : 40C7E58A	415D33AB	41750D4B	
DEC 34 : 6.246770	13.825114	15.315745	
HEX 35 : 3FDDC22B	41643479	411F617B	
DEC 35 : 1.732488	14.262811	9.961299	
HEX 36 : 3C35AEA3	4174006F	4124CFF5	
DEC 36 : 0.011089	15.250106	10.300771	
HEX 37 : 3FBDF801	414C8DDE	413578FE	
DEC 37 : 1.484131	12.784636	11.342039	
HEX 38 : 40F2A45B	413FD9B3	410D7020	
DEC 38 : 7.582563	11.990649	8.839874	
HEX 39 : 4069FDA8	4155C197	417983D9	
DEC 39 : 3.656107	13.359763	15.594689	
HEX 40 : 40B48985	41659C50	412FC1DD	
DEC 40 : 5.641787	14.350662	10.984830	
HEX 41 : 40AFC3CA	41874204	418416CE	
DEC 41 : 5.492650	16.907234	16.511135	
HEX 42 : 410796F1	4124C63E	417AB989	
DEC 42 : 8.474351	10.298399	15.670297	
HEX 43 : 4037B8A6	4149E79B	411E9054	
DEC 43 : 2.870645	12.619044	9.910236	
HEX 44 : 3FE759B4	418625B2	4150843A	
DEC 44 : 1.807425	16.768406	13.032282	
HEX 45 : 3FE49132	4160A9C3	417672F4	
DEC 45 : 1.785681	14.041446	15.403065	
HEX 46 : 4043FD26	4160FB9B	4138DF17	
DEC 46 : 3.062326	14.061427	11.554465	
HEX 47 : 400687BE	4142EA76	416BCAB0	
DEC 47 : 2.102035	12.182241	14.736984	
HEX 48 : 40D6DCD1	4115C002	410A7CE0	
DEC 48 : 6.714455	9.359377	8.655487	
HEX 49 : 40A356AE	4185F8A6	4113032A	
DEC 49 : 5.104331	16.746410	9.188272	
HEX 50 : 40ACE536	41872AF3	41642E77	
