Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 41122284	414ECB9F	412A7753	
DEC 1 : 9.133427	12.924712	10.654132	
HEX 2 : 4121BD9A	4152CF33	415EC485	
DEC 2 : 10.108789	13.175586	13.922978	
HEX 3 : 410AD167	414C06B9	41497F09	
DEC 3 : 8.676124	12.751641	12.593514	
HEX 4 : 4169BD62	4167354A	4147BD0D	
DEC 4 : 14.608736	14.450510	12.483655	
HEX 5 : 412821A6	41617255	417A7F27	
DEC 5 : 10.508215	14.090413	15.656043	
HEX 6 : 412B2FD3	41186DDF	41145A0B	
DEC 6 : 10.699176	9.526824	9.271983	
HEX 7 : 4113CEE9	4123F65E	413A0427	
DEC 7 : 9.238015	10.247648	11.626014	
HEX 8 : 41878146	41789C4C	414729BB	
DEC 8 : 16.938122	15.538158	12.447688	
HEX 9 : 41876C2C	412AC1B2	4109C4E5	
DEC 9 : 16.927818	10.672289	8.610570	
HEX 10 : 410E4B7F	4139DCEF	41639C1E	
DEC 10 : 8.893432	11.616439	14.225615	
HEX 11 : 4109AEF7	416B4758	417AE687	
DEC 11 : 8.605216	14.704918	15.681281	
HEX 12 : 4167A977	418186D5	417519CD	
DEC 12 : 14.478873	16.190836	15.318799	
HEX 13 : 41788E73	4120A3B4	412F81DB	
DEC 13 : 15.534778	10.039967	10.969203	
HEX 14 : 4182342C	4177A728	417D547B	
DEC 14 : 16.275475	15.478310	15.833125	
HEX 15 : 415947F6	410EE6B2	417E874E	
DEC 15 : 13.580069	8.931322	15.908033	
HEX 16 : 416A190F	4168FE1B	41878823	
DEC 16 : 14.631118	14.562037	16.941473	
HEX 17 : 4172F3E0	413AAD79	41413E9E	
DEC 17 : 15.184540	11.667352	12.077787	
HEX 18 : 4120034B	4166F753	411ABE9A	
DEC 18 : 10.000804	14.435382	9.671534	
HEX 19 : 414D10F6	4187DAAD	4168970C	
DEC 19 : 12.816641	16.981775	14.536877	
HEX 20 : 4113C204	416EDBD3	41537EC4	
DEC 20 : 9.234867	14.928668	13.218449	
HEX 21 : 41144EFE	4182692F	416AD18E	
DEC 21 : 9.269285	16.301359	14.676161	
HEX 22 : 412E3051	4115B56E	41499F4F	
DEC 22 : 10.886796	9.356794	12.601394	
HEX 23 : 417D02E0	4120A2AB	4152F0CE	
DEC 23 : 15.813202	10.039714	13.183790	
HEX 24 : 41231B48	411E8FEC	416B9E21	
DEC 24 : 10.194160	9.910137	14.726106	
HEX 25 : 415B77BA	411DFE1E	413C93E3	
DEC 25 : 13.716730	9.874540	11.786105	
HEX 26 : 4176F84C	41246E98	4174D2A1	
DEC 26 : 15.435619	10.277000	15.301423	
HEX 27 : 41566458	412EEC46	4176F2E8	
DEC 27 : 13.399498	10.932684	15.434303	
HEX 28 : 412D37F8	416F3537	4136B3FE	
DEC 28 : 10.826164	14.950492	11.418943	
HEX 29 : 4134061B	412C4A22	41334531	
DEC 29 : 11.251491	10.768099	11.204392	
HEX 30 : 4150891D	413AC3DC	4131FFC8	
DEC 30 : 13.033475	11.672817	11.124947	
HEX 31 : 414CC7F1	416C5693	413B206F	
DEC 31 : 12.798814	14.771136	11.695418	
HEX 32 : 4180DD0F	4187B653	411C6B65	
DEC 32 : 16.107939	16.964025	9.776219	
HEX 33 : 41642243	4128A752	41183627	
DEC 33 : 14.258365	10.540850	9.513221	
HEX 34 : 417F2CDD	413F3803	4120C3C8	
DEC 34 : 15.948453	11.951175	10.047798	
HEX 35 : 414688E8	415B1BE0	41811A8E	
DEC 35 : 12.408424	13.694305	16.137966	
HEX 36 : 4160A6E2	41516D3C	41727474	
DEC 36 : 14.040743	13.089169	15.153431	
HEX 37 : 41118ED9	417E1522	41309494	
DEC 37 : 9.097375	15.880159	11.036274	
HEX 38 : 410FBB20	4184F952	4186A721	
DEC 38 : 8.983185	16.621738	16.831606	
HEX 39 : 411F77B6	4183391F	4115016A	
DEC 39 : 9.966726	16.402891	9.312845	
HEX 40 : 4171A133	4161D3DD	41162CC7	
DEC 40 : 15.101855	14.114224	9.385932	
HEX 41 : 411D116B	413B6BB7	4180E5AB	
DEC 41 : 9.816752	11.713798	16.112143	
HEX 42 : 416647B0	41524BEB	412FC3DB	
DEC 42 : 14.392502	13.143535	10.985316	
HEX 43 : 41317624	417B593F	41551F78	
DEC 43 : 11.091343	15.709289	13.320183	
HEX 44 : 41382232	41505498	41234BA0	
DEC 44 : 11.508348	13.020653	10.205963	
HEX 45 : 413BB866	4177753A	41160ABF	
DEC 45 : 11.732519	15.466120	9.377624	
HEX 46 : 414F8E7A	41794E1E	4183E054	
DEC 46 : 12.972284	15.581572	16.484535	
HEX 47 : 4167C61E	417F04CB	410D87A4	
DEC 47 : 14.485868	15.938670	8.845615	
HEX 48 : 414AD9F4	413E1CBB	4110CF32	
DEC 48 : 12.678211	11.882014	9.050585	
HEX 49 : 415F5CF0	411AFC30	415D92C9	
DEC 49 : 13.960190	9.686569	13.848336	
HEX 50 : 4129D5E8	415028AE	413FEC31	
DEC 50 : 10.614723	13.009932	11.995164	
HEX 51 : 41141924	418708A9	414C2F1A	
DEC 51 : 9.256138	16.879229	12.761499	
HEX 52 : 414192DF	411582D6	4167E646	
DEC 52 : 12.098357	9.344442	14.493719	
HEX 53 : 414772AA	4113236D	412618C6	
DEC 53 : 12.465494	9.196149	10.381048	
HEX 54 : 41865B40	415BB8C2	41261664	
DEC 54 : 16.794556	13.732607	10.380466	
HEX 55 : 4157D54C	414C5E14	414BB524	
DEC 55 : 13.489574	12.772968	12.731724	
HEX 56 : 417D3CA6	4187DF32	415886FD	
DEC 56 : 15.827307	16.983982	13.532956	
HEX 57 : 416A3873	41391B49	415FFD5D	
DEC 57 : 14.638782	11.569161	13.999356	
HEX 58 : 4128D666	4135E5EC	41522E54	
DEC 58 : 10.552343	11.368633	13.136311	
HEX 59 : 4110381D	4109FA49	415432C3	
DEC 59 : 9.013700	8.623605	13.262393	
HEX 60 : 4137C205	4129C472	4180F22D	
DEC 60 : 11.484868	10.610460	16.118250	
HEX 61 : 417EA3F6	410A1079	41151B91	
DEC 61 : 15.915030	8.629022	9.319230	
HEX 62 : 41778108	41790687	4130FFEA	
DEC 62 : 15.469002	15.564094	11.062479	
HEX 63 : 41522B93	416173AE	411C04F8	
DEC 63 : 13.135638	14.090742	9.751213	
HEX 64 : 410BF576	410A20FE	411D0F2F	
DEC 64 : 8.747427	8.633055	9.816207	
HEX 65 : 4173865D	41696190	416620B6	
DEC 65 : 15.220304	14.586319	14.382986	
