Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 41D29A5E	414B08B0	412578CD	
DEC 1 : 26.325375	12.689621	10.341992	
HEX 2 : 41E05F8C	411EE137	416CC145	
DEC 2 : 28.046654	9.929984	14.797185	
HEX 3 : 41F7C5CD	41537A42	416A0BA6	
DEC 3 : 30.971582	13.217348	14.627844	
HEX 4 : 41DC9635	4136EEB6	4182B689	
DEC 4 : 27.573343	11.433279	16.339128	
HEX 5 : 41EAC044	416A47EC	4187268C	
DEC 5 : 29.343880	14.642559	16.893822	
HEX 6 : 41CE02DC	41314DD1	41362252	
DEC 6 : 25.751396	11.081498	11.383379	
HEX 7 : 4200A5D1	415C9F22	41810C78	
DEC 7 : 32.161930	13.788851	16.131088	
HEX 8 : 4203567E	41247AD5	414A314E	
DEC 8 : 32.834465	10.279988	12.637037	
HEX 9 : 41E6706A	41825EF3	413DB2F5	
DEC 9 : 28.804890	16.296362	11.856191	
HEX 10 : 41D8B6FB	41554809	415E5316	
DEC 10 : 27.089346	13.330087	13.895285	
HEX 11 : 41EAD13C	4129D3A4	4185F5EB	
DEC 11 : 29.352165	10.614170	16.745077	
HEX 12 : 41DDA473	4170A8CF	416BB8F1	
DEC 12 : 27.705297	15.041213	14.732652	
HEX 13 : 41E945E8	413E5E56	4110FC0D	
DEC 13 : 29.159134	11.898031	9.061536	
HEX 14 : 41F826CF	4134A11D	411B8A9C	
DEC 14 : 31.018950	11.289334	9.721340	
HEX 15 : 41F82AB5	41127AD6	41155DE5	
DEC 15 : 31.020853	9.154989	9.335423	
HEX 16 : 41DDD07B	412FE34D	4128B0F7	
DEC 16 : 27.726797	10.992993	10.543204	
HEX 17 : 41D1348A	410B9CCF	415EA604	
DEC 17 : 26.150654	8.725783	13.915531	
HEX 18 : 41E6AE0B	411EF018	4114052C	
DEC 18 : 28.834982	9.933617	9.251263	
HEX 19 : 41DED394	4155269B	417BE608	
DEC 19 : 27.853310	13.321925	15.743660	
HEX 20 : 41F4677B	417DB910	411B86D6	
DEC 20 : 30.550528	15.857681	9.720419	
HEX 21 : 41D5CB5B	4169CDF8	4114303B	
DEC 21 : 26.724295	14.612785	9.261775	
HEX 22 : 41DB62A6	41459646	4141B700	
DEC 22 : 27.423168	12.349188	12.107178	
HEX 23 : 41E3715B	413D8432	4165D914	
DEC 23 : 28.430349	11.844774	14.365498	
HEX 24 : 42062488	41760FE4	416D061B	
