Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 412742AE	41C3E2A2	418199B6	
DEC 1 : 10.453779	24.485661	16.200054	
HEX 2 : 4118622C	4196A858	415AE410	
DEC 2 : 9.523968	18.832199	13.680679	
HEX 3 : 413B689E	41ADA756	414636CF	
DEC 3 : 11.713041	21.706707	12.388381	
HEX 4 : 4111DD92	41CAF086	41337FCD	
DEC 4 : 9.116594	25.367443	11.218701	
HEX 5 : 418045FB	41C0F48A	41552838	
DEC 5 : 16.034170	24.119404	13.322319	
HEX 6 : 41711C22	41B63C1C	416A26DF	
DEC 6 : 15.069368	22.779350	14.634490	
HEX 7 : 413BE558	419EE0B5	4139F1D2	
DEC 7 : 11.743492	19.859720	11.621538	
HEX 8 : 41839A5D	418DAADB	41779DE7	
DEC 8 : 16.450373	17.708426	15.476050	
HEX 9 : 41845D9D	41BA65D6	41851637	
DEC 9 : 16.545710	23.299725	16.635847	
HEX 10 : 414539BD	41A49222	41828C07	
DEC 10 : 12.326596	20.571354	16.318373	
HEX 11 : 415B7FFE	41A15547	4146DFA2	
DEC 11 : 13.718748	20.166639	12.429598	
HEX 12 : 412DE8E3	418C415C	4182C1B9	
DEC 12 : 10.869357	17.531914	16.344591	
HEX 13 : 4151EB79	419376A8	4135B997	
DEC 13 : 13.119988	18.432938	11.357810	
HEX 14 : 41469A29	419544C6	4178CA25	
DEC 14 : 12.412637	18.658581	15.549352	
HEX 15 : 4184CE58	41C4F4FE	41345E2A	
DEC 15 : 16.600754	24.619625	11.272989	
HEX 16 : 41125F11	4190EC52	4178275D	
DEC 16 : 9.148210	18.115391	15.509610	
HEX 17 : 4184130E	41A8DE25	418756B1	
DEC 17 : 16.509304	21.108469	16.917330	
HEX 18 : 41081C89	419953A1	410874BD	
DEC 18 : 8.506967	19.165834	8.528501	
HEX 19 : 412E7D96	41BB39EF	41227663	
DEC 19 : 10.905661	23.403288	10.153903	
HEX 20 : 41566F7F	41A2A511	41690CD1	
DEC 20 : 13.402221	20.330599	14.565629	
HEX 21 : 41689CD5	41B90E7B	4185E760	
DEC 21 : 14.538289	23.132071	16.737976	
HEX 22 : 4117642B	41B20239	414261FC	
DEC 22 : 9.461955	22.251085	12.148922	
HEX 23 : 4136939C	418956D2	412AA0BE	
DEC 23 : 11.411037	17.167393	10.664244	
HEX 24 : 4186D9E0	41AE1C6E	4170B4D9	
DEC 24 : 16.856384	21.763882	15.044152	
HEX 25 : 4112477C	41B592F1	41844843	
DEC 25 : 9.142452	22.696749	16.535284	
HEX 26 : 4137C39B	41AA9F78	416644C6	
DEC 26 : 11.485255	21.327866	14.391790	
HEX 27 : 4117CAF7	41AF7AC3	4122C11A	
DEC 27 : 9.487052	21.934942	10.172144	
HEX 28 : 4126F764	41A9ADAC	41818B08	
DEC 28 : 10.435398	21.209801	16.192886	
HEX 29 : 411C158F	41C96ED8	41675803	
DEC 29 : 9.755263	25.179123	14.458987	
HEX 30 : 41589792	41A1F788	41246FBD	
DEC 30 : 13.537004	20.245865	10.277280	
HEX 31 : 414E8BD5	41C2C4B7	41802C57	
DEC 31 : 12.909139	24.346052	16.021650	
HEX 32 : 41519DA0	41B870E7	41358209	
DEC 32 : 13.100983	23.055128	11.344247	
HEX 33 : 417459B7	41A060F3	410F811B	
DEC 33 : 15.271903	20.047338	8.969020	
HEX 34 : 41762EA4	41A6D09A	41338E8D	
DEC 34 : 15.386387	20.851856	11.222302	
HEX 35 : 4149BDB6	41C9684A	41459177	
DEC 35 : 12.608816	25.175922	12.348014	
HEX 36 : 4122C763	41A4F2CC	4150F130	
DEC 36 : 10.173678	20.618553	13.058884	
HEX 37 : 41659F60	419159D5	41795E48	
DEC 37 : 14.351410	18.168863	15.585518	
