Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 41D7FC5F	41A009CE	416D83CD	
DEC 1 : 26.998228	20.004787	14.844678	
HEX 2 : 41D991EE	41922FA6	415DD117	
DEC 2 : 27.196255	18.273266	13.863547	
HEX 3 : 42016650	418E84F5	41546945	
DEC 3 : 32.349915	17.814920	13.275701	
HEX 4 : 420362C3	41B0C08B	410BBCE2	
DEC 4 : 32.846447	22.094015	8.733614	
HEX 5 : 41CF4C62	41BCA7EF	417D7FFB	
DEC 5 : 25.912296	23.581999	15.843745	
HEX 6 : 42016C30	41A428B4	411FB8F4	
DEC 6 : 32.355652	20.519875	9.982655	
HEX 7 : 4201C0B0	41C49225	416CA8CD	
DEC 7 : 32.438171	24.571360	14.791211	
HEX 8 : 41E19129	41A88D65	415A5CA5	
DEC 8 : 28.195879	21.069040	13.647618	
HEX 9 : 4203A9A9	41C22279	413D1077	
DEC 9 : 32.915684	24.266832	11.816520	
HEX 10 : 4203CE18	41B939F2	4157A3B7	
DEC 10 : 32.951263	23.153294	13.477469	
HEX 11 : 41FB7E49	41B3E1A2	41218E56	
DEC 11 : 31.436663	22.485172	10.097250	
HEX 12 : 41FEE85A	41AE0DFB	413F45A6	
DEC 12 : 31.863453	21.756826	11.954504	
HEX 13 : 41DA89FF	41BF955C	41677E33	
DEC 13 : 27.317381	23.947929	14.468310	
HEX 14 : 41E0C843	41919013	417A5ABE	
DEC 14 : 28.097784	18.195349	15.647154	
HEX 15 : 41F0DFB1	41A3B112	4163750C	
DEC 15 : 30.109224	20.461460	14.216076	
HEX 16 : 41EA7D5F	418A6B68	410E27F3	
DEC 16 : 29.311216	17.302444	8.884753	
HEX 17 : 4203FCCF	418CB0D2	41365A7A	
DEC 17 : 32.996883	17.586338	11.397089	
HEX 18 : 41DD63CA	41B60188	4147E7D5	
DEC 18 : 27.673725	22.750748	12.494100	
HEX 19 : 41D76B7A	419A11E6	412A6C93	
DEC 19 : 26.927479	19.258739	10.651507	
HEX 20 : 41E6A69E	41CA674F	4165440E	
DEC 20 : 28.831356	25.300444	14.329115	
HEX 21 : 41E7F851	4195DF86	412956B8	
DEC 21 : 28.996248	18.734142	10.583672	
HEX 22 : 41DBBC2C	41C6E960	414B25C3	
DEC 22 : 27.466881	24.863953	12.696719	
HEX 23 : 41EBBD07	41ABB1CF	4187A568	
DEC 23 : 29.467299	21.461821	16.955765	
HEX 24 : 41CD134B	41C96D70	413ECE55	
DEC 24 : 25.634420	25.178436	11.925374	
HEX 25 : 41D01A54	419224A1	41825BE1	
DEC 25 : 26.012856	18.267885	16.294863	
HEX 26 : 41E01C24	41BF4F7C	410B7E56	
DEC 26 : 28.013741	23.913811	8.718344	
HEX 27 : 42064248	4197D904	41745688	
DEC 27 : 33.564728	18.980965	15.271126	
HEX 28 : 41DF9161	4196360F	410DA312	
DEC 28 : 27.945986	18.776396	8.852312	
HEX 29 : 41FE9CCC	41C39457	411C67E2	
DEC 29 : 31.826561	24.447432	9.775362	
HEX 30 : 42060841	41BDAFA9	4183E489	
DEC 30 : 33.508060	23.710772	16.486589	
HEX 31 : 41DF93E3	41C1BD25	412B1ADF	
DEC 31 : 27.947210	24.217356	10.694060	
HEX 32 : 41EB1C18	41B209E7	416BB045	
DEC 32 : 29.388718	22.254835	14.730535	
HEX 33 : 41F1BDB3	41A6F58D	41298A4A	
DEC 33 : 30.217627	20.869898	10.596262	
HEX 34 : 41F6BA8B	41BC3C27	415DD401	
DEC 34 : 30.841085	23.529371	13.864259	
