Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 3F3BAF86	41EF0B9B	417B992E	
DEC 1 : 0.733147	29.880667	15.724897	
HEX 2 : 40A7D313	4202F6D2	4146948D	
DEC 2 : 5.244516	32.741035	12.411267	
HEX 3 : 40C185F9	41E4A57E	417CE94C	
DEC 3 : 6.047604	28.580807	15.806957	
HEX 4 : 40D3A9CA	41CD98EC	414F1816	
DEC 4 : 6.614476	25.699669	12.943380	
HEX 5 : 3FD5CA19	4203A2B1	41493671	
DEC 5 : 1.670230	32.908878	12.575791	
HEX 6 : 410453C8	41D85E65	413E6C75	
DEC 6 : 8.270454	27.046091	11.901479	
HEX 7 : 3BCAE643	41EA8909	415F2F37	
DEC 7 : 0.006192	29.316912	13.949027	
HEX 8 : 3FE72E8C	41D75AC3	41140D15	
DEC 8 : 1.806108	26.919317	9.253194	
HEX 9 : 40DDDC81	41D56340	410BFC28	
DEC 9 : 6.933167	26.673462	8.749062	
HEX 10 : 410357C6	41DF7D2A	4187E697	
DEC 10 : 8.208929	27.936115	16.987593	
HEX 11 : 408A1047	41E174E7	4136225D	
DEC 11 : 4.314487	28.182081	11.383389	
HEX 12 : 4075FF32	41FAABC5	4156325F	
DEC 12 : 3.843701	31.333872	13.387298	
HEX 13 : 3FE48851	42054E7F	4183CA66	
DEC 13 : 1.785410	33.326656	16.473827	
HEX 14 : 401CC38B	41DC0EE1	414BEAA3	
DEC 14 : 2.449435	27.507265	12.744784	
HEX 15 : 41048E95	41E12A4F	4170003D	
DEC 15 : 8.284810	28.145658	15.000058	
HEX 16 : 40112A63	41FAF583	4186A07C	
DEC 16 : 2.268212	31.369879	16.828362	
HEX 17 : 3BCAE643	420029C6	4117AC4D	
DEC 17 : 0.006192	32.040794	9.479566	
HEX 18 : 40893FBC	4205389C	4109CBCF	
DEC 18 : 4.289030	33.305283	8.612258	
HEX 19 : 40835309	41FA2BC1	410D9547	
DEC 19 : 4.103886	31.271364	8.848945	
HEX 20 : 40CE1436	41E117F8	4141D787	
DEC 20 : 6.439967	28.136703	12.115119	
HEX 21 : 3BCAAB8A	41D22C87	411D6489	
DEC 21 : 0.006185	26.271742	9.837045	
HEX 22 : 4002BD6F	41E74ADB	410E8A89	
