Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 415B52AC	41F547D5	413DF9F0	
DEC 1 : 13.707684	30.660074	11.873520	
HEX 2 : 413BF035	41EE6CB7	4115B747	
DEC 2 : 11.746144	29.803083	9.357245	
HEX 3 : 41808C3D	4201AE4E	415901B0	
DEC 3 : 16.068476	32.420219	13.562912	
HEX 4 : 416C8DE3	41F7182B	4158B200	
DEC 4 : 14.784640	30.886801	13.543457	
HEX 5 : 4167A2FF	4203D541	4118F89E	
DEC 5 : 14.477294	32.958256	9.560698	
HEX 6 : 4123A0EF	41D7598E	4187C2AC	
DEC 6 : 10.226790	26.918728	16.970055	
HEX 7 : 416020E8	41EBF73A	416C0A34	
DEC 7 : 14.008034	29.495716	14.752491	
HEX 8 : 41797A7E	41D3F0FB	417DD1DA	
DEC 8 : 15.592405	26.492666	15.863733	
HEX 9 : 416860FF	4204F541	4138ADE9	
DEC 9 : 14.523681	33.239506	11.542459	
HEX 10 : 4126EBBE	4204B0FB	416CD9E9	
DEC 10 : 10.432554	33.172832	14.803201	
HEX 11 : 41703EF4	41F0CAB0	4113065F	
DEC 11 : 15.015369	30.098969	9.189055	
HEX 12 : 417CC5BB	41E25BCA	4185A672	
DEC 12 : 15.798274	28.294819	16.706272	
HEX 13 : 4110BF03	41F0C0F7	4181892B	
DEC 13 : 9.046634	30.094221	16.191977	
HEX 14 : 413D50A1	41CC10CB	416854EF	
DEC 14 : 11.832185	25.508200	14.520736	
HEX 15 : 41601BAC	4203DA7E	4182BBA3	
DEC 15 : 14.006756	32.963371	16.341619	
HEX 16 : 41096789	4207406D	4157F597	
DEC 16 : 8.587777	33.812916	13.497458	
HEX 17 : 41354438	41D3919C	4130925F	
DEC 17 : 11.329155	26.446098	11.035735	
HEX 18 : 411E3479	41FC02D6	410A44FF	
DEC 18 : 9.887811	31.501385	8.641845	
HEX 19 : 4183F4B8	41D5940B	412A29FF	
DEC 19 : 16.494492	26.697287	10.635253	
HEX 20 : 4114FD88	41E08C0C	41549225	
DEC 20 : 9.311897	28.068382	13.285680	
HEX 21 : 414E291F	41DA2363	4119631C	
DEC 21 : 12.885039	27.267279	9.586697	
HEX 22 : 41273818	41E0FBC8	411744D0	
DEC 22 : 10.451195	28.122940	9.454300	
HEX 23 : 412A7FBA	41EB437A	415EB016	
DEC 23 : 10.656183	29.407948	13.917990	
HEX 24 : 41427C4A	41F13DF2	41744531	
DEC 24 : 12.155344	30.155247	15.266892	
HEX 25 : 413FD0F6	41D87DC7	417C55ED	
DEC 25 : 11.988516	27.061415	15.770978	
HEX 26 : 417DADD7	41D9D002	410B43B4	
DEC 26 : 15.854941	27.226566	8.704029	
HEX 27 : 414B0420	420127F8	41351998	
DEC 27 : 12.688507	32.289032	11.318748	
HEX 28 : 4146177F	4207FBE3	41450855	
DEC 28 : 12.380736	33.995983	12.314534	
HEX 29 : 4182E7E8	42013F50	41166C6E	
DEC 29 : 16.363235	32.311829	9.401472	
HEX 30 : 41748DD6	41DFF2F4	41639189	
DEC 30 : 15.284628	27.993629	14.223031	
HEX 31 : 413D9B8A	41E35111	412DB5C7	
DEC 31 : 11.850473	28.414583	10.856879	
HEX 32 : 4183B232	41E62549	411EBD37	
DEC 32 : 16.462009	28.768206	9.921195	
HEX 33 : 412E9C61	41F3C8A1	41869572	
DEC 33 : 10.913178	30.472963	16.822971	
HEX 34 : 41552683	41FDD3DB	416DC958	
DEC 34 : 13.321902	31.728445	14.861656	
HEX 35 : 410E7200	41ED7931	41411AE5	
DEC 35 : 8.902832	29.684175	12.069066	
HEX 36 : 41284420	41E654D0	417D0C1F	
DEC 36 : 10.516632	28.791412	15.815459	
HEX 37 : 4126690D	41CFE10D	414BEFC6	
DEC 37 : 10.400647	25.984888	12.746038	
HEX 38 : 41578E2A	41EB8FF7	4124D610	
DEC 38 : 13.472208	29.445295	10.302261	
HEX 39 : 4136D0C5	41DD9EAC	414AD4D7	
DEC 39 : 11.425969	27.702477	12.676963	
HEX 40 : 41482B5F	41E21DEE	41642B07	
DEC 40 : 12.510589	28.264614	14.260505	
HEX 41 : 415F5780	41DF8213	41800D70	
DEC 41 : 13.958862	27.938513	16.006561	
HEX 42 : 4123D0C3	41D8B671	416CD9FB	
DEC 42 : 10.238467	27.089083	14.803218	
HEX 43 : 4186C137	4204422E	41330DAB	
DEC 43 : 16.844343	33.064629	11.190837	
HEX 44 : 410CD031	4206D6F8	417F0F97	
DEC 44 : 8.800828	33.709930	15.941306	
HEX 45 : 41451A5F	42074A74	416F11A5	
DEC 45 : 12.318938	33.822708	14.941808	
HEX 46 : 41815E5F	42058A6A	41858404	
DEC 46 : 16.171080	33.385170	16.689461	
HEX 47 : 41474FDD	41F01F0E	4154B742	
DEC 47 : 12.456998	30.015163	13.294741	
HEX 48 : 4157D5A0	41E2F2DA	41483BA7	
DEC 48 : 13.489655	28.368580	12.514564	
HEX 49 : 410C1FD9	41F0259A	4161233B	
DEC 49 : 8.757775	30.018360	14.071101	
HEX 50 : 415E8FF8	4206102F	41594ED7	
DEC 50 : 13.910149	33.515804	13.581748	
HEX 51 : 413E431E	42031094	41115F82	
DEC 51 : 11.891386	32.766190	9.085817	
HEX 52 : 413DD554	4200CBC7	41812F31	
DEC 52 : 11.864582	32.199001	16.148043	
HEX 53 : 410A9B37	42006F58	41693657	
DEC 53 : 8.662894	32.108734	14.575767	
HEX 54 : 411F277E	41E0DF0E	41363C26	
DEC 54 : 9.947142	28.108913	11.389685	
HEX 55 : 41756684	41D0085D	415F0EF5	
DEC 55 : 15.337528	26.004084	13.941152	
HEX 56 : 4173E049	41D9BB01	4143FFC7	
DEC 56 : 15.242257	27.216311	12.249946	
HEX 57 : 412E1E63	42049687	41346572	
DEC 57 : 10.882419	33.146999	11.274767	
HEX 58 : 411D6848	42009910	41852056	
DEC 58 : 9.837959	32.149475	16.640789	
HEX 59 : 41272729	41F9135C	416EA905	
DEC 59 : 10.447061	31.134453	14.916265	
HEX 60 : 413E8E1E	420143D2	41592BB7	
DEC 60 : 11.909697	32.316231	13.573173	
HEX 61 : 41644E31	41CE42A6	411A6AE0	
DEC 61 : 14.269090	25.782543	9.651093	
HEX 62 : 41742FBF	41FA75DD	412CB309	
DEC 62 : 15.261657	31.307550	10.793710	
HEX 63 : 41575984	41D4D825	41575544	
DEC 63 : 13.459354	26.605539	13.458317	
HEX 64 : 41864727	41FA2F46	41416E7A	
DEC 64 : 16.784742	31.273083	12.089472	
HEX 65 : 41302091	41FB4242	4124BCAE	
DEC 65 : 11.007951	31.407352	10.296064	
HEX 66 : 410E1513	42055204	4139429B	
DEC 66 : 8.880145	33.330093	11.578761	
HEX 67 : 410AD2CD	41D20D78	417DBD79	
DEC 67 : 8.676465	26.256577	15.858758	
HEX 68 : 415405F5	41FB0915	411A0FD0	
DEC 68 : 13.251454	31.379435	9.628860	
HEX 69 : 41745ADD	41FE8FDC	4174BF2A	
DEC 69 : 15.272183	31.820244	15.296671	
HEX 70 : 41189CB5	41EEBDA9	411E96A7	
DEC 70 : 9.538259	29.842607	9.911780	
HEX 71 : 41832581	41ED98A6	415982FC	
DEC 71 : 16.393312	29.699535	13.594479	
HEX 72 : 4176896C	42071670	416E1A5D	
DEC 72 : 15.408550	33.771912	14.881436	
HEX 73 : 412DFEE2	41F0819B	413C566B	
DEC 73 : 10.874727	30.063284	11.771098	
HEX 74 : 415B42C9	41D07C62	4175DFD0	
DEC 74 : 13.703805	26.060734	15.367142	
HEX 75 : 415AB9B1	41F1EC74	41849F19	
DEC 75 : 13.670335	30.240456	16.577684	
HEX 76 : 411CB94D	4205F97E	41190C03	
DEC 76 : 9.795239	33.493645	9.565433	
HEX 77 : 4144C6DA	41E656D4	4185CA06	
DEC 77 : 12.298548	28.792397	16.723644	
HEX 78 : 411049A3	41D62A8F	411CC108	
DEC 78 : 9.017978	26.770781	9.797127	
HEX 79 : 418624F6	41FBD512	4184A331	
DEC 79 : 16.768047	31.479038	16.579683	
HEX 80 : 4121892B	41FEAEED	414E180D	
DEC 80 : 10.095988	31.835413	12.880872	
HEX 81 : 41585379	41D566F2	41363691	
DEC 81 : 13.520379	26.675266	11.388322	
HEX 82 : 416AD867	41DECD2F	412412E6	
DEC 82 : 14.677833	27.850187	10.254614	
HEX 83 : 417D8559	41EF5B91	4178A889	
DEC 83 : 15.845056	29.919710	15.541146	
HEX 84 : 4112D073	41FB4A63	4131929A	
DEC 84 : 9.175891	31.411322	11.098291	
HEX 85 : 41781F9E	41E9643A	413A1A23	
DEC 85 : 15.507719	29.173939	11.631381	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
