Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 41DD9919	40BD7EED	4194518C	
DEC 1 : 27.699755	5.921744	18.539818	
HEX 2 : 41D47C97	403FA9EF	41C16AB9	
DEC 2 : 26.560835	2.994747	24.177111	
HEX 3 : 41E2EF05	404B1FC1	41BAB118	
DEC 3 : 28.366709	3.173813	23.336472	
HEX 4 : 41FDCF0F	40EA27CE	41AC3C4A	
DEC 4 : 31.726103	7.317359	21.529438	
HEX 5 : 41DDFC6B	3ABB6ED6	41B77A3A	
DEC 5 : 27.748251	0.001430	22.934681	
HEX 6 : 41E84618	409BF473	418BD992	
DEC 6 : 29.034225	4.873590	17.481236	
HEX 7 : 41CF0A19	3AC111AE	41AD53A1	
DEC 7 : 25.879930	0.001473	21.665834	
HEX 8 : 41D9950B	40CAB8C9	41A37303	
DEC 8 : 27.197775	6.335057	20.431158	
HEX 9 : 4207C034	40AE0D6D	41C2D2E3	
DEC 9 : 33.937698	5.439139	24.352972	
HEX 10 : 41D0A4F4	40605FAB	41A93281	
DEC 10 : 26.080544	3.505839	21.149660	
HEX 11 : 41D5F202	402C2BE9	4192F0AE	
DEC 11 : 26.743168	2.690180	18.367519	
HEX 12 : 41D2EA8E	3F254A4D	4193176F	
DEC 12 : 26.364529	0.645665	18.386442	
HEX 13 : 420012D0	40BF6B83	41C1A603	
DEC 13 : 32.018372	5.981874	24.206060	
HEX 14 : 41D6295F	40A07497	418825EA	
DEC 14 : 26.770201	5.014232	17.018513	
HEX 15 : 41E77032	3B6E6B83	41A90F83	
DEC 15 : 28.929783	0.003638	21.132574	
HEX 16 : 41F0CB9D	3FDD00A4	41C597C6	
DEC 16 : 30.099421	1.726582	24.699108	
HEX 17 : 41EFC301	40D88A52	41A5EFCA	
DEC 17 : 29.970217	6.766885	20.742085	
HEX 18 : 4200B954	3DA15098	41A6003C	
DEC 18 : 32.180984	0.078767	20.750114	
HEX 19 : 4206E9F6	402D4003	419F147C	
DEC 19 : 33.728477	2.707032	19.885002	
HEX 20 : 41D82A7B	410680AC	41B4E9E5	
DEC 20 : 27.020742	8.406414	22.614206	
HEX 21 : 41E2C440	3FBFEFFA	4189589E	
DEC 21 : 28.345825	1.499511	17.168270	
HEX 22 : 41D1B80F	40C2C522	41BFEF32	
DEC 22 : 26.214872	6.086564	23.991795	
HEX 23 : 42021A30	40F9DD5B	41C6C0AE	
DEC 23 : 32.525574	7.808271	24.844082	
HEX 24 : 41FE7AC1	4009ECF6	419E1DF2	
DEC 24 : 31.809938	2.155088	19.764622	
HEX 25 : 42042F5B	3ABD87B5	41B469A6	
DEC 25 : 33.046246	0.001446	22.551586	
HEX 26 : 41EB9F27	40AD5968	419AE113	
DEC 26 : 29.452711	5.417164	19.359900	
HEX 27 : 41D98475	3E5B5A21	41A15AF5	
DEC 27 : 27.189676	0.214211	20.169413	
HEX 28 : 41D8213A	3CD83409	41C913DC	
DEC 28 : 27.016224	0.026392	25.134697	
HEX 29 : 41E23580	40DF954A	41BFA6CF	
DEC 29 : 28.276123	6.986974	23.956450	
HEX 30 : 41F96117	40818ABB	419D5465	
DEC 30 : 31.172407	4.048185	19.666208	
HEX 31 : 41FD59E0	40BE1C88	41A0A2D5	
DEC 31 : 31.668884	5.940983	20.079508	
HEX 32 : 41E15437	3FB601A3	41C23DD3	
DEC 32 : 28.166121	1.421925	24.280188	
HEX 33 : 420722DF	3FE3C505	41C9CE54	
DEC 33 : 33.784054	1.779450	25.225746	
HEX 34 : 41F7C6CD	40A287C4	41B61520	
DEC 34 : 30.972071	5.079073	22.760315	
HEX 35 : 41CFA80A	40DB32A7	4196DF56	
DEC 35 : 25.957050	6.849933	18.859051	
HEX 36 : 41E5C09B	40459F51	41929979	
DEC 36 : 28.719046	3.087849	18.324938	
HEX 37 : 41FF71E9	3FD87000	418E957C	
DEC 37 : 31.930620	1.690918	17.822990	
HEX 38 : 41ED40AC	409B8516	41AA28B0	
DEC 38 : 29.656578	4.859996	21.269867	
HEX 39 : 41DA2F77	41048021	419CBA1D	
DEC 39 : 27.273176	8.281281	19.590876	
HEX 40 : 420290D2	3D725700	41966E7C	
