Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 41532871	41343632	4199EDCE	
DEC 1 : 13.197373	11.263231	19.241116	
HEX 2 : 416FCE1F	41732164	41C63135	
DEC 2 : 14.987823	15.195652	24.774027	
HEX 3 : 41185EA0	416CCB6A	418BA6E1	
DEC 3 : 9.523102	14.799662	17.456484	
HEX 4 : 4137CC8C	4122BDDC	41AEC25F	
DEC 4 : 11.487438	10.171352	21.844908	
HEX 5 : 41855384	4139D593	41C4C5B9	
DEC 5 : 16.665779	11.614642	24.596544	
HEX 6 : 4177476C	412B9DA1	41B09521	
DEC 6 : 15.454937	10.725984	22.072817	
HEX 7 : 413AA970	41299191	41C95592	
DEC 7 : 11.666367	10.598039	25.166782	
HEX 8 : 41430CDB	4142D73C	41AC4800	
DEC 8 : 12.190639	12.177547	21.535156	
HEX 9 : 4168C2AB	414D50AF	41A1EA9F	
DEC 9 : 14.547526	12.832198	20.239561	
HEX 10 : 41551FAD	411433F2	419C10F6	
DEC 10 : 13.320233	9.262682	19.508282	
HEX 11 : 4170405F	41527594	419277BE	
DEC 11 : 15.015716	13.153706	18.308468	
HEX 12 : 411270B6	414AB6D0	4191FD24	
DEC 12 : 9.152517	12.669632	18.248604	
HEX 13 : 4113AF88	410E3693	4198AE2C	
DEC 13 : 9.230354	8.888324	19.085045	
HEX 14 : 4144E3C8	41506671	419C76B1	
DEC 14 : 12.305611	13.025010	19.557955	
HEX 15 : 41201044	417EF443	4198F271	
DEC 15 : 10.003971	15.934634	19.118380	
HEX 16 : 4139B2E7	418754F0	41BE86BD	
DEC 16 : 11.606177	16.916473	23.815790	
HEX 17 : 410D10A4	4166EF61	41B774BD	
DEC 17 : 8.816563	14.433442	22.932001	
HEX 18 : 4112CD2A	41840F30	41B39C7B	
DEC 18 : 9.175089	16.507416	22.451406	
HEX 19 : 417109D6	412FA812	4194ACEC	
DEC 19 : 15.064901	10.978533	18.584435	
HEX 20 : 41412C9E	4112768E	41BD0ADC	
DEC 20 : 12.073393	9.153944	23.630302	
HEX 21 : 4129887F	41608D2E	419A86FE	
DEC 21 : 10.595824	14.034468	19.315914	
HEX 22 : 41683E94	411F1C31	41BD3F32	
DEC 22 : 14.515278	9.944383	23.655857	
HEX 23 : 4135B288	4182FD3E	41A84DDE	
DEC 23 : 11.356087	16.373653	21.038021	
HEX 24 : 4145399D	4170ED07	41C32C2A	
DEC 24 : 12.326566	15.057868	24.396564	
HEX 25 : 4120A4ED	4120CBAC	41BCFFD3	
DEC 25 : 10.040265	10.049725	23.624914	
HEX 26 : 413C1B54	416518EF	41A7D948	
DEC 26 : 11.756672	14.318587	20.981094	
HEX 27 : 413A4737	410A83B8	41A34D6F	
DEC 27 : 11.642386	8.657158	20.412809	
HEX 28 : 417754A1	411ED403	41A1EA6C	
DEC 28 : 15.458161	9.926761	20.239464	
HEX 29 : 412DF876	41552F9A	418BBC6D	
DEC 29 : 10.873159	13.324121	17.467005	
HEX 30 : 4116F235	4135153D	41B14FD0	
DEC 30 : 9.434133	11.317685	22.163971	
