Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 41E79EFB	411673A4	419AE4DD	
DEC 1 : 28.952627	9.403233	19.361750	
HEX 2 : 4206F17A	4170FFC0	41CBAF8B	
DEC 2 : 33.735817	15.062439	25.460714	
HEX 3 : 41E19653	4155BD78	41B325B4	
DEC 3 : 28.198400	13.358757	22.393410	
HEX 4 : 41DDFFD1	41673801	41959FB0	
DEC 4 : 27.749910	14.451173	18.702972	
HEX 5 : 41F0482D	410EA116	418DFBC8	
DEC 5 : 30.035242	8.914328	17.747940	
HEX 6 : 4207972E	4130F5E8	41C421C6	
DEC 6 : 33.897636	11.060036	24.516491	
HEX 7 : 420014BB	41243141	41CADDD0	
DEC 7 : 32.020245	10.262025	25.358307	
HEX 8 : 41ECF9C2	415C01D1	4196BFF3	
DEC 8 : 29.621952	13.750443	18.843725	
HEX 9 : 42056516	41602AF7	418F5B31	
DEC 9 : 33.348717	14.010489	17.919527	
HEX 10 : 41F62DDF	415920DA	41BE2271	
DEC 10 : 30.772398	13.570520	23.766817	
HEX 11 : 41D97FFD	41450D17	419A14EA	
DEC 11 : 27.187494	12.315696	19.260212	
HEX 12 : 41CC4EBD	413C384A	41C52ED1	
DEC 12 : 25.538446	11.763742	24.647860	
HEX 13 : 420049F0	413E5E79	41BDFAE1	
DEC 13 : 32.072205	11.898065	23.747499	
HEX 14 : 4202EFEF	41804A72	41962FD0	
DEC 14 : 32.734310	16.036350	18.773346	
HEX 15 : 42014902	415B2FB5	419CDAD8	
DEC 15 : 32.321297	13.699147	19.606857	
HEX 16 : 41F200CE	4178E9A6	41BFB27E	
DEC 16 : 30.250393	15.557043	23.962154	
HEX 17 : 41E72581	4156DAD7	41C74BCB	
DEC 17 : 28.893312	13.428428	24.912008	
HEX 18 : 42003233	411029F4	41909C83	
DEC 18 : 32.049023	9.010242	18.076422	
HEX 19 : 41D3AF75	41813470	41BD9C94	
DEC 19 : 26.460672	16.150604	23.701454	
HEX 20 : 42032ACD	41870329	41B2AB55	
DEC 20 : 32.791798	16.876543	22.333658	
HEX 21 : 41FF796A	417CA312	41A51B9C	
DEC 21 : 31.934284	15.789812	20.638481	
HEX 22 : 41E1776D	417999F3	41AE5D6A	
DEC 22 : 28.183313	15.600085	21.795612	
HEX 23 : 41E2CF94	411EB7C6	41AD51FB	
DEC 23 : 28.351357	9.919867	21.665030	
HEX 24 : 41E21DE0	417694AA	41C13373	
DEC 24 : 28.264587	15.411295	24.150122	
HEX 25 : 41FFB6BA	4114B18E	41ADCFCB	
DEC 25 : 31.964222	9.293348	21.726461	
HEX 26 : 41EEC994	4183D0A4	41A8F276	
DEC 26 : 29.848427	16.476875	21.118389	
HEX 27 : 41D55C56	416410FC	41ABB7AD	
DEC 27 : 26.670086	14.254147	21.464685	
HEX 28 : 41EADE68	410AA636	41B6D3C1	
DEC 28 : 29.358597	8.665579	22.853395	
HEX 29 : 4203BE9A	411577A7	41BD052E	
