Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 41B52709	41B5D73E	41BC9DD6	
DEC 1 : 22.644060	22.730099	23.577068	
HEX 2 : 419AE6BB	41CA302E	41BA705B	
DEC 2 : 19.362661	25.273525	23.304861	
HEX 3 : 41CA5219	41930B70	41BD58B2	
DEC 3 : 25.290087	18.380585	23.668308	
HEX 4 : 41AD5CC0	41C93DE1	41BB9C58	
DEC 4 : 21.670288	25.155214	23.451340	
HEX 5 : 41A7F611	4194A3B4	41B9639C	
DEC 5 : 20.995150	18.579933	23.173637	
HEX 6 : 418A2856	41B15AF1	41C85040	
DEC 6 : 17.269695	22.169405	25.039185	
HEX 7 : 41B08C14	419AD829	41C56148	
DEC 7 : 22.068398	19.355547	24.672501	
HEX 8 : 41A49447	418DCA71	41C78425	
DEC 8 : 20.572401	17.723848	24.939524	
HEX 9 : 41C38250	41C1C421	418848B2	
DEC 9 : 24.438629	24.220766	17.035496	
HEX 10 : 41ADF55C	419747C8	4189A11B	
DEC 10 : 21.744804	18.910049	17.203665	
HEX 11 : 419BC01F	41B22C06	41C8AE5C	
DEC 11 : 19.468809	22.271496	25.085136	
HEX 12 : 41BAF480	41B7A7FE	419F2DAB	
DEC 12 : 23.369385	22.957027	19.897299	
HEX 13 : 418C8D07	41B0546A	4192AC4B	
DEC 13 : 17.568861	22.041218	18.334127	
HEX 14 : 41B409A6	41A946DB	418BC5F0	
DEC 14 : 22.504711	21.159597	17.471649	
HEX 15 : 4189F420	41980B75	41A38491	
DEC 15 : 17.244202	19.005594	20.439730	
HEX 16 : 41C29635	41C9801A	41C93923	
DEC 16 : 24.323343	25.187550	25.152899	
HEX 17 : 41B3287F	418A2965	41AA8883	
DEC 17 : 22.394773	17.270212	21.316656	
HEX 18 : 419CCFA2	41C7EB36	41A60F75	
DEC 18 : 19.601383	24.989849	20.757547	
HEX 19 : 41B7CC22	41AA4866	41C88AB9	
DEC 19 : 22.974674	21.285351	25.067736	
HEX 20 : 419D4313	41C0F3DA	419712DB	
DEC 20 : 19.657751	24.119068	18.884207	
HEX 21 : 41C64ACC	41B217F1	41BBB575	
DEC 21 : 24.786522	22.261690	23.463602	
HEX 22 : 41912F60	41C05F85	418C9819	
DEC 22 : 18.148132	24.046640	17.574266	
HEX 23 : 41C33CF0	418A382F	419CF73E	
DEC 23 : 24.404755	17.277433	19.620724	
HEX 24 : 41AF0F9F	41AF9F14	41A63F8C	
DEC 24 : 21.882627	21.952675	20.781029	
HEX 25 : 41A1895F	41B521C6	41B34ACC	
DEC 25 : 20.192076	22.641491	22.411522	
HEX 26 : 418B4BA2	41B2616F	41AA668B	
DEC 26 : 17.411930	22.297575	21.300070	
HEX 27 : 419262D4	41A66CDE	41A00C64	
DEC 27 : 18.298256	20.803158	20.006050	
HEX 28 : 41987A53	41967014	41AA123E	
DEC 28 : 19.059729	18.804726	21.258907	
HEX 29 : 41A5C9A1	41CB9FE6	4188F3D6	
DEC 29 : 20.723452	25.453075	17.119061	
HEX 30 : 41B39C3D	41A4286C	419C0971	
DEC 30 : 22.451288	20.519737	19.504610	
HEX 31 : 41A2782B	41A72208	41A13568	
DEC 31 : 20.308676	20.891617	20.151077	
HEX 32 : 419D43F4	41C89119	41CA2E0B	
DEC 32 : 19.658180	25.070848	25.272482	
HEX 33 : 41BA5B6C	41A72319	41B90D0D	
DEC 33 : 23.294640	20.892138	23.131372	
HEX 34 : 41902D42	41BFDB40	41A037AB	
DEC 34 : 18.022099	23.982056	20.027182	
HEX 35 : 41A9D44B	41942AEA	419A3D3C	
DEC 35 : 21.228659	18.520954	19.279900	
HEX 36 : 419280DE	41942145	41B8DC08	
DEC 36 : 18.312923	18.516245	23.107437	
HEX 37 : 419516DD	41BEDBC5	41B0C034	
DEC 37 : 18.636164	23.857309	22.093849	
HEX 38 : 418E53B9	4191FB4E	418908D5	
DEC 38 : 17.790880	18.247707	17.129313	
HEX 39 : 41AE9F8E	41BDE094	41B06B3A	
DEC 39 : 21.827908	23.734657	22.052357	
HEX 40 : 41913B9C	41A30B5A	41C73F2C	
DEC 40 : 18.154106	20.380543	24.905846	
HEX 41 : 41C0644C	41ABA0A7	4195F7AD	
DEC 41 : 24.048973	21.453444	18.745935	
HEX 42 : 41C6730A	41CA1193	41AFF2E7	
DEC 42 : 24.806171	25.258581	21.993605	
HEX 43 : 41A4C46B	418AFBF6	418E2344	
DEC 43 : 20.595907	17.373028	17.767220	
HEX 44 : 41BF586A	41B863C8	41C8AEDD	
DEC 44 : 23.918171	23.048721	25.085382	
HEX 45 : 41C04D11	419D6A74	41C4488A	
DEC 45 : 24.037630	19.676979	24.535419	
HEX 46 : 41BC898A	41C433CC	41BB0DF1	
DEC 46 : 23.567158	24.525291	23.381807	
HEX 47 : 41C0290E	41B84B7B	41AE4B65	
DEC 47 : 24.020046	23.036856	21.786814	
HEX 48 : 419426D0	41B0746D	41BAB4BE	
DEC 48 : 18.518951	22.056849	23.338253	
HEX 49 : 418F940A	41C066F4	41C8C425	
DEC 49 : 17.947285	24.050270	25.095774	
HEX 50 : 419C62C8	41AE98E6	41942C72	
DEC 50 : 19.548233	21.824657	18.521702	
HEX 51 : 41BC2D6E	418E0295	41C2E155	
DEC 51 : 23.522182	17.751261	24.360025	
HEX 52 : 41CB9599	41C0C44B	41BF4555	
DEC 52 : 25.448046	24.095846	23.908854	
HEX 53 : 41BDB695	41A94A19	41A75A49	
DEC 53 : 23.714151	21.161180	20.919085	
HEX 54 : 41C6D0B2	41C66D8F	419E78EF	
DEC 54 : 24.851902	24.803495	19.809050	
HEX 55 : 41B85002	4198A5C7	41A61B50	
DEC 55 : 23.039066	19.080946	20.763336	
HEX 56 : 41B26EF2	41C1D646	41C8DB4D	
DEC 56 : 22.304173	24.229626	25.107080	
HEX 57 : 41ABEDAC	41A57929	41B23707	
DEC 57 : 21.491051	20.684160	22.276869	
HEX 58 : 419C213D	41A676C6	41AFE243	
DEC 58 : 19.516230	20.807995	21.985479	
HEX 59 : 41A2B8FA	41B9CEA5	4189D713	
DEC 59 : 20.340321	23.225901	17.230017	
HEX 60 : 41C6FEC6	418EB575	41AC9899	
DEC 60 : 24.874401	17.838602	21.574511	
HEX 61 : 41C4F099	419F30FB	418CA218	
DEC 61 : 24.617479	19.898916	17.579147	
HEX 62 : 41A8189C	41AD0396	41BFCBCB	
DEC 62 : 21.012016	21.626751	23.974508	
HEX 63 : 41B73732	41BA8486	418F8499	
DEC 63 : 22.901951	23.314709	17.939745	
HEX 64 : 419314EC	41A44423	418A701C	
DEC 64 : 18.385216	20.533270	17.304741	
HEX 65 : 4198E48A	4199793F	41980E3C	
DEC 65 : 19.111591	19.184202	19.006950	
HEX 66 : 419E5E5B	41A0603F	41BE828D	
DEC 66 : 19.796072	20.046995	23.813745	
HEX 67 : 41B8FCF0	4194BCA7	4194F00B	
DEC 67 : 23.123505	18.592115	18.617208	
HEX 68 : 41ABD34A	41B1EA19	4196BF0C	
DEC 68 : 21.478168	22.239305	18.843285	
HEX 69 : 4188EB0F	41BC4917	41BAD014	
DEC 69 : 17.114775	23.535688	23.351601	
HEX 70 : 419451CA	418AFF5B	419DC6D7	
DEC 70 : 18.539936	17.374685	19.722090	
HEX 71 : 41AE1497	41C7B315	41961F05	
DEC 71 : 21.760054	24.962442	18.765146	
HEX 72 : 418B70F8	41905C07	41C6EB7C	
DEC 72 : 17.430161	18.044935	24.864983	
HEX 73 : 41C298BA	418B84B2	418C1118	
DEC 73 : 24.324574	17.439793	17.508347	
HEX 74 : 418CCE2F	41A1E969	41B08BDC	
DEC 74 : 17.600676	20.238970	22.068291	
HEX 75 : 41B9B198	41C54975	41A78E83	
DEC 75 : 23.211716	24.660868	20.944586	
HEX 76 : 41B78134	41961483	41B5E0F1	
DEC 76 : 22.938087	18.760015	22.734835	
HEX 77 : 41A8BC49	419847FD	41A9BE35	
DEC 77 : 21.091936	19.035151	21.217875	
HEX 78 : 41A8F98A	41BD9E8E	41A1739A	
