Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 41DD038A	41AE01C0	41B2CE3A	
DEC 1 : 27.626728	21.750854	22.350697	
HEX 2 : 41ED1BF0	41A54764	41B0448A	
DEC 2 : 29.638641	20.659859	22.033466	
HEX 3 : 41FE3422	41A4FD58	41AF18AA	
DEC 3 : 31.775455	20.623703	21.887043	
HEX 4 : 41E48959	41B91653	418C9F81	
DEC 4 : 28.567064	23.135900	17.577883	
HEX 5 : 4202960F	41A6D05E	419DE6A6	
DEC 5 : 32.646542	20.851742	19.737621	
HEX 6 : 41EE2DC9	41BC247F	41B8A255	
DEC 6 : 29.772356	23.517820	23.079264	
HEX 7 : 42044CDA	41BB555C	41BCE641	
DEC 7 : 33.075050	23.416679	23.612429	
HEX 8 : 4202F437	41B7884F	419D50F0	
DEC 8 : 32.738491	22.941557	19.664520	
HEX 9 : 41D536BD	41C8C9C5	41A9EB02	
DEC 9 : 26.651728	25.098520	21.239750	
HEX 10 : 41EB6E71	41BD1195	41C85E7E	
DEC 10 : 29.428926	23.633585	25.046139	
HEX 11 : 41CE0E07	41B56CB8	41A20DF5	
DEC 11 : 25.756849	22.678085	20.256815	
HEX 12 : 41D5D6D2	41C1C86A	419B858A	
DEC 12 : 26.729893	24.222858	19.440205	
HEX 13 : 42017223	41B2E9DF	418E158E	
DEC 13 : 32.361462	22.364195	17.760525	
HEX 14 : 41FFC793	419EF632	41C7FA1C	
DEC 14 : 31.972448	19.870213	24.997124	
HEX 15 : 41D91D16	41B22232	4195684E	
DEC 15 : 27.139202	22.266697	18.675930	
HEX 16 : 4207D2EE	419D9743	41C6745C	
DEC 16 : 33.955986	19.698858	24.806816	
HEX 17 : 41F56752	418A1CE9	41B815F5	
DEC 17 : 30.675449	17.264116	23.010721	
HEX 18 : 41F6A9E3	41BA8768	41997DAF	
DEC 18 : 30.832952	23.316116	19.186369	
HEX 19 : 41F6DE73	419B6D6E	41A2112A	
DEC 19 : 30.858618	19.428432	20.258381	
HEX 20 : 41FA094B	418A4FE0	419A1D6E	
DEC 20 : 31.254538	17.289001	19.264370	
HEX 21 : 41D94B1B	41C432CD	41C6C5B7	
DEC 21 : 27.161673	24.524805	24.846540	
HEX 22 : 41DCBE89	41B9CD24	41A78C0B	
DEC 22 : 27.593035	23.225166	20.943380	
HEX 23 : 41E3EA8C	41C6AF56	41A15606	
DEC 23 : 28.489525	24.835613	20.167004	
HEX 24 : 41E026E2	4192CB68	418D1E04	
DEC 24 : 28.018986	18.349319	17.639656	
HEX 25 : 41EA09E0	418D941C	419B7BEF	
DEC 25 : 29.254822	17.697319	19.435514	
HEX 26 : 4202D600	418A8433	41C6777A	
DEC 26 : 32.708984	17.314550	24.808338	
HEX 27 : 41E03674	419D9CC1	41AAB555	
DEC 27 : 28.026588	19.701540	21.338541	
HEX 28 : 41F4A4CE	41B00461	41C94211	
DEC 28 : 30.580471	22.002138	25.157259	
HEX 29 : 41CC9E2F	41AB8A5A	41AE8DD2	
DEC 29 : 25.577238	21.442554	21.819248	
HEX 30 : 41FF35E9	41B9BCED	41ABADBD	
DEC 30 : 31.901323	23.217249	21.459833	
HEX 31 : 41E82E38	41B3E3C7	419B4F5D	
DEC 31 : 29.022568	22.486219	19.413752	
HEX 32 : 41E585FC	41C83829	41B12E46	
DEC 32 : 28.690422	25.027422	22.147594	
HEX 33 : 41F23A4F	41C22135	41A6DA6F	
DEC 33 : 30.278471	24.266214	20.856657	
HEX 34 : 420394A5	4197D73A	41AD5F11	
DEC 34 : 32.895161	18.980091	21.671419	
HEX 35 : 41EA9ACD	4195FC9B	41BEF111	
DEC 35 : 29.325586	18.748343	23.867708	
HEX 36 : 41EE1638	41955601	41AF56B8	
DEC 36 : 29.760849	18.666994	21.917343	
HEX 37 : 41DFE22A	41A19C71	41BC81B2	
DEC 37 : 27.985432	20.201387	23.563328	
HEX 38 : 41EB5CE0	41B4479C	41AAFBCB	
DEC 38 : 29.420349	22.534966	21.372946	
HEX 39 : 41E0E3BA	4188E1EF	41B8D88B	
DEC 39 : 28.111195	17.110319	23.105734	
HEX 40 : 42028750	41C3E3DC	419252F0	
DEC 40 : 32.632141	24.486259	18.290497	
HEX 41 : 4201B208	418D8552	418D898D	
DEC 41 : 32.423859	17.690098	17.692163	
HEX 42 : 41FB1D0B	418DFE07	41A9A60E	
DEC 42 : 31.389181	17.749037	21.206081	
HEX 43 : 4200462F	41C70959	41A1AC1A	
DEC 43 : 32.068539	24.879564	20.209034	
HEX 44 : 41D6C876	419401D6	41B35BB9	
DEC 44 : 26.847881	18.500896	22.419786	
HEX 45 : 42022D5C	41ADE3D5	41C47724	
DEC 45 : 32.544296	21.736246	24.558174	
HEX 46 : 42071C12	41B47711	41AF401B	
DEC 46 : 33.777412	22.558138	21.906301	
HEX 47 : 41D88A88	41907333	41C43495	
DEC 47 : 27.067642	18.056250	24.525675	
HEX 48 : 41D69610	419F6FE1	4188760C	
DEC 48 : 26.823273	19.929628	17.057640	
HEX 49 : 4203281B	41960FB2	419D7E45	
DEC 49 : 32.789165	18.757664	19.686655	
HEX 50 : 41E4B2BF	41C857F4	41917104	
DEC 50 : 28.587278	25.042946	18.180183	
HEX 51 : 4206C961	41928EA5	41BB0E04	
DEC 51 : 33.696659	18.319651	23.381844	
HEX 52 : 41EDE0C3	41CAAD34	41BF515A	
DEC 52 : 29.734747	25.334572	23.914722	
HEX 53 : 41DE3525	41BCA6C0	41B97789	
DEC 53 : 27.775949	23.581421	23.183367	
HEX 54 : 4207E64A	41A83204	4190801B	
DEC 54 : 33.974892	21.024422	18.062551	
HEX 55 : 41F80615	41AE1041	41A36DD5	
DEC 55 : 31.002970	21.757936	20.428629	
HEX 56 : 4207522D	41A6BB9C	41B95C94	
DEC 56 : 33.830250	20.841606	23.170204	
HEX 57 : 41CEDF74	4193F486	41923552	
DEC 57 : 25.859108	18.494396	18.276035	
HEX 58 : 41D20C3B	418EB614	41A106F4	
DEC 58 : 26.255972	17.838905	20.128395	
HEX 59 : 41E21075	41A4B0A4	41924AEE	
DEC 59 : 28.258036	20.586250	18.286587	
HEX 60 : 41F746B3	41916A11	41C79309	
DEC 60 : 30.909521	18.176790	24.946795	
HEX 61 : 41D1E1AE	41A3B0B3	41972685	
DEC 61 : 26.235195	20.461279	18.893808	
HEX 62 : 41E16CDA	418DB8EC	41A93281	
DEC 62 : 28.178150	17.715294	21.149660	
HEX 63 : 41F65959	41C33872	418C0FAD	
DEC 63 : 30.793627	24.402561	17.507654	
HEX 64 : 41EFE75B	419B1D7E	41932EED	
DEC 64 : 29.987967	19.389400	18.397913	
HEX 65 : 41FD16C5	41980A83	41B9CD2B	
DEC 65 : 31.636118	19.005133	23.225180	
HEX 66 : 4200AC30	419EB925	4190A37B	
DEC 66 : 32.168152	19.840403	18.079824	
HEX 67 : 41CFF93B	41A1D782	41BAD438	
DEC 67 : 25.996695	20.230228	23.353622	
HEX 68 : 41D0C893	419DB3D2	41A6794C	
DEC 68 : 26.097937	19.712803	20.809227	
HEX 69 : 41D740D3	41C1F21F	418B95BF	
DEC 69 : 26.906652	24.243223	17.448118	
HEX 70 : 41FA3F56	41BF4BED	41C2C12B	
DEC 70 : 31.280926	23.912073	24.344320	
HEX 71 : 41D9C400	41AA9B97	41A3830F	
DEC 71 : 27.220703	21.325972	20.438993	
HEX 72 : 42022B9A	41CB3949	41BF4F3E	
DEC 72 : 32.542580	25.402971	23.913692	
HEX 73 : 41EA0103	41A4C07C	41A02F03	
DEC 73 : 29.250494	20.593987	20.022955	
HEX 74 : 41CFC992	41BB6487	41B0CC5F	
DEC 74 : 25.973423	23.424086	22.099791	
HEX 75 : 41DD6C4B	4198A6B9	419BC12E	
DEC 75 : 27.677877	19.081408	19.469326	
HEX 76 : 41E8B566	41893868	41C865DF	
DEC 76 : 29.088573	17.152542	25.049742	
HEX 77 : 41D63752	41B10028	41C0FA20	
DEC 77 : 26.777012	22.125076	24.122131	
HEX 78 : 4204EB2D	41C53D6A	41AFDF1C	
DEC 78 : 33.229664	24.654987	21.983940	
HEX 79 : 41F3A1A6	41A3EDBD	41BED34E	
DEC 79 : 30.453930	20.491083	23.853176	
HEX 80 : 41E62DD4	41B06F88	41C00C08	
DEC 80 : 28.772377	22.054459	24.005875	
HEX 81 : 41F9DDE2	41C62E08	41B450DF	
DEC 81 : 31.233341	24.772476	22.539488	
HEX 82 : 41F660EF	41AA902E	4193E1E4	
DEC 82 : 30.797331	21.320400	18.485298	
HEX 83 : 41FA43EF	41B1A87F	41B892AA	
DEC 83 : 31.283171	22.207273	23.071613	
HEX 84 : 41D63D54	419F6C8F	41C959DB	
