Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 40904C6E	41DD7F37	41BC7AEE	
DEC 1 : 4.509330	27.687117	23.560024	
HEX 2 : 40AD23EC	41FEDD3B	41B7EB77	
DEC 2 : 5.410635	31.858023	22.989973	
HEX 3 : 401320F3	41DF98FD	41A317A0	
DEC 3 : 2.298886	27.949701	20.386536	
HEX 4 : 404BE0B5	41D2D406	419C905B	
DEC 4 : 3.185590	26.353527	19.570486	
HEX 5 : 405310D8	41E93594	419541A9	
DEC 5 : 3.297903	29.151161	18.657061	
HEX 6 : 4088111D	420661DE	41953222	
DEC 6 : 4.252089	33.595573	18.649479	
HEX 7 : 405F93C9	41F72CBD	41C468DE	
DEC 7 : 3.493395	30.896845	24.551205	
HEX 8 : 40B3DAEE	420017BF	418AD305	
DEC 8 : 5.620475	32.023190	17.353037	
HEX 9 : 404D425B	41D5B987	418CD44A	
DEC 9 : 3.207175	26.715590	17.603657	
HEX 10 : 3BCB20FB	41E19560	41B5E6AC	
DEC 10 : 0.006199	28.197937	22.737633	
HEX 11 : 40BC62E7	41F5B100	41C7937B	
DEC 11 : 5.887073	30.711426	24.947012	
HEX 12 : 41058903	41CD327B	41B1BC10	
DEC 12 : 8.345950	25.649649	22.216827	
HEX 13 : 409F36CA	41DC199B	4188EA1D	
DEC 13 : 4.975438	27.512503	17.114313	
HEX 14 : 4107AED1	41DC0A1B	41B9F9CF	
DEC 14 : 8.480180	27.504934	23.246977	
HEX 15 : 4092F8D5	41DD7B96	419898FE	
DEC 15 : 4.592875	27.685345	19.074703	
HEX 16 : 4094EC8B	41D148A5	41B2357C	
DEC 16 : 4.653875	26.160471	22.276115	
HEX 17 : 3FE55D70	41DEC03E	4193A35E	
DEC 17 : 1.791914	27.843868	18.454769	
HEX 18 : 3D7DA72A	41DE5FC3	41C591CB	
DEC 18 : 0.061927	27.796759	24.696188	
HEX 19 : 3BCB07D1	42040A1D	41A015FB	
DEC 19 : 0.006196	33.009876	20.010733	
HEX 20 : 3EE66E22	420659CD	41912E12	
DEC 20 : 0.450059	33.587696	18.147495	
HEX 21 : 3FBAA2D3	41CD5F3E	4196A0C0	
DEC 21 : 1.458094	25.671505	18.828491	
HEX 22 : 40FF5CFD	41E95074	41C1F632	
DEC 22 : 7.980101	29.164284	24.245213	
HEX 23 : 4090EA46	41F08397	41B87308	
DEC 23 : 4.528598	30.064253	23.056168	
HEX 24 : 3BCAE643	41E34C1D	41A3777A	
DEC 24 : 0.006192	28.412165	20.433338	
HEX 25 : 3FB3378F	41E96572	41AD7F98	
DEC 25 : 1.400133	29.174534	21.687302	
HEX 26 : 40CF4799	4200F367	41AABB45	
DEC 26 : 6.477490	32.237698	21.341440	
HEX 27 : 40CF6349	41F6B85B	4195BBFB	
DEC 27 : 6.480870	30.840017	18.716787	
HEX 28 : 40BB1BED	41CE4AAC	41CA1398	
DEC 28 : 5.847159	25.786461	25.259567	
HEX 29 : 40BBCC16	41DB82FF	41A5253B	
DEC 29 : 5.868663	27.438963	20.643179	
HEX 30 : 4003BF2F	42013864	41BC26B5	
DEC 30 : 2.058544	32.305069	23.518900	
HEX 31 : 40C000EF	4207CA4E	418DF316	
DEC 31 : 6.000114	33.947563	17.743694	
HEX 32 : 40EC1FAC	41D017DD	41BFF281	
DEC 32 : 7.378866	26.011652	23.993410	
HEX 33 : 40815B60	41DEA260	41AADF2D	
DEC 33 : 4.042404	27.829285	21.358973	
HEX 34 : 401ED135	420301B8	41921148	
DEC 34 : 2.481519	32.751678	18.258438	
HEX 35 : 40E673EB	41DCBD0A	41C9A5A7	
DEC 35 : 7.201650	27.592304	25.205885	
HEX 36 : 3FEA6078	420734F0	41CB83FB	
DEC 36 : 1.831069	33.801697	25.439444	
HEX 37 : 4030E371	41F5C24B	41B30C61	
DEC 37 : 2.763882	30.719870	22.381044	
HEX 38 : 40E5895D	41EDCB3C	41B4064B	
DEC 38 : 7.173018	29.724236	22.503073	
HEX 39 : 3BCD9E84	41F3BB26	41A349AF	
DEC 39 : 0.006275	30.466381	20.410978	
HEX 40 : 40E15F9A	42055901	41BA6917	
DEC 40 : 7.042920	33.336918	23.301313	
HEX 41 : 4063E2D6	42058A74	41A42319	
DEC 41 : 3.560720	33.385208	20.517138	
