Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 41245427	41F116D4	41AC4DA8	
DEC 1 : 10.270545	30.136147	21.537918	
HEX 2 : 416E841F	420604E3	419AF3C2	
DEC 2 : 14.907256	33.504772	19.369022	
HEX 3 : 4114C8F9	41D99980	41962BFC	
DEC 3 : 9.299066	27.199951	18.771477	
HEX 4 : 416F00E0	41FC79E4	418B5BC1	
DEC 4 : 14.937714	31.559517	17.419802	
HEX 5 : 4111E332	41D0DAE2	41C7CFD9	
DEC 5 : 9.117968	26.106876	24.976488	
HEX 6 : 4179AED1	41FC59C0	41C4E564	
DEC 6 : 15.605180	31.543823	24.612007	
HEX 7 : 4151D030	41D9111C	419B0EEE	
DEC 7 : 13.113327	27.133354	19.382290	
HEX 8 : 4123F64E	41E5EB20	418E5F79	
DEC 8 : 10.247633	28.739807	17.796618	
HEX 9 : 410BEF52	41F0A2CF	41A1F53D	
DEC 9 : 8.745928	30.079496	20.244745	
HEX 10 : 41333B24	41D38C9E	41970F38	
DEC 10 : 11.201939	26.443661	18.882431	
HEX 11 : 41716080	41D7048D	419E89CF	
DEC 11 : 15.086060	26.877222	19.817289	
HEX 12 : 417D631D	41E4E7D9	41995628	
DEC 12 : 15.836698	28.613207	19.167068	
HEX 13 : 4186BDEA	41FA35BE	41B3F575	
DEC 13 : 16.842731	31.276241	22.494852	
HEX 14 : 4161FF3A	41EB6BE1	41943CF9	
DEC 14 : 14.124811	29.427675	18.529772	
HEX 15 : 41843080	41EBA7B2	41BA17F1	
DEC 15 : 16.523682	29.456882	23.261690	
HEX 16 : 412A864B	41DAD665	41C5AAEE	
DEC 16 : 10.657786	27.354685	24.708462	
HEX 17 : 41425AEF	41D7BC47	41B7A47B	
DEC 17 : 12.147201	26.966932	22.955313	
HEX 18 : 410B07F0	4204D02F	41C36E16	
DEC 18 : 8.689438	33.203304	24.428753	
HEX 19 : 4142CFC6	4200E8F8	41CA2DFC	
DEC 19 : 12.175726	32.227509	25.272453	
HEX 20 : 4156E136	41D06178	41A84122	
DEC 20 : 13.429983	26.047592	21.031803	
HEX 21 : 412DFE70	41E4202F	41B45719	
DEC 21 : 10.874619	28.515715	22.542528	
HEX 22 : 4144B708	41F5BDF3	4191FC78	
DEC 22 : 12.294685	30.717749	18.248276	
HEX 23 : 41389AF7	42060A16	41A85F3A	
DEC 23 : 11.537833	33.509850	21.046497	
HEX 24 : 4148DB07	42000A57	41AF281A	
DEC 24 : 12.553473	32.010098	21.894581	
HEX 25 : 413049C1	41CCA0C0	41BEC930	
DEC 25 : 11.018006	25.578491	23.848236	
HEX 26 : 4175708B	41D4BECC	41C9B523	
DEC 26 : 15.339976	26.593163	25.213446	
HEX 27 : 4177C53F	41E3FEA6	41AE7CFF	
DEC 27 : 15.485656	28.499340	21.811033	
HEX 28 : 41275C38	41F53BA2	419857BA	
DEC 28 : 10.460014	30.654118	19.042835	
HEX 29 : 418316EA	4201F520	41A7C5D2	
DEC 29 : 16.386189	32.489380	20.971592	
HEX 30 : 413CF6B5	41EA33F7	41A4C352	
DEC 30 : 11.810231	29.275373	20.595371	
HEX 31 : 414C58C7	41CD4BA7	41C6730A	
DEC 31 : 12.771674	25.661940	24.806171	
HEX 32 : 415AE842	41DB3F8C	41C390E2	
DEC 32 : 13.681704	27.406029	24.445744	
HEX 33 : 41876B3A	41CD900F	419FAEAB	
DEC 33 : 16.927357	25.695341	19.960287	
HEX 34 : 416B7C35	42055488	41C853AB	
DEC 34 : 14.717824	33.332550	25.040854	
HEX 35 : 415963F9	4200BCA0	41BED8E1	
DEC 35 : 13.586907	32.184204	23.855898	
HEX 36 : 4121BFAF	41D55DB2	41B38684	
DEC 36 : 10.109298	26.670750	22.440681	
HEX 37 : 4134192E	4202CE41	4191109A	
DEC 37 : 11.256147	32.701420	18.133106	
HEX 38 : 414DFFF0	41E68F22	41B1CEC1	
DEC 38 : 12.874985	28.819889	22.225954	
HEX 39 : 414D5BE1	41D2A216	418BF321	
DEC 39 : 12.834931	26.329144	17.493715	
HEX 40 : 414079C8	41E55D14	41959D26	
DEC 40 : 12.029732	28.670448	18.701733	
HEX 41 : 4184CE63	42051537	41C2F4F1	
DEC 41 : 16.600775	33.270718	24.369600	
HEX 42 : 417CE35D	41D259D8	41AE21DF	
DEC 42 : 15.805509	26.293869	21.766539	
HEX 43 : 4187D3CF	41EC6AD9	41A7F942	
DEC 43 : 16.978422	29.552172	20.996708	
HEX 44 : 41847DBD	41FF652A	41945063	
DEC 44 : 16.561396	31.924397	18.539251	
HEX 45 : 410B3D8D	41FA4A8B	41929F66	
DEC 45 : 8.702527	31.286398	18.327831	
HEX 46 : 41833644	41DBAF7C	41BA3882	
DEC 46 : 16.401497	27.460686	23.277592	
HEX 47 : 4159DC3A	41E9D409	41CA227D	
DEC 47 : 13.616266	29.228533	25.266840	
HEX 48 : 411BCF3D	42033D08	419CE202	
DEC 48 : 9.738095	32.809601	19.610355	
HEX 49 : 4161511A	41D9FB9A	41B3F0CE	
DEC 49 : 14.082300	27.247852	22.492580	
HEX 50 : 41352D18	41F76D5C	41B856E7	
DEC 50 : 11.323509	30.928398	23.042433	
HEX 51 : 4151D267	41F209CC	41BD00D9	
DEC 51 : 13.113868	30.254784	23.625414	
HEX 52 : 4141BD16	41E4C569	41C0EA2E	
DEC 52 : 12.108664	28.596392	24.114346	
HEX 53 : 4167C9DF	41FEEB65	41A76B33	
DEC 53 : 14.486785	31.864939	20.927343	
HEX 54 : 411004A2	41F3E2F1	41B85ABE	
DEC 54 : 9.001131	30.485811	23.044308	
HEX 55 : 413CDF09	41DA4EF3	41A81721	
DEC 55 : 11.804452	27.288549	21.011293	
HEX 56 : 413E4EFF	41F1FC09	41C9C651	
DEC 56 : 11.894286	30.248064	25.221834	
HEX 57 : 414B601A	4206DF81	4198C878	
DEC 57 : 12.710962	33.718266	19.097885	
HEX 58 : 416DAA79	4207241D	41AAC9CC	
DEC 58 : 14.854119	33.785267	21.348534	
HEX 59 : 4164EBC0	41F19AA1	41B02C4B	
DEC 59 : 14.307556	30.200502	22.021627	
HEX 60 : 4118840A	4206E0DF	418EBAFB	
DEC 60 : 9.532236	33.719601	17.841299	
HEX 61 : 41669929	41DBE928	418F3AE5	
DEC 61 : 14.412393	27.488846	17.903757	
HEX 62 : 413C928A	41FEBAC2	419FBBBA	
DEC 62 : 11.785776	31.841190	19.966663	
HEX 63 : 4112834C	42077615	41AAB163	
DEC 63 : 9.157055	33.865314	21.336615	
HEX 64 : 410DCD96	41E57527	41AD68A1	
DEC 64 : 8.862692	28.682203	21.676088	
HEX 65 : 4180FAD7	41EFD58A	418DE07E	
DEC 65 : 16.122480	29.979267	17.734615	
HEX 66 : 41623E44	41E47F9A	41A2A98D	
DEC 66 : 14.140202	28.562305	20.332788	
HEX 67 : 4147392D	4207CA63	4188FE1D	
DEC 67 : 12.451459	33.947643	17.124079	
HEX 68 : 41751879	42029552	41B7BDE8	
DEC 68 : 15.318475	32.645821	22.967728	
HEX 69 : 41255D3D	41EC3FE7	41C18E32	
DEC 69 : 10.335263	29.531202	24.194431	
HEX 70 : 41563DEE	41F33A26	41A0E9F4	
DEC 70 : 13.390120	30.403393	20.114235	
HEX 71 : 411FB28F	41D31311	41A3B940	
DEC 71 : 9.981093	26.384310	20.465454	
HEX 72 : 41798E6E	41F3C8A6	419F0C69	
DEC 72 : 15.597273	30.472973	19.881060	
HEX 73 : 4181BCA0	41D53624	4190DD8E	
DEC 73 : 16.217102	26.651436	18.108181	
HEX 74 : 4169D9DC	41E77C5E	41BC7743	
DEC 74 : 14.615688	28.935726	23.558233	
HEX 75 : 412D1F37	42036EE6	41B9870F	
DEC 75 : 10.820121	32.858299	23.190947	
HEX 76 : 412026D1	41FC1EDA	41C37360	
DEC 76 : 10.009477	31.515064	24.431335	
HEX 77 : 41225655	42008590	41AB92E7	
DEC 77 : 10.146077	32.130432	21.446730	
HEX 78 : 417D894E	41E4301A	41C8A433	
DEC 78 : 15.846022	28.523487	25.080175	
HEX 79 : 415B062B	41FFDC08	419763D1	
DEC 79 : 13.689006	31.982437	18.923738	
HEX 80 : 41206741	41E46EBF	41A06DFA	
DEC 80 : 10.025208	28.554075	20.053699	
HEX 81 : 418649F0	41DCB066	41A4C5EF	
DEC 81 : 16.786102	27.586132	20.596647	
HEX 82 : 4166D94D	41CD7106	41BD7BC0	
DEC 82 : 14.428052	25.680187	23.685425	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
