Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 41B7CF1D	41F44F87	418E9BE8	
DEC 1 : 22.976130	30.538832	17.826126	
HEX 2 : 41ADD65C	4200FF85	41BC192F	
DEC 2 : 21.729668	32.249531	23.512297	
HEX 3 : 4198A160	41F23D59	41B15BE4	
DEC 3 : 19.078796	30.279955	22.169868	
HEX 4 : 41C87CB1	42062DAC	41B6BAAA	
DEC 4 : 25.060884	33.544601	22.841145	
HEX 5 : 418FC91D	41FA3D03	41A6B112	
DEC 5 : 17.973200	31.279791	20.836460	
HEX 6 : 418E7A6B	41E3292A	41948535	
DEC 6 : 17.809774	28.395100	18.565042	
HEX 7 : 41C5BD7A	41EC7238	418DC2A5	
DEC 7 : 24.717518	29.555771	17.720041	
HEX 8 : 41941D3E	41D7D9DC	419E55B7	
DEC 8 : 18.514278	26.981377	19.791853	
HEX 9 : 41975F83	41E7BBC1	41BD5C15	
DEC 9 : 18.921637	28.966677	23.669962	
HEX 10 : 41AECB11	41D7CDA9	419339A9	
DEC 10 : 21.849154	26.975420	18.403154	
HEX 11 : 41A772B5	41D795C4	41B7AF71	
DEC 11 : 20.931009	26.948128	22.960665	
HEX 12 : 41A0E356	41FFD9FF	41B2F2A2	
DEC 12 : 20.111004	31.981443	22.368473	
HEX 13 : 418EFD5B	4203AF19	419D951B	
DEC 13 : 17.873709	32.920994	19.697805	
HEX 14 : 41AE593B	42030837	418FA782	
DEC 14 : 21.793570	32.758022	17.956791	
HEX 15 : 41A21127	41FABB82	418958F4	
DEC 15 : 20.258375	31.341557	17.168434	
HEX 16 : 41A80C89	4206F93D	41B07DE2	
DEC 16 : 21.006121	33.743397	22.061466	
HEX 17 : 41AE3B53	41EB4CE4	41C0FA1B	
DEC 17 : 21.778967	29.412544	24.122122	
HEX 18 : 419DB929	41DDAD6C	418E5FF1	
DEC 18 : 19.715410	27.709679	17.796846	
HEX 19 : 41A7EE0B	42008C29	41A39433	
DEC 19 : 20.991232	32.136875	20.447363	
HEX 20 : 41B87750	41F6E29A	41A11FC2	
DEC 20 : 23.058258	30.860645	20.140507	
HEX 21 : 41BE570E	4200E574	41943A45	
DEC 21 : 23.792507	32.224075	18.528452	
HEX 22 : 4199C567	41E969EE	41A11FAB	
DEC 22 : 19.221388	29.176723	20.140463	
HEX 23 : 4192DBFD	41FAFE13	418E502C	
DEC 23 : 18.357416	31.374060	17.789146	
HEX 24 : 418BB534	41F21A09	41998797	
DEC 24 : 17.463478	30.262712	19.191206	
HEX 25 : 418F60C7	41CEBF4A	41AE3C9C	
DEC 25 : 17.922255	25.843403	21.779594	
HEX 26 : 418DD8EC	41F26D0B	41C4E797	
DEC 26 : 17.730919	30.303244	24.613081	
HEX 27 : 41BBE450	41CD5136	41905179	
DEC 27 : 23.486481	25.664654	18.039782	
HEX 28 : 41C35068	41DB7CE8	418FFFF0	
DEC 28 : 24.414261	27.435989	17.999969	
HEX 29 : 41B8EF1D	41D71A89	41C4FC42	
DEC 29 : 23.116755	26.887957	24.623173	
HEX 30 : 41AB1FE8	41CF117A	41A5F526	
DEC 30 : 21.390579	25.883533	20.744701	
HEX 31 : 419CE710	41D6E701	41ABABE1	
DEC 31 : 19.612823	26.862795	21.458925	
HEX 32 : 41BB66F4	41EE74AE	41AED00C	
DEC 32 : 23.425270	29.806973	21.851585	
HEX 33 : 41935695	41E36A54	41AE7D5B	
DEC 33 : 18.417276	28.426918	21.811209	
HEX 34 : 41B910BC	41D2D5C5	419F1177	
DEC 34 : 23.133171	26.354380	19.883528	
HEX 35 : 41A77914	42075ED3	419B3CC5	
DEC 35 : 20.934120	33.842602	19.404673	
HEX 36 : 41C839C9	41FEF3C8	41A07BC3	
DEC 36 : 25.028215	31.869034	20.060431	
HEX 37 : 41A0DD7B	41D082D6	41980C42	
DEC 37 : 20.108145	26.063885	19.005985	
HEX 38 : 419B1D7D	4204DBE9	41A7C0E0	
DEC 38 : 19.389399	33.214756	20.969177	
HEX 39 : 41C4DA9C	41D86EA0	41A85365	
DEC 39 : 24.606743	27.054016	21.040720	
HEX 40 : 41C23CDB	4207BEB3	41A85651	
DEC 40 : 24.279715	33.936230	21.042147	
HEX 41 : 41B9B6F0	41E684E6	41967E2C	
DEC 41 : 23.214325	28.814892	18.811607	
