Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : 41D59E61	41EC529C	41B4AED0	
DEC 1 : 26.702333	29.540337	22.585358	
HEX 2 : 42017BF6	41E66945	41A68535	
DEC 2 : 32.371056	28.801401	20.815042	
HEX 3 : 41F61F0D	41DBD08B	418A8F75	
DEC 3 : 30.765162	27.476828	17.320047	
HEX 4 : 41F0562A	41F0331F	41A0E55F	
DEC 4 : 30.042072	30.024961	20.111998	
HEX 5 : 41F07273	41D5106D	41B36C29	
DEC 5 : 30.055883	26.633020	22.427813	
HEX 6 : 41F12247	42024FD9	41AE73E5	
DEC 6 : 30.141737	32.577976	21.806589	
HEX 7 : 41E2739E	41F4F1B8	4197F473	
DEC 7 : 28.306454	30.618027	18.994360	
HEX 8 : 41DFFBE8	41FF629E	41C61BF6	
DEC 8 : 27.998001	31.923153	24.763653	
HEX 9 : 41D66EBC	41EDBE63	418D88EF	
DEC 9 : 26.804070	29.717962	17.691862	
HEX 10 : 4203BA11	41EED73C	41945F54	
DEC 10 : 32.931705	29.855095	18.546547	
HEX 11 : 4205CB65	41E0979F	419A5CBE	
DEC 11 : 33.448627	28.074034	19.295284	
HEX 12 : 41CF3C2A	41E09CD9	41BFA898	
DEC 12 : 25.904377	28.076586	23.957321	
HEX 13 : 41D4051F	41F4C2F3	41C62CE5	
DEC 13 : 26.502501	30.595190	24.771921	
HEX 14 : 41DE91A3	41E49D19	41993D10	
DEC 14 : 27.821112	28.576708	19.154816	
HEX 15 : 41E0E23E	41DDB52F	41B16FA3	
DEC 15 : 28.110470	27.713469	22.179510	
HEX 16 : 4204D3E4	4200484F	41994E5C	
DEC 16 : 33.206924	32.070614	19.163261	
HEX 17 : 41CE6A08	41CE27AE	4190F3BD	
DEC 17 : 25.801773	25.769375	18.119013	
HEX 18 : 41DF3444	41E55189	41BF68D3	
DEC 18 : 27.900520	28.664812	23.926184	
HEX 19 : 41EB3575	41DB175D	41C21C15	
DEC 19 : 29.401102	27.386408	24.263712	
HEX 20 : 41FB6B7D	41FB8DF1	41B6B2C7	
DEC 20 : 31.427485	31.444307	22.837294	
HEX 21 : 41E0D24D	41D7CF00	41A29042	
DEC 21 : 28.102686	26.976074	20.320438	
HEX 22 : 41D3C6DE	41E29AF9	41A71068	
DEC 22 : 26.472103	28.325670	20.883011	
HEX 23 : 41D90C4A	42001D7A	419E4B7F	
DEC 23 : 27.131001	32.028786	19.786863	
HEX 24 : 41F8D5B0	420143BD	41C58E8A	
DEC 24 : 31.104340	32.316151	24.694599	
HEX 25 : 41F853F1	41CE7804	41CAD338	
DEC 25 : 31.040987	25.808601	25.353134	
HEX 26 : 4202C609	41D46917	4191EE20	
DEC 26 : 32.693394	26.551313	18.241272	
HEX 27 : 4200D34D	41D3CACD	41B122DC	
DEC 27 : 32.206348	26.474024	22.142021	
HEX 28 : 41EDC33B	41E14ED1	41A65987	
DEC 28 : 29.720327	28.163485	20.793715	
HEX 29 : 41FCB384	41DBB73F	41BF7D77	
DEC 29 : 31.587654	27.464476	23.936262	
HEX 30 : 4204B0C3	41E3E3A6	41C5E7CE	
DEC 30 : 33.172619	28.486156	24.738186	
HEX 31 : 41F89F1E	42016190	419FF21B	
DEC 31 : 31.077694	32.345276	19.993216	
HEX 32 : 41ECA267	41EA20FE	419079C1	
DEC 32 : 29.579298	29.266109	18.059450	
HEX 33 : 41DF6CAC	41D121A8	41BCFCBD	
DEC 33 : 27.928062	26.141434	23.623407	
HEX 34 : 41DAD6E9	41F90623	41AC78D2	
DEC 34 : 27.354937	31.127996	21.558994	
HEX 35 : 41F6DF77	41E47C3A	41CB8977	
DEC 35 : 30.859114	28.560658	25.442122	
HEX 36 : 41D48108	41FF0179	41B9E502	
DEC 36 : 26.563004	31.875719	23.236820	
HEX 37 : 41D4686D	420434EE	41915A1C	
DEC 37 : 26.550989	33.051689	18.168999	
HEX 38 : 41E3A814	42072FEB	4196692A	
DEC 38 : 28.457069	33.796795	18.801350	
HEX 39 : 42068F6B	41FCD4BF	41A9EB94	
DEC 39 : 33.640057	31.603880	21.240028	
HEX 40 : 41DD8AB8	41D974E7	41CA8522	
DEC 40 : 27.692734	27.182081	25.315006	
HEX 41 : 41EA0BF6	4206A371	41C19ABA	
DEC 41 : 29.255840	33.659611	24.200550	
HEX 42 : 41DC42C0	41D5CD54	41935BF1	
DEC 42 : 27.532593	26.725258	18.419893	
HEX 43 : 41EF8401	41D19AF6	41A3D422	
DEC 43 : 29.939455	26.200665	20.478580	
HEX 44 : 41CEA28A	41E389EE	4197F035	
DEC 44 : 25.829365	28.442348	18.992289	
HEX 45 : 41EB8955	41EB7072	41B740E9	
DEC 45 : 29.442057	29.429905	22.906694	
HEX 46 : 4207043E	41D07F6B	41CBC323	
DEC 46 : 33.754143	26.062216	25.470282	
HEX 47 : 42072044	41D78F57	41BCF26A	
DEC 47 : 33.781509	26.944990	23.618366	
HEX 48 : 41FDDFD4	41D82EF6	41A143CC	
DEC 48 : 31.734291	27.022930	20.158104	
HEX 49 : 41FAB0C4	41E56E22	41968129	
DEC 49 : 31.336311	28.678776	18.813066	
HEX 50 : 41FD8682	4203B6F1	419172CD	
DEC 50 : 31.690678	32.928654	18.181055	
HEX 51 : 4204513D	4206FA73	41B17AB5	
DEC 51 : 33.079334	33.744579	22.184916	
HEX 52 : 41E818A1	41F1B1A8	41C939F9	
DEC 52 : 29.012026	30.211746	25.153307	
HEX 53 : 41D0070F	41D00448	41C13185	
DEC 53 : 26.003447	26.002090	24.149179	
HEX 54 : 41F69148	41D01ADF	41958B87	
DEC 54 : 30.820938	26.013121	18.693129	
HEX 55 : 42036C32	41EEF1D1	41B6539F	
DEC 55 : 32.855659	29.868074	22.790831	
HEX 56 : 4206F7DC	41DD9776	41AE217B	
DEC 56 : 33.742050	27.698956	21.766348	
HEX 57 : 41CCFCD2	41FA3D0A	41916647	
DEC 57 : 25.623447	31.279804	18.174940	
HEX 58 : 41EBC815	41DBC3C7	419778CF	
DEC 58 : 29.472696	27.470594	18.933989	
HEX 59 : 41F86231	41E364B7	41B2220C	
DEC 59 : 31.047945	28.424177	22.266624	
HEX 60 : 41EF0EC7	420458DF	418ABBD5	
DEC 60 : 29.882215	33.086788	17.341715	
HEX 61 : 41E33C6D	41DFA80F	4188DC22	
DEC 61 : 28.404505	27.957060	17.107487	
HEX 62 : 4202D0BC	41F35877	41C7A589	
DEC 62 : 32.703842	30.418196	24.955828	
HEX 63 : 41D1774C	41D4E6D9	419F228D	
DEC 63 : 26.183250	26.612719	19.891870	
HEX 64 : 41E8AB1F	420125BB	41A113B2	
DEC 64 : 29.083555	32.286846	20.134617	
HEX 65 : 41E14169	41EB3641	41A7910F	
DEC 65 : 28.156939	29.401491	20.945829	
HEX 66 : 42063F5A	41D18BE7	41A359D0	
DEC 66 : 33.561867	26.193312	20.418854	
HEX 67 : 41D3B793	41F139E6	419FDCCE	
DEC 67 : 26.464636	30.153271	19.982815	
HEX 68 : 4200C336	41F59301	41A19ED7	
DEC 68 : 32.190636	30.696779	20.202559	
HEX 69 : 41F95DD5	41EDF742	41BEE44E	
DEC 69 : 31.170816	29.745731	23.861477	
HEX 70 : 4200E326	4207E275	41C670BA	
DEC 70 : 32.221825	33.971149	24.805042	
HEX 71 : 41E15F12	420045EB	418C3F73	
DEC 71 : 28.171421	32.068279	17.530981	
HEX 72 : 41ECA57E	41FC710B	41BCC832	
DEC 72 : 29.580807	31.555197	23.597752	
HEX 73 : 41D2794E	41D64C53	41B2AECD	
DEC 73 : 26.309231	26.787268	22.335352	
HEX 74 : 41D1AF3B	42030B4C	41AB3C50	
DEC 74 : 26.210562	32.761032	21.404449	
HEX 75 : 4203D54D	4201AD2D	41BD6BFB	
DEC 75 : 32.958302	32.419117	23.677725	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
