Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 40CCFD05	3FE49071	41EA012C	
DEC 1 : 6.405886	1.785658	29.250572	
HEX 2 : 40434B77	40163301	420354BC	
DEC 2 : 3.051481	2.346863	32.832748	
HEX 3 : 40C5DB29	40A8FFE1	41F8B7A1	
DEC 3 : 6.183003	5.281235	31.089663	
HEX 4 : 41042757	40353E60	41D1FB7E	
DEC 4 : 8.259604	2.831932	26.247799	
HEX 5 : 4106BEEB	3FA6FD4C	41DC3B02	
DEC 5 : 8.421611	1.304605	27.528812	
HEX 6 : 40A48302	40416291	41E28811	
DEC 6 : 5.140992	3.021641	28.316439	
HEX 7 : 408DC0F6	408B3489	41F154A3	
DEC 7 : 4.429805	4.350163	30.166327	
HEX 8 : 4020E11E	403E15C2	41D47307	
DEC 8 : 2.513740	2.970078	26.556166	
HEX 9 : 3F76C8C5	3FDD96C8	41D2728E	
DEC 9 : 0.964001	1.731164	26.305935	
HEX 10 : 40EB3A64	3F9B502B	41CC0729	
DEC 10 : 7.350878	1.213384	25.503496	
HEX 11 : 40EC0C80	40298462	42066D4D	
DEC 11 : 7.376526	2.648705	33.606739	
HEX 12 : 40AC5FF6	40F2A66A	41D749B8	
DEC 12 : 5.386714	7.582814	26.910995	
HEX 13 : 408CB50F	3F8A3F4F	41E7A590	
DEC 13 : 4.397102	1.080057	28.955841	
HEX 14 : 3FA3F42C	3FE7F202	4200499A	
DEC 14 : 1.280889	1.812073	32.071877	
HEX 15 : 3FF67BDD	407F6BB5	41F41556	
DEC 15 : 1.925655	3.990949	30.510418	
HEX 16 : 3BC56D5D	41061A3F	41E8964D	
DEC 16 : 0.006025	8.381408	29.073389	
HEX 17 : 403DA401	408C8039	42070851	
DEC 17 : 2.963135	4.390652	33.758121	
HEX 18 : 40797BBB	3F249939	4205CB99	
DEC 18 : 3.898177	0.642963	33.448826	
HEX 19 : 3D2AA194	409F5DCC	41E102E2	
DEC 19 : 0.041658	4.980200	28.126408	
HEX 20 : 3BB71327	404B4203	4203276D	
DEC 20 : 0.005587	3.175904	32.788502	
HEX 21 : 40F115FF	3AAB92C0	42050EB8	
DEC 21 : 7.533935	0.001309	33.264374	
HEX 22 : 40CB18F0	40888041	41DA89EA	
DEC 22 : 6.346794	4.265656	27.317341	
HEX 23 : 41034C24	3F92B314	41EEBCF6	
DEC 23 : 8.206089	1.146090	29.842266	
HEX 24 : 3FFC7C4A	40D5B3DD	42049A63	
DEC 24 : 1.972543	6.678206	33.150768	
HEX 25 : 4101E9E4	40AEF091	41F501C0	
DEC 25 : 8.119602	5.466866	30.625854	
HEX 26 : 4045CF9A	409DD445	41FEAF9B	
DEC 26 : 3.090796	4.932162	31.835745	
HEX 27 : 403F6666	40B755FC	41F0089E	
DEC 27 : 2.990625	5.729246	30.004208	
HEX 28 : 3FD4C7E3	40771EC1	41E43517	
DEC 28 : 1.662350	3.861252	28.525923	
HEX 29 : 40233D75	3E891D15	420013E3	
DEC 29 : 2.550626	0.267800	32.019421	
HEX 30 : 40E633B5	3D0BB5E1	41E3BAE6	
DEC 30 : 7.193812	0.034109	28.466259	
HEX 31 : 40A8B960	3FD3A0E0	41F7420E	
DEC 31 : 5.272629	1.653347	30.907253	
HEX 32 : 3BCA0C28	40C3A56E	42050D3C	
DEC 32 : 0.006166	6.113944	33.262924	
HEX 33 : 3CD0A88F	3F3F18FC	41E5A7E7	
DEC 33 : 0.025471	0.746475	28.706984	
HEX 34 : 3CBED0F6	402E9008	41E7DD36	
DEC 34 : 0.023293	2.727541	28.983013	
HEX 35 : 40A44021	40F6966A	41EED39F	
DEC 35 : 5.132828	7.705861	29.853331	
HEX 36 : 40E77796	3B24F441	41FA4BF7	
DEC 36 : 7.233348	0.002517	31.287092	
HEX 37 : 3FF44A9D	40BACB8C	41E29B79	
DEC 37 : 1.908527	5.837347	28.325914	
HEX 38 : 40F10141	4048749F	41F1ACCA	
DEC 38 : 7.531403	3.132118	30.209370	
HEX 39 : 402AC47A	3CDD334C	41E7ED5A	
DEC 39 : 2.668242	0.027002	28.990894	
HEX 40 : 3FB9802C	40976D6E	41D5C9E8	
DEC 40 : 1.449224	4.732108	26.723587	
HEX 41 : 3BC3D252	405766A1	41D792B5	
DEC 41 : 0.005976	3.365639	26.946634	
HEX 42 : 40351294	3F8922C0	41D01C97	
DEC 42 : 2.829259	1.071373	26.013960	
HEX 43 : 408B2EBA	400BF502	41D571C7	
DEC 43 : 4.349454	2.186829	26.680555	
HEX 44 : 40512DE8	402EC500	41E7A4E5	
DEC 44 : 3.268427	2.730774	28.955515	
HEX 45 : 40A63526	405B8F04	41FEFBB6	
DEC 45 : 5.193988	3.430604	31.872906	
HEX 46 : 4037984A	40F17E80	41FC70FF	
DEC 46 : 2.868670	7.546692	31.555174	
HEX 47 : 4061B40F	40E5A285	41E5DA86	
DEC 47 : 3.526615	7.176089	28.731701	
HEX 48 : 407BF69D	40E3189E	4204BD74	
DEC 48 : 3.936927	7.096755	33.185013	
HEX 49 : 40B91BB9	3ECE23AF	41D8C44C	
DEC 49 : 5.784634	0.402616	27.095848	
HEX 50 : 3FD85BA7	40F05D8D	41EDAFB8	
DEC 50 : 1.690297	7.511420	29.710800	
HEX 51 : 3FD0B2F2	3E1707E1	420743A5	
DEC 51 : 1.630461	0.147491	33.816059	
HEX 52 : 3FA64285	409659A5	4202C55D	
DEC 52 : 1.298905	4.698443	32.692738	
HEX 53 : 3FB264B2	3BD90E24	41DB992D	
DEC 53 : 1.393698	0.006624	27.449793	
HEX 54 : 3FF6C059	3FF0EC42	41F16269	
DEC 54 : 1.927745	1.882210	30.173052	
HEX 55 : 4064F499	402DB420	41F782AD	
DEC 55 : 3.577429	2.714119	30.938807	
HEX 56 : 3BC918E3	40615F14	41F68C77	
DEC 56 : 0.006137	3.521428	30.818586	
HEX 57 : 4082DDBC	40C294BE	41D93F77	
DEC 57 : 4.089567	6.080657	27.155989	
HEX 58 : 40C79C76	408BB127	41EA7EBA	
DEC 58 : 6.237849	4.365375	29.311878	
HEX 59 : 406A6191	4086159E	41DD2EBF	
DEC 59 : 3.662205	4.190139	27.647825	
HEX 60 : 3BC98E54	40D311C7	41D2FD6F	
DEC 60 : 0.006151	6.595920	26.373747	
HEX 61 : 3FA8CE9A	00000000	41F3BBF2	
DEC 61 : 1.318805	0.000000	30.466770	
HEX 62 : 40DD2587	40E1C2C2	41F3FAF6	
DEC 62 : 6.910831	7.055024	30.497540	
HEX 63 : 3FC028ED	40C38F3D	41FA5549	
DEC 63 : 1.501249	6.111235	31.291643	
HEX 64 : 3F76AAF3	410305DE	4201420E	
DEC 64 : 0.963546	8.188932	32.314507	
HEX 65 : 408FC89D	40C9844D	41FB6519	
DEC 65 : 4.493239	6.297400	31.424364	
HEX 66 : 3EAA86D7	3D673B43	4200D836	
DEC 66 : 0.333060	0.056453	32.211143	
HEX 67 : 3F969596	40F278C2	41DD51FA	
DEC 67 : 1.176440	7.577241	27.665028	
HEX 68 : 3D84FFC9	40AE103F	41F09511	
DEC 68 : 0.064941	5.439483	30.072786	
HEX 69 : 40D3322B	40F2352F	41E401DD	
DEC 69 : 6.599874	7.568992	28.500910	
HEX 70 : 4096C062	40A0331E	4204061C	
DEC 70 : 4.710984	5.006240	33.005966	
HEX 71 : 3FD135E3	3FECD938	41E17DAB	
DEC 71 : 1.634457	1.850379	28.186361	
HEX 72 : 402FCAC5	40EC2212	41D38A02	
DEC 72 : 2.746751	7.379159	26.442387	
HEX 73 : 3BCB4289	40EAC7B9	41F63BC1	
DEC 73 : 0.006203	7.336880	30.779177	
HEX 74 : 40B9314F	3A220147	41EF3E8B	
DEC 74 : 5.787269	0.000618	29.905539	
HEX 75 : 40A60D65	4102214C	41FE72F2	
DEC 75 : 5.189135	8.133129	31.806126	
HEX 76 : 40F3808A	403FF851	41E1B2B6	
DEC 76 : 7.609441	2.999531	28.212261	
HEX 77 : 40CADCE6	4014E11E	41D69313	
DEC 77 : 6.339465	2.326240	26.821814	
HEX 78 : 407603A3	3AB630A9	41DAEBAC	
DEC 78 : 3.843972	0.001390	27.365074	
HEX 79 : 40E20FB8	3FF892DE	41FDFA98	
DEC 79 : 7.064419	1.941982	31.747360	
HEX 80 : 40E9304D	407A2364	4200252E	
DEC 80 : 7.287146	3.908410	32.036308	
HEX 81 : 407995B3	3B89D27C	41F488CA	
DEC 81 : 3.899762	0.004206	30.566792	
HEX 82 : 40F042A4	40B9C1FD	41E603DF	
DEC 82 : 7.508135	5.804930	28.751890	
HEX 83 : 40A6A6DF	3ABEF8CF	42005199	
