Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 4172CB1B	4080C36E	41DE4DCF	
DEC 1 : 15.174586	4.023856	27.787992	
HEX 2 : 4132B308	4083B41E	41E0388C	
DEC 2 : 11.168709	4.115737	28.027611	
HEX 3 : 41108DC5	4070A234	4206F010	
DEC 3 : 9.034612	3.759900	33.734436	
HEX 4 : 4165C4A0	40A811C3	4203A425	
DEC 4 : 14.360504	5.252168	32.910297	
HEX 5 : 4163A571	3ABDA943	4205B2E3	
DEC 5 : 14.227891	0.001447	33.424694	
HEX 6 : 4113BC35	408A1E36	41FE96FC	
DEC 6 : 9.233449	4.316188	31.823723	
HEX 7 : 410BAF49	40B6D549	420549CA	
DEC 7 : 8.730294	5.713536	33.322060	
HEX 8 : 414B51C8	40C7C001	4205C90A	
DEC 8 : 12.707466	6.242188	33.446327	
HEX 9 : 41769B8E	40EB13B8	41ED8AD2	
DEC 9 : 15.412977	7.346157	29.692783	
HEX 10 : 4149CF8B	400AEF0B	4202911B	
DEC 10 : 12.613170	2.170840	32.641705	
HEX 11 : 41371B96	3FD67696	41DD1F60	
DEC 11 : 11.444235	1.675494	27.640320	
HEX 12 : 411FABC0	3FE4594B	41D23C43	
DEC 12 : 9.979431	1.783975	26.279425	
HEX 13 : 410EE2F6	408CC38D	41E60DE9	
DEC 13 : 8.930410	4.398871	28.756792	
HEX 14 : 4113A121	3AC0F020	41F901F6	
DEC 14 : 9.226838	0.001472	31.125957	
HEX 15 : 417DA2E1	40B3B44E	41E65489	
DEC 15 : 15.852265	5.615760	28.791277	
HEX 16 : 417F8D24	40DB778C	41D9D466	
DEC 16 : 15.971958	6.858343	27.228710	
HEX 17 : 4167BB46	404A9AFA	42004FCD	
DEC 17 : 14.483221	3.165709	32.077930	
HEX 18 : 41752C7C	3FAE72C1	41FEF0AA	
DEC 18 : 15.323360	1.362877	31.867512	
HEX 19 : 416CA029	4106A271	41D67295	
DEC 19 : 14.789102	8.414659	26.805948	
HEX 20 : 41404110	40DC744B	41F985E3	
DEC 20 : 12.015884	6.889196	31.190374	
HEX 21 : 41681B66	400EBDBA	41E2F2F8	
DEC 21 : 14.506689	2.230330	28.368637	
HEX 22 : 41456678	3F8E956C	41F0C112	
DEC 22 : 12.337517	1.113935	30.094273	
HEX 23 : 41746C20	40F6FD63	41FDC1A8	
DEC 23 : 15.276398	7.718431	31.719559	
HEX 24 : 41840C64	40394274	41E61C34	
DEC 24 : 16.506050	2.894681	28.763771	
HEX 25 : 4184D057	40CDADF9	4202EB7D	
DEC 25 : 16.601728	6.427487	32.729969	
HEX 26 : 411395AD	401E4E12	41F85F3C	
DEC 26 : 9.224042	2.473515	31.046501	
HEX 27 : 4157A2B1	40718687	41CC3CCA	
DEC 27 : 13.477220	3.773836	25.529682	
HEX 28 : 4123D251	40BD286D	41E644F5	
DEC 28 : 10.238847	5.911185	28.783670	
HEX 29 : 41612261	40D07015	41DDF6F1	
DEC 29 : 14.070893	6.513682	27.745577	
HEX 30 : 41246329	407B52F8	41F1495D	
DEC 30 : 10.274209	3.926939	30.160822	
HEX 31 : 4187B0B4	3FE4CE79	41D94AE1	
DEC 31 : 16.961281	1.787551	27.161562	
HEX 32 : 4162D805	3FEF0AA2	41F2763F	
DEC 32 : 14.177739	1.867512	30.307737	
HEX 33 : 411625BD	3ABB4D49	41E59C63	
DEC 33 : 9.384213	0.001429	28.701361	
