Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 419E16F9	3AC282C7	41CF873C	
DEC 1 : 19.761217	0.001484	25.941032	
HEX 2 : 41C79ACA	40F4C888	41F6FAF3	
DEC 2 : 24.950581	7.649479	30.872534	
HEX 3 : 41B34FEC	400544F6	41E499AA	
DEC 3 : 22.414024	2.082334	28.575031	
HEX 4 : 41B97D07	4087C3D9	41EC9827	
DEC 4 : 23.186049	4.242657	29.574293	
HEX 5 : 41A02030	41028FEC	42054E0E	
DEC 5 : 20.015717	8.160137	33.326225	
HEX 6 : 419FC728	4102CDAE	41D4EB2E	
DEC 6 : 19.972244	8.175215	26.614834	
HEX 7 : 419C1F8C	3ABF1A5D	41DF682A	
DEC 7 : 19.515404	0.001458	27.925861	
HEX 8 : 419E2EAB	40A7995F	41FDB2EC	
DEC 8 : 19.772787	5.237472	31.712364	
HEX 9 : 41AB840E	40DF3B25	41DA0CA5	
DEC 9 : 21.439480	6.975970	27.256174	
HEX 10 : 419D8888	40728A76	41F2ADE7	
DEC 10 : 19.691666	3.789701	30.334913	
HEX 11 : 41C9B8F8	3C8F0E91	42019376	
DEC 11 : 25.215317	0.017463	32.394005	
HEX 12 : 41B2085E	40CE2390	41E805F8	
DEC 12 : 22.254086	6.441841	29.002914	
HEX 13 : 419D5356	407E3598	4205BBE8	
DEC 13 : 19.665691	3.972021	33.433502	
HEX 14 : 41997F34	40EFCB9D	41FA741B	
DEC 14 : 19.187111	7.493605	31.306692	
HEX 15 : 41C3779D	4100BAFD	42030E4E	
DEC 15 : 24.433405	8.045651	32.763969	
HEX 16 : 418A152B	3AC0AD04	41E01536	
DEC 16 : 17.260336	0.001470	28.010357	
HEX 17 : 41B383D6	4100A795	42027059	
DEC 17 : 22.439373	8.040914	32.609715	
HEX 18 : 41A7D36F	406A44A2	41FFA7E7	
DEC 18 : 20.978239	3.660439	31.956984	
HEX 19 : 418989B7	40F168E2	41F961B6	
DEC 19 : 17.192244	7.544053	31.172710	
HEX 20 : 4199F074	4002D40F	42070686	
DEC 20 : 19.242409	2.044193	33.756371	
HEX 21 : 419C41BE	40CA50FC	41D9D241	
DEC 21 : 19.532101	6.322386	27.227663	
HEX 22 : 41C41D08	3F93479D	41E94FE4	
DEC 22 : 24.514175	1.150623	29.164009	
HEX 23 : 41B5CE05	41051156	41EC1F1F	
DEC 23 : 22.725595	8.316732	29.515196	
HEX 24 : 41C04C1B	40225087	4202DB9D	
DEC 24 : 24.037161	2.536165	32.714466	
HEX 25 : 41BD96D7	408D197E	41D1ECFF	
DEC 25 : 23.698652	4.409362	26.240721	
HEX 26 : 41AE5851	3F9FF6C2	41F52A3C	
DEC 26 : 21.793123	1.249718	30.645622	
HEX 27 : 418F0034	40B54DFB	41F9FC8E	
DEC 27 : 17.875099	5.665769	31.248318	
HEX 28 : 41AA9167	3ED44AA5	41D95EA9	
DEC 28 : 21.320997	0.414632	27.171221	
