Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
HEX 1 : 3FFC1FE2	41248C76	4203FCD8	
DEC 1 : 1.969723	10.284292	32.996918	
HEX 2 : 3CC2E558	418319B0	41D49776	
DEC 2 : 0.023791	16.387543	26.573956	
HEX 3 : 3BCAC4B5	416E9202	41EC1E73	
DEC 3 : 0.006188	14.910646	29.514868	
HEX 4 : 40BB152D	413C22AC	41F8DFEE	
DEC 4 : 5.846335	11.758465	31.109341	
HEX 5 : 40880687	4148169C	41F14D77	
DEC 5 : 4.250797	12.505520	30.162825	
HEX 6 : 40B5D343	41185280	41D417E3	
DEC 6 : 5.682039	9.520142	26.511663	
HEX 7 : 3F779192	4148E00A	41D03B15	
DEC 7 : 0.967065	12.554697	26.028849	
HEX 8 : 3F0BBFA5	41564399	41F59657	
DEC 8 : 0.545893	13.391503	30.698408	
HEX 9 : 4103A89C	416E6E1F	41DB16BB	
DEC 9 : 8.228664	14.901885	27.386099	
HEX 10 : 40BD7195	4175B930	41F5D0F1	
DEC 10 : 5.920115	15.357712	30.727022	
HEX 11 : 3FF7486F	412A0431	41D7981B	
DEC 11 : 1.931898	10.626023	26.949270	
HEX 12 : 3FEC615B	417ED367	4204477C	
DEC 12 : 1.846721	15.926612	33.069809	
HEX 13 : 40FD7D6D	4145C29E	41DDE131	
DEC 13 : 7.921561	12.360014	27.734957	
HEX 14 : 40EB73DE	416D36E0	41EA5FAC	
DEC 14 : 7.357894	14.825897	29.296715	
HEX 15 : 41050412	4130FBB5	42032ED7	
DEC 15 : 8.313494	11.061452	32.795742	
HEX 16 : 40748959	41100D41	41CFE332	
DEC 16 : 3.820883	9.003236	25.985935	
HEX 17 : 40921507	4172F060	41EA2184	
DEC 17 : 4.565067	15.183685	29.266365	
HEX 18 : 4104B4D6	41476B2C	41ED93D7	
DEC 18 : 8.294149	12.463665	29.697187	
HEX 19 : 40E8D3FE	410FA555	41F0B035	
DEC 19 : 7.275878	8.977864	30.086039	
HEX 20 : 40466CD7	41750B8C	41DC3557	
DEC 20 : 3.100393	15.315319	27.526045	
HEX 21 : 40D5FBE1	41813BAC	4202A68B	
DEC 21 : 6.686997	16.154137	32.662640	
HEX 22 : 40A4E985	414A3FE4	41D14FC1	
DEC 22 : 5.153506	12.640598	26.163942	
HEX 23 : 40295A68	410E2CE6	41E02C1E	
DEC 23 : 2.646143	8.885962	28.021542	
HEX 24 : 404ECF85	4167E5E3	4204F5D0	
DEC 24 : 3.231416	14.493625	33.240051	
HEX 25 : 405F1FF3	410D7C3D	41EEB012	
DEC 25 : 3.486325	8.842832	29.835972	
HEX 26 : 40D44CD9	4118E53F	41E234E8	
DEC 26 : 6.634381	9.555968	28.275833	
HEX 27 : 40965C9E	417BDD99	41D03F7A	
DEC 27 : 4.698806	15.741601	26.030994	
HEX 28 : 3BC9B845	4146005B	42015611	
DEC 28 : 0.006156	12.375087	32.334049	
HEX 29 : 409039E5	4185B213	41DFD20A	
DEC 29 : 4.507067	16.711950	27.977558	
HEX 30 : 3BCAFF6D	418791A4	41F457C0	
DEC 30 : 0.006195	16.946114	30.542847	
HEX 31 : 40BECD8A	411FCBBF	42001F3C	
DEC 31 : 5.962590	9.987243	32.030502	
HEX 32 : 406F31C6	412F72CD	4206A1F6	
DEC 32 : 3.737413	10.965528	33.658165	
HEX 33 : 40093DE2	4186818B	41FA6A9F	
DEC 33 : 2.144402	16.813253	31.302061	
HEX 34 : 3FE55F4E	41869C40	41DCC4AC	
DEC 34 : 1.791971	16.826294	27.596031	
HEX 35 : 40723815	41171DAB	420170C7	
DEC 35 : 3.784673	9.444743	32.360134	
HEX 36 : 40C25647	4155FC0E	41E4A1A2	
DEC 36 : 6.073032	13.374037	28.578922	
HEX 37 : 40D79008	413473B5	41EA4C82	
DEC 37 : 6.736332	11.278249	29.287357	
HEX 38 : 401AA46E	4162049E	41F90E6A	
DEC 38 : 2.416286	14.126127	31.132038	
HEX 39 : 4082D2C1	417C2743	41FD0FF6	
DEC 39 : 4.088227	15.759585	31.632793	
HEX 40 : 4028B756	4152EB81	41D7796F	
DEC 40 : 2.636190	13.182496	26.934294	
HEX 41 : 40FD1229	4121C6DC	41D5D890	
DEC 41 : 7.908467	10.111050	26.730743	
HEX 42 : 3F9C5671	415EBB2C	4202E3F6	
DEC 42 : 1.221388	13.920696	32.722618	
HEX 43 : 3BC9F2FE	4174A7A9	42061AC0	
DEC 43 : 0.006163	15.290933	33.526123	
HEX 44 : 40DBA67C	41470523	4202FEB8	
DEC 44 : 6.864073	12.438754	32.748749	
HEX 45 : 3FC5FF8B	41425CC6	42065AF7	
DEC 45 : 1.546861	12.147650	33.588833	
HEX 46 : 4066DE4C	4186CD00	42052665	
DEC 46 : 3.607318	16.850098	33.287495	
HEX 47 : 3E39C8C9	411543C7	41F69B65	
DEC 47 : 0.181430	9.329047	30.825876	
HEX 48 : 3F91A472	416F1B8D	41DB62D8	
DEC 48 : 1.137831	14.944226	27.423264	
HEX 49 : 4038337B	4146CFAE	42007D6C	
DEC 49 : 2.878142	12.425703	32.122482	
HEX 50 : 40E703C5	4118DFB0	420619A4	
DEC 50 : 7.219210	9.554611	33.525040	
HEX 51 : 3EDAC53B	413DB83F	41E768F7	
DEC 51 : 0.427286	11.857482	28.926252	
HEX 52 : 3FF91D50	41773295	41ED8EFA	
DEC 52 : 1.946207	15.449849	29.694813	
HEX 53 : 3FBA9271	410CDC86	41CF18B2	
DEC 53 : 1.457594	8.803839	25.887058	
HEX 54 : 405DC090	412DC274	41F7DED7	
DEC 54 : 3.464878	10.859974	30.983809	
HEX 55 : 3C1096BC	413298A8	41D8C93A	
DEC 55 : 0.008825	11.162270	27.098255	
HEX 56 : 3FBAD480	415A9AB2	41E78565	
DEC 56 : 1.459610	13.662767	28.940134	
HEX 57 : 3BCAD57C	41125CBE	41D9CEF3	
DEC 57 : 0.006190	9.147642	27.226049	
HEX 58 : 40F77783	41819B16	41F61213	
DEC 58 : 7.733339	16.200726	30.758825	
HEX 59 : 40F9AA99	412BC133	41F71ED9	
DEC 59 : 7.802075	10.734668	30.890062	
HEX 60 : 40DFE506	4159CEAD	41D3D719	
DEC 60 : 6.996707	13.612958	26.480028	
HEX 61 : 4107E448	4128E3C3	41E549C4	
DEC 61 : 8.493233	10.555606	28.661018	
HEX 62 : 4097FC09	410E33F0	41E249D4	
DEC 62 : 4.749516	8.887680	28.286049	
HEX 63 : 409CE113	41481081	42048856	
DEC 63 : 4.902475	12.504029	33.133141	
HEX 64 : 407820C0	41270AC5	41DB01B7	
DEC 64 : 3.876999	10.440129	27.375837	
HEX 65 : 409864E2	41638434	41DA9E01	
DEC 65 : 4.762315	14.219776	27.327150	
HEX 66 : 409ED543	413B6ABD	41E3C316	
DEC 66 : 4.963533	11.713559	28.470257	
HEX 67 : 40C26350	41642157	4201F49D	
DEC 67 : 6.074623	14.258140	32.488880	
HEX 68 : 40262770	41081CD5	4206AAF4	
DEC 68 : 2.596157	8.507039	33.666946	
HEX 69 : 3F8E2EA9	411FF2AB	41E5498C	
DEC 69 : 1.110799	9.996745	28.660912	
HEX 70 : 40090B07	411612AC	41F9C532	
DEC 70 : 2.141298	9.379559	31.221287	
HEX 71 : 40F44652	4186F55C	41DAD41D	
DEC 71 : 7.633584	16.869804	27.353571	
HEX 72 : 405E120A	41862507	41EE70B7	
DEC 72 : 3.469851	16.768080	29.805037	
HEX 73 : 405B1698	413AE302	41CEFDE2	
DEC 73 : 3.423254	11.680422	25.873966	
HEX 74 : 4002F8CB	4169E936	41CD5F14	
DEC 74 : 2.046435	14.619436	25.671425	
HEX 75 : 40C8242D	4177A87A	41DE17FB	
DEC 75 : 6.254416	15.478632	27.761709	
HEX 76 : 4038170D	412D8F25	41E879F5	
DEC 76 : 2.876407	10.847447	29.059549	
HEX 77 : 3F4A514C	41747040	41FA8AE3	
DEC 77 : 0.790303	15.277405	31.317816	
HEX 78 : 405C8859	4159F672	41E5AC5C	
DEC 78 : 3.445822	13.622667	28.709160	
HEX 79 : 3BCA686E	4121DE02	42029F82	
DEC 79 : 0.006177	10.116701	32.655769	
HEX 80 : 408989C4	415C5B61	41FDAD7F	
DEC 80 : 4.298067	13.772309	31.709715	
HEX 81 : 40107C85	4145A19F	41F1C7F0	
DEC 81 : 2.257600	12.351958	30.222626	
HEX 82 : 3BC3C9EF	4154E6D8	41DCE888	
DEC 82 : 0.005975	13.306358	27.613541	
HEX 83 : 3F305AF7	41343799	41F68B58	
DEC 83 : 0.688888	11.263574	30.818039	
HEX 84 : 40E01EBA	4178A947	41CF4494	
DEC 84 : 7.003751	15.541327	25.908485	
HEX 85 : 40FE1DD0	4140C8D7	41CD548B	
DEC 85 : 7.941139	12.049033	25.666281	
HEX 86 : 3D2DD378	4167E534	41CE12AE	
DEC 86 : 0.042438	14.493458	25.759121	
HEX 87 : 40DAF3C9	41577EA8	41F68E11	
DEC 87 : 6.842259	13.468422	30.819368	
HEX 88 : 40A5FE11	411E7A87	41F0A4F2	
DEC 88 : 5.187264	9.904914	30.080540	
HEX 89 : 40CC7EAA	41872A0E	41E95501	
DEC 89 : 6.390462	16.895535	29.166506	
HEX 90 : 3CEF47B6	41855A05	41E47F8D	
DEC 90 : 0.029209	16.668955	28.562281	
HEX 91 : 4100BBE3	4168E94A	42015222	
