Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 4161D614	413996CE	41F7DE46	
DEC 1 : 14.114765	11.599318	30.983532	
HEX 2 : 4111D199	4167ACDD	41F3BB41	
DEC 2 : 9.113671	14.479703	30.466433	
HEX 3 : 41089B68	41091765	41E23301	
DEC 3 : 8.537941	8.568212	28.274904	
HEX 4 : 412F0115	4183198F	41FB1D25	
DEC 4 : 10.937764	16.387480	31.389231	
HEX 5 : 413756D2	41136EA0	41E760DE	
DEC 5 : 11.458696	9.214508	28.922298	
HEX 6 : 414EBF4F	41836D00	41CE8307	
DEC 6 : 12.921706	16.428223	25.813978	
HEX 7 : 4170AE72	4114CB36	41EBCFF5	
DEC 7 : 15.042589	9.299612	29.476542	
HEX 8 : 41561DE9	41082E10	41E1CB6B	
DEC 8 : 13.382302	8.511246	28.224325	
HEX 9 : 412DEFDC	41486391	41CDF172	
DEC 9 : 10.871059	12.524308	25.742893	
HEX 10 : 41851784	410B96E1	41DC0E09	
DEC 10 : 16.636482	8.724336	27.506853	
HEX 11 : 4180830D	415F07A7	41D832CC	
DEC 11 : 16.063990	13.939368	27.024803	
HEX 12 : 4144E140	416FE83A	4202B2AE	
DEC 12 : 12.304993	14.994196	32.674492	
HEX 13 : 41808B23	4134F004	41FA67D4	
DEC 13 : 16.067938	11.308598	31.300697	
HEX 14 : 4134E4B3	4154A533	42061C3D	
DEC 14 : 11.305835	13.290332	33.527576	
HEX 15 : 411E4C32	411C3972	41DB5A95	
DEC 15 : 9.893602	9.764025	27.419230	
HEX 16 : 417EDF54	415B12A6	4203EF85	
DEC 16 : 15.929523	13.692053	32.983906	
HEX 17 : 410B7ED7	41126538	41FD8F9C	
DEC 17 : 8.718467	9.149712	31.695122	
HEX 18 : 417DB5CC	417D5FA1	41E48897	
DEC 18 : 15.856884	15.835847	28.566694	
HEX 19 : 415D0052	4167BAC6	41F9C588	
DEC 19 : 13.812578	14.483099	31.221451	
HEX 20 : 413680CE	4134057C	4203BE70	
DEC 20 : 11.406446	11.251339	32.935974	
HEX 21 : 417F00D3	4127CF30	41E11EC0	
DEC 21 : 15.937701	10.488083	28.140015	
HEX 22 : 411E35E5	411FB73A	4206EAB1	
DEC 22 : 9.888158	9.982233	33.729191	
HEX 23 : 417B58F0	41554B76	41F7A604	
DEC 23 : 15.709213	13.330923	30.956062	
HEX 24 : 4140B7FA	417BC4BD	41DD25AF	
DEC 24 : 12.044916	15.735532	27.643400	
HEX 25 : 4162AFE4	41852921	41EEDC15	
DEC 25 : 14.167942	16.645082	29.857462	
HEX 26 : 413ABF02	4113DA4B	4203BCB7	
DEC 26 : 11.671633	9.240794	32.934292	
HEX 27 : 41214BA6	41367937	41ED56E7	
DEC 27 : 10.080969	11.404593	29.667433	
HEX 28 : 4152B461	41836639	41FC9BD9	
DEC 28 : 13.169038	16.424913	31.576097	
HEX 29 : 416F6AF2	417A7309	42020AD1	
DEC 29 : 14.963610	15.653085	32.510563	
HEX 30 : 413C9AD8	412D8AF2	41F79522	
DEC 30 : 11.787804	10.846422	30.947819	
HEX 31 : 415AD170	4186389D	42064AA2	
DEC 31 : 13.676132	16.777643	33.572884	
HEX 32 : 411B4B94	41164FFF	41EFC92A	
DEC 32 : 9.705952	9.394530	29.973225	
HEX 33 : 41644CC4	416B21AB	41D49393	
DEC 33 : 14.268742	14.695720	26.572058	
HEX 34 : 415EB673	415F6A82	4204FFBA	
DEC 34 : 13.919543	13.963503	33.249733	
