Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 419BE10A	417BBC2E	41E895C1	
DEC 1 : 19.484882	15.733442	29.073122	
HEX 2 : 41B0EDCE	417A974E	41DA0FB8	
DEC 2 : 22.116116	15.661940	27.257675	
HEX 3 : 41BA5244	411C9AA6	41F5F9BF	
DEC 3 : 23.290169	9.787756	30.746946	
HEX 4 : 41CB843F	41741BDA	41CEAD59	
DEC 4 : 25.439573	15.256800	25.834642	
HEX 5 : 41AB770D	4174845B	41E8CA29	
DEC 5 : 21.433130	15.282313	29.098711	
HEX 6 : 41CA7089	4110A27F	41DD5A45	
DEC 6 : 25.304949	9.039672	27.669077	
HEX 7 : 418B5C00	411440E6	41CDFC3F	
DEC 7 : 17.419922	9.265844	25.748167	
HEX 8 : 41CA55ED	41840A66	41EF03C0	
DEC 8 : 25.291956	16.505077	29.876831	
HEX 9 : 418DBE99	414FE807	41DF5D09	
DEC 9 : 17.718065	12.994147	27.920427	
HEX 10 : 41903069	412DDD90	41FB55F8	
DEC 10 : 18.023638	10.866592	31.416977	
HEX 11 : 41A5DACD	411B2A01	41CC826C	
DEC 11 : 20.731836	9.697755	25.563683	
HEX 12 : 41BB895A	41728629	41CEC85F	
DEC 12 : 23.442066	15.157754	25.847837	
HEX 13 : 41B736FB	4173F46A	4202202C	
DEC 13 : 22.901846	15.247171	32.531418	
HEX 14 : 418D599F	41253274	42053CA1	
DEC 14 : 17.668760	10.324818	33.309208	
HEX 15 : 41B6F74B	414A5C5C	41EF63DB	
DEC 15 : 22.870749	12.647549	29.923758	
HEX 16 : 41963310	41146650	41DED447	
DEC 16 : 18.774933	9.274979	27.853651	
HEX 17 : 419ABE18	414C5537	41FA27BD	
DEC 17 : 19.342819	12.770804	31.269403	
HEX 18 : 41C97480	41181838	41F14C1C	
DEC 18 : 25.181885	9.505913	30.162163	
HEX 19 : 419895D3	417C3838	4201C92B	
DEC 19 : 19.073156	15.763725	32.446453	
HEX 20 : 41BDDC3D	417F8473	41E5B2BD	
DEC 20 : 23.732538	15.969836	28.712275	
HEX 21 : 41B7F54A	41529683	41D4FAC7	
DEC 21 : 22.994770	13.161746	26.622450	
HEX 22 : 41AF1AA7	412E8063	41EEE5E2	
DEC 22 : 21.888014	10.906344	29.862247	
HEX 23 : 41CBD6F9	41808DA9	41DDF4B3	
DEC 23 : 25.479967	16.069170	27.744482	
HEX 24 : 41AEEA8F	4186C4CE	42067E02	
DEC 24 : 21.864531	16.846096	33.623055	
HEX 25 : 4198153E	412965E6	41D07865	
DEC 25 : 19.010372	10.587378	26.058786	
HEX 26 : 419D7D62	413CA664	41DC13A5	
DEC 26 : 19.686222	11.790623	27.509592	
HEX 27 : 41BA7744	410EE331	41DD9FDD	
DEC 27 : 23.308235	8.930467	27.703058	
HEX 28 : 418C46CB	416FC44F	41DF1850	
DEC 28 : 17.534567	14.985427	27.886871	
HEX 29 : 41BBFF16	416EF87E	41F3A247	
DEC 29 : 23.499554	14.935667	30.454237	
