Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 41F064A6	41420B73	41E3FE86	
DEC 1 : 30.049145	12.127795	28.499279	
HEX 2 : 41CE0D0C	414DF1BE	41F8C3EE	
DEC 2 : 25.756371	12.871519	31.095669	
HEX 3 : 41CD4FC3	4130E70E	41DA5255	
DEC 3 : 25.663946	11.056410	27.290201	
HEX 4 : 41F4F133	4181888F	42023036	
DEC 4 : 30.617773	16.191679	32.547081	
HEX 5 : 4207299B	417D8173	41E2B213	
DEC 5 : 33.790630	15.844104	28.336950	
HEX 6 : 41DC7408	4142337D	420009A3	
DEC 6 : 27.556656	12.137570	32.009411	
HEX 7 : 41F6D2FD	41093979	41CD0346	
DEC 7 : 30.853022	8.576531	25.626598	
HEX 8 : 41F81661	412B8FED	4201CE46	
DEC 8 : 31.010927	10.722638	32.451439	
HEX 9 : 4203BFE7	413849A5	41DB5B43	
DEC 9 : 32.937405	11.517980	27.419561	
HEX 10 : 41E93364	413BB887	41D16467	
DEC 10 : 29.150093	11.732551	26.174025	
HEX 11 : 41DAF32C	41631B3A	41F7CC8E	
DEC 11 : 27.368736	14.194147	30.974880	
HEX 12 : 41D80DC3	4181413B	41F6C397	
DEC 12 : 27.006720	16.156851	30.845503	
HEX 13 : 41ECA331	4142619F	4203E418	
DEC 13 : 29.579683	12.148833	32.972748	
HEX 14 : 4203EBCE	415B1DDA	41F4AF68	
DEC 14 : 32.980278	13.694788	30.585648	
HEX 15 : 41FEF260	416E2CDF	4206869F	
DEC 15 : 31.868347	14.885955	33.631466	
HEX 16 : 41FFEC16	41751E26	41F9D55D	
DEC 16 : 31.990276	15.319860	31.229181	
HEX 17 : 41D167C4	411D35F7	41CE6487	
DEC 17 : 26.175667	9.825675	25.799086	
HEX 18 : 41DC1ECC	4132BBFD	41F124EE	
DEC 18 : 27.515038	11.170896	30.143032	
HEX 19 : 42005384	410E4E2B	41FEB858	
DEC 19 : 32.081558	8.894084	31.840012	
HEX 20 : 41E0269C	4174C7D0	41DF18A4	
DEC 20 : 28.018852	15.298782	27.887032	
HEX 21 : 41E5F10E	4157810D	41E99E7A	
DEC 21 : 28.742702	13.469007	29.202381	
HEX 22 : 41E4F14B	4155C919	41D9A3D2	
DEC 22 : 28.617819	13.361596	27.204990	
HEX 23 : 41FE2B92	414C7A27	41EA3CEB	
DEC 23 : 31.771275	12.779822	29.279745	
HEX 24 : 41EB36CD	4111CA77	41F456F7	
DEC 24 : 29.401758	9.111930	30.542463	
HEX 25 : 41E6AA1C	417A7E22	41FE90CA	
DEC 25 : 28.833061	15.655794	31.820698	
HEX 26 : 41F91E80	41219E8C	41F46CC6	
DEC 26 : 31.139893	10.101208	30.553112	
HEX 27 : 41D15439	410BB3A4	420026A1	
DEC 27 : 26.166124	8.731358	32.037724	
HEX 28 : 42001DF4	41204ADC	41E61BF7	
DEC 28 : 32.029251	10.018276	28.763655	
HEX 29 : 41F0A939	410A38B1	42017374	
DEC 29 : 30.082628	8.638841	32.362747	
HEX 30 : 42002BBF	4172E96D	41D7C42D	
DEC 30 : 32.042721	15.181989	26.970789	
HEX 31 : 41F73885	414604F8	41F8489B	
DEC 31 : 30.902597	12.376213	31.035452	
HEX 32 : 41D95BC8	4142C60E	41D3F511	
DEC 32 : 27.169815	12.173353	26.494661	
HEX 33 : 41F86007	413BF8C4	41D676C7	
DEC 33 : 31.046888	11.748234	26.807997	
HEX 34 : 41E7289E	411CD5FD	41E5E192	
DEC 34 : 28.894833	9.802243	28.735142	
HEX 35 : 41E3B17F	4160FA59	4203E079	
DEC 35 : 28.461668	14.061120	32.969212	
HEX 36 : 41F537E4	415775B0	41CEE79E	
DEC 36 : 30.652290	13.466232	25.863094	
HEX 37 : 41F44906	41632145	4200BD11	
DEC 37 : 30.535656	14.195622	32.184635	
HEX 38 : 41E64A0C	4175CFB7	41EEBDFE	
DEC 38 : 28.786156	15.363212	29.842770	
HEX 39 : 41E10E44	413A9259	41E15F7F	
DEC 39 : 28.131966	11.660729	28.171629	
HEX 40 : 41ECF484	416FEE88	41D511B3	
DEC 40 : 29.619392	14.995735	26.633642	
HEX 41 : 41F612F0	415FC8C6	41DF7453	
DEC 41 : 30.759247	13.986517	27.931799	
HEX 42 : 41F335E4	417CC854	41E59C3E	
DEC 42 : 30.401314	15.798908	28.701290	
HEX 43 : 41D6B050	414E51D9	41EB1F68	
DEC 43 : 26.836090	12.894982	29.390335	
HEX 44 : 41E4C4FE	4127118A	41FE674A	
DEC 44 : 28.596188	10.441782	31.800434	
HEX 45 : 42032F8D	4115132B	41D87065	
DEC 45 : 32.796436	9.317180	27.054880	
HEX 46 : 41D2CD0A	416D4DB3	41EA2E72	
DEC 46 : 26.350117	14.831470	29.272678	
HEX 47 : 42064B38	413E99EF	41EA3194	
DEC 47 : 33.573456	11.912581	29.274208	
HEX 48 : 41D59569	415DB1D6	41DBC0C0	
DEC 48 : 26.697954	13.855917	27.469116	
HEX 49 : 41E19166	41220854	41D71DD7	
DEC 49 : 28.195995	10.127033	26.889570	
HEX 50 : 41E0BEB4	41085873	42021F11	
DEC 50 : 28.093117	8.521594	32.530338	
HEX 51 : 42066E06	417BDDA3	4201B0D4	
DEC 51 : 33.607445	15.741611	32.422684	
HEX 52 : 41D88EE3	41190561	4207960B	
DEC 52 : 27.069769	9.563813	33.896526	
HEX 53 : 4204F43F	4157527D	41E064CA	
DEC 53 : 33.238522	13.457639	28.049213	
HEX 54 : 420318AB	41401383	41FD14A4	
DEC 54 : 32.774090	12.004764	31.635078	
HEX 55 : 41DB1EB0	41136441	41F43611	
DEC 55 : 27.389984	9.211976	30.526400	
HEX 56 : 41F3E3B8	4183F4AE	41F4989D	
DEC 56 : 30.486191	16.494473	30.574518	
HEX 57 : 42006D61	416EC70C	41EA2BF3	
DEC 57 : 32.106815	14.923595	29.271460	
HEX 58 : 4201F721	41870618	41EB9D56	
DEC 58 : 32.491337	16.877975	29.451824	
HEX 59 : 41F317B3	41630660	41F0B5C3	
DEC 59 : 30.386572	14.189056	30.088751	
HEX 60 : 4205FFED	4185BA7C	41D47C3F	
DEC 60 : 33.499928	16.716057	26.560667	
HEX 61 : 420477EF	412658E7	41F3F8BB	
DEC 61 : 33.117123	10.396705	30.496450	
HEX 62 : 41CCDA98	41351635	41EB707F	
DEC 62 : 25.606735	11.317922	29.429930	
HEX 63 : 41F65239	4182B2BA	41CDC851	
DEC 63 : 30.790148	16.337269	25.722811	
HEX 64 : 41D51212	413C4728	4206FA9B	
DEC 64 : 26.633823	11.767372	33.744732	
HEX 65 : 42074E9C	4109BB18	4204ED3E	
DEC 65 : 33.826767	8.608177	33.231682	
HEX 66 : 42026F01	41455D03	41CCFE08	
DEC 66 : 32.608402	12.335208	25.624039	
HEX 67 : 41FBFAD4	414ED602	420594FC	
DEC 67 : 31.497475	12.927248	33.395493	
HEX 68 : 41D2F1FE	415CB824	42030B28	
DEC 68 : 26.368160	13.794956	32.760895	
HEX 69 : 41E88245	41526900	41F95E62	
DEC 69 : 29.063608	13.150635	31.171085	
HEX 70 : 41EC1CC3	413357D3	41F18BAC	
DEC 70 : 29.514044	11.208941	30.193199	
HEX 71 : 4207DE4D	417E0468	41F2DA06	
DEC 71 : 33.967091	15.876076	30.356457	
HEX 72 : 41F55CD2	411D1EC3	41D97574	
DEC 72 : 30.670322	9.820010	27.182350	
HEX 73 : 41E99F88	4120FAB9	4206ABD1	
DEC 73 : 29.202896	10.061212	33.667789	
HEX 74 : 4205E917	412E74B2	420498AA	
DEC 74 : 33.477627	10.903490	33.149086	
HEX 75 : 41D115BA	412A8147	41FBF967	
DEC 75 : 26.135609	10.656562	31.496778	
HEX 76 : 41DDF4B1	418548CD	41D392BD	
DEC 76 : 27.744478	16.660547	26.446650	
HEX 77 : 41D9871C	4179B56F	4203D872	
DEC 77 : 27.190971	15.606795	32.961372	
HEX 78 : 42050B78	415C1CD6	4202FB12	
DEC 78 : 33.261200	13.757040	32.745186	
HEX 79 : 41D756B3	4121026A	41E4B59E	
DEC 79 : 26.917334	10.063089	28.588680	
HEX 80 : 41ECCD33	418737CD	41D9E6BB	
DEC 80 : 29.600195	16.902246	27.237661	
HEX 81 : 41DC8A18	416BE894	41CF376B	
DEC 81 : 27.567429	14.744282	25.902060	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
