Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 3BCAC4B5	41BB9CA3	4204FD11	
DEC 1 : 0.006188	23.451483	33.247135	
HEX 2 : 3BCAC4B5	41A33DC6	41DDFF93	
DEC 2 : 0.006188	20.405163	27.749792	
HEX 3 : 4065E0D6	41BE36E8	420434F3	
DEC 3 : 3.591848	23.776810	33.051708	
HEX 4 : 4106C90C	41BC754F	41DA9D45	
DEC 4 : 8.424084	23.557280	27.326792	
HEX 5 : 40568C00	4189667F	41D327E4	
DEC 5 : 3.352295	17.175047	26.394478	
HEX 6 : 40D74D18	41950FE9	41E11772	
DEC 6 : 6.728161	18.632769	28.136448	
HEX 7 : 40972173	41A81255	41DE7393	
DEC 7 : 4.722833	21.008951	27.806433	
HEX 8 : 40BE2058	41BA2D3D	4201CDE5	
DEC 8 : 5.941448	23.272089	32.451069	
HEX 9 : 407E5D53	41C243C0	41DDE84D	
DEC 9 : 3.974446	24.283081	27.738428	
HEX 10 : 40AABF9A	41B6E860	41DB02DC	
DEC 10 : 5.335889	22.863464	27.376396	
HEX 11 : 3BCAE643	41C7F72A	41D3D300	
DEC 11 : 0.006192	24.995686	26.478027	
HEX 12 : 3DD68B5D	4188493F	42022758	
DEC 12 : 0.104758	17.035765	32.538422	
HEX 13 : 40B939AA	418AD149	41D3FDD8	
DEC 13 : 5.788289	17.352190	26.498947	
HEX 14 : 40D6A0E6	41BF672F	41F597B4	
DEC 14 : 6.707141	23.925383	30.699074	
HEX 15 : 40BB1590	419FAF5E	41EC831D	
DEC 15 : 5.846382	19.960629	29.564020	
HEX 16 : 40FFA6DB	41AFC73B	41E3BB1E	
DEC 16 : 7.989118	21.972281	28.466366	
HEX 17 : 4079AAE7	418DF99B	41FC106B	
DEC 17 : 3.901056	17.746878	31.508017	
HEX 18 : 3BCAC4B5	41CB85C1	41F64D18	
DEC 18 : 0.006188	25.440310	30.787643	
HEX 19 : 3FC78937	41C99855	42072AD6	
DEC 19 : 1.558875	25.199381	33.791832	
HEX 20 : 3BDE7EA6	41ACCD95	4201F5A9	
DEC 20 : 0.006790	21.600382	32.489902	
HEX 21 : 40AAF985	41C62013	41E91488	
DEC 21 : 5.342959	24.765661	29.135025	
HEX 22 : 3EE61848	4192C19F	41DC6F7B	
DEC 22 : 0.449404	18.344542	27.554434	
HEX 23 : 4000E779	41BE5615	41E887F5	
DEC 23 : 2.014128	23.792032	29.066385	
HEX 24 : 4041B949	41A0E58F	41E2F94A	
DEC 24 : 3.026934	20.112089	28.371723	
HEX 25 : 40DCF135	41AD1014	420449B7	
DEC 25 : 6.904444	21.632851	33.071987	
HEX 26 : 40FE95CA	41CB1EBC	41F13DF1	
DEC 26 : 7.955785	25.390007	30.155245	
HEX 27 : 3CDC0DB2	419B441E	41CF508F	
DEC 27 : 0.026862	19.408260	25.914335	
HEX 28 : 4107EAB3	41BBB6B2	41EF7097	
DEC 28 : 8.494800	23.464207	29.929976	
HEX 29 : 406B1202	41A0E615	41D2E00E	
DEC 29 : 3.672974	20.112345	26.359402	
HEX 30 : 40587EB7	41B36B24	41DA471B	
DEC 30 : 3.382734	22.427315	27.284719	
HEX 31 : 3BCB4AED	41AF5897	41E8761B	
DEC 31 : 0.006204	21.918257	29.057669	
HEX 32 : 3FE67608	418F6734	42047A5E	
DEC 32 : 1.800477	17.925392	33.119499	
HEX 33 : 3E784C6A	41BE6C0D	41E10A1E	
DEC 33 : 0.242479	23.802759	28.129940	
HEX 34 : 40B84E21	41A86831	41D0C5F2	
DEC 34 : 5.759537	21.050875	26.096653	
HEX 35 : 40EDB8E5	41BB5875	42073858	
DEC 35 : 7.428820	23.418192	33.805023	
HEX 36 : 409744CE	41BED1B6	41F7C5D4	
DEC 36 : 4.727149	23.852398	30.971596	
HEX 37 : 3BC88A48	419521EC	41EBDAFA	
DEC 37 : 0.006120	18.641563	29.481922	
HEX 38 : 3BCA89FC	41B22019	41D2A286	
DEC 38 : 0.006181	22.265673	26.329357	
HEX 39 : 3FC656AC	418F3F2D	41CF7097	
DEC 39 : 1.549520	17.905848	25.929976	
HEX 40 : 408B34B9	41C49626	41CE5D65	
DEC 40 : 4.350186	24.573315	25.795603	
HEX 41 : 407544F6	41991AE8	4203C5CA	
DEC 41 : 3.832334	19.138138	32.943153	
HEX 42 : 3FCFA683	418BB518	41EBDFA8	
DEC 42 : 1.622269	17.463425	29.484207	
HEX 43 : 40CF3A82	4199780C	41D0AA04	
DEC 43 : 6.475892	19.183617	26.083015	
HEX 44 : 41048E67	419E16A6	41D7BF0E	
DEC 44 : 8.284766	19.761059	26.968288	
HEX 45 : 4098386F	419221C1	41EBEE8E	
DEC 45 : 4.756889	18.266481	29.491482	
HEX 46 : 3FFFA787	41C3579A	41D955C5	
DEC 46 : 1.997300	24.417774	27.166880	
