Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 4149D0A0	41B5F258	41F9337C	
DEC 1 : 12.613434	22.743332	31.150139	
HEX 2 : 410D869B	41B05C0B	4205E87D	
DEC 2 : 8.845363	22.044943	33.477039	
HEX 3 : 41665788	41A4782B	41D39C06	
DEC 3 : 14.396370	20.558676	26.451183	
HEX 4 : 417B99B7	419F08D8	41DF2E04	
DEC 4 : 15.725028	19.879318	27.897469	
HEX 5 : 4136021F	419D9B79	4206C9F4	
DEC 5 : 11.375518	19.700914	33.697220	
HEX 6 : 4167F5DE	41B0EE00	41F748D1	
DEC 6 : 14.497526	22.116211	30.910555	
HEX 7 : 41525B6B	41CA2172	41F69F90	
DEC 7 : 13.147319	25.266331	30.827911	
HEX 8 : 410E1A41	41928B3A	41E37974	
DEC 8 : 8.881410	18.317982	28.434303	
HEX 9 : 4135728C	4192BE0A	41F2E8E3	
DEC 9 : 11.340466	18.342793	30.363714	
HEX 10 : 4185FFD1	41A7FDA3	42003440	
DEC 10 : 16.749910	20.998846	32.051025	
HEX 11 : 413F721F	41AE4339	42032726	
DEC 11 : 11.965362	21.782824	32.788231	
HEX 12 : 4120B539	41C0CA85	41E2EF54	
DEC 12 : 10.044244	24.098886	28.366859	
HEX 13 : 4179B680	41B08435	41D7BD56	
DEC 13 : 15.607056	22.064554	26.967449	
HEX 14 : 4171E631	419F0069	41FAA9D8	
DEC 14 : 15.118699	19.875200	31.332932	
HEX 15 : 413C2181	41C3BEB6	41ECF59D	
DEC 15 : 11.758180	24.468121	29.619928	
HEX 16 : 41805514	418AC205	41EEEE51	
DEC 16 : 16.041542	17.344736	29.866365	
HEX 17 : 415BA9BF	41B3BC23	4205C7A9	
DEC 17 : 13.728942	22.466864	33.444981	
HEX 18 : 413B21DE	418FA193	41D4D82A	
DEC 18 : 11.695768	17.953894	26.605549	
HEX 19 : 415F7D67	41B487BE	41CF7EA9	
DEC 19 : 13.968116	22.566280	25.936846	
HEX 20 : 410C4877	41937D90	4207A112	
DEC 20 : 8.767692	18.436310	33.907295	
HEX 21 : 41775722	41BEF55A	41F70A93	
DEC 21 : 15.458773	23.869801	30.880163	
HEX 22 : 4114CCD2	41AB6DCC	41EF0143	
DEC 22 : 9.300005	21.428612	29.875616	
HEX 23 : 4112F109	41AC5748	41D1659B	
DEC 23 : 9.183846	21.542618	26.174612	
HEX 24 : 413B3A73	41A98FCA	41E0AA2F	
DEC 24 : 11.701770	21.195210	28.083097	
HEX 25 : 417042F9	41A5426D	4204AEDC	
DEC 25 : 15.016351	20.657434	33.170761	
HEX 26 : 411F4199	41B137E8	41DF5601	
DEC 26 : 9.953515	22.152298	27.916994	
HEX 27 : 415A7285	419D835D	41E0D714	
DEC 27 : 13.652959	19.689142	28.105019	
HEX 28 : 415AEA58	41AEF090	41DE4F8F	
DEC 28 : 13.682213	21.867462	27.788847	
HEX 29 : 41382A12	418BE923	4203D467	
DEC 29 : 11.510271	17.488836	32.957424	
HEX 30 : 416C38B9	4196EF5E	41ED222F	
DEC 30 : 14.763848	18.866879	29.641691	
HEX 31 : 414F3213	41AC0DF1	41ECEAB0	
DEC 31 : 12.949725	21.506807	29.614594	
HEX 32 : 4183D619	41B129F8	41F1EB7B	
DEC 32 : 16.479540	22.145493	30.239981	
HEX 33 : 416885E5	41C7A6A0	41D216B8	
DEC 33 : 14.532689	24.956360	26.261093	
HEX 34 : 4177CDA6	41B5EA7B	42022165	
DEC 34 : 15.487707	22.739492	32.532612	
HEX 35 : 415EB253	41BFD763	42009ACC	
