Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 41881B44	4192A902	41E364B4	
DEC 1 : 17.013313	18.332523	28.424171	
HEX 2 : 419EDC78	419DB45E	4207B95A	
DEC 2 : 19.857651	19.713070	33.931007	
HEX 3 : 41A155C2	41B81950	42072F6D	
DEC 3 : 20.166874	23.012360	33.796314	
HEX 4 : 41A59165	41AA88EF	41E8C1B9	
DEC 4 : 20.695993	21.316862	29.094591	
HEX 5 : 41A46233	4191143A	41E4EF78	
DEC 5 : 20.547949	18.134876	28.616928	
HEX 6 : 4195308B	41A27587	41E9154C	
DEC 6 : 18.648703	20.307386	29.135399	
HEX 7 : 41AF42DF	41BFF9C5	42071F39	
DEC 7 : 21.907652	23.996958	33.780491	
HEX 8 : 41996490	41963C74	41CFA24F	
DEC 8 : 19.174103	18.779518	25.954252	
HEX 9 : 41B045BD	41C8207D	41ED75B5	
DEC 9 : 22.034052	25.015863	29.682474	
HEX 10 : 41BDA683	41944F69	41EE212A	
DEC 10 : 23.706305	18.538774	29.766193	
HEX 11 : 419EB265	4188C8B3	4206E6F7	
DEC 11 : 19.837107	17.097998	33.725552	
HEX 12 : 41890CAF	41AC1561	41E11A6D	
DEC 12 : 17.131193	21.510439	28.137903	
HEX 13 : 41948184	418AD747	41FAC7A7	
DEC 13 : 18.563240	17.355116	31.347486	
HEX 14 : 41AF2C10	41A63E06	41D565E1	
DEC 14 : 21.896515	20.780285	26.674746	
HEX 15 : 41A206D5	4188DACE	41F27567	
DEC 15 : 20.253336	17.106838	30.307325	
HEX 16 : 41B58ED6	41A62F53	41FEF5CF	
DEC 16 : 22.694744	20.773108	31.870024	
HEX 17 : 41CA08DD	41905498	41F94188	
DEC 17 : 25.254328	18.041306	31.156998	
HEX 18 : 41B286C6	41B65206	41EE7507	
DEC 18 : 22.315807	22.790051	29.807142	
HEX 19 : 41BFB2FE	419DBA11	41E026EE	
DEC 19 : 23.962399	19.715853	28.019009	
HEX 20 : 41ADE7AD	41B80E65	41DE45F1	
DEC 20 : 21.738123	23.007029	27.784151	
HEX 21 : 41A1371C	41BE1B1D	41D59FEB	
DEC 21 : 20.151909	23.763239	26.703085	
HEX 22 : 41A1C226	41AEA9D1	41D9C673	
DEC 22 : 20.219799	21.832918	27.221899	
HEX 23 : 41B395DA	41A09734	41F019B4	
DEC 23 : 22.448170	20.073830	30.012550	
HEX 24 : 41A141A6	41A40CF7	41CDCFE0	
DEC 24 : 20.157055	20.506330	25.726501	
HEX 25 : 41B4030D	41CBBAA0	41FF3BBF	
DEC 25 : 22.501490	25.466125	31.904173	
HEX 26 : 41C6AC0A	419883FB	42048428	
DEC 26 : 24.834003	19.064444	33.129059	
HEX 27 : 41C88B65	41BF8151	42019CAC	
DEC 27 : 25.068064	23.938143	32.403000	
HEX 28 : 41B290F9	418914A0	41CEAF0D	
DEC 28 : 22.320787	17.135071	25.835474	
HEX 29 : 4189515F	41BC90FD	41E706AA	
DEC 29 : 17.164732	23.570795	28.878254	
HEX 30 : 41C006A1	41AEA8A2	4203CC93	
