Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 41E289BF	41C60E79	41F67017	
DEC 1 : 28.317259	24.757067	30.804731	
HEX 2 : 41D125B8	418E1C4D	41D751F9	
DEC 2 : 26.143417	17.763819	26.915026	
HEX 3 : 41FB1516	41C402A5	42047C2A	
DEC 3 : 31.385296	24.501291	33.121254	
HEX 4 : 41E72FDB	41BFAF1E	41DBAE84	
DEC 4 : 28.898367	23.960506	27.460213	
HEX 5 : 41FEA22D	4195D877	41D51371	
DEC 5 : 31.829187	18.730696	26.634493	
HEX 6 : 41E22600	41A92C9A	41CDB905	
DEC 6 : 28.268555	21.146778	25.715342	
HEX 7 : 41DAEA7B	41B86C2A	41F9EECF	
DEC 7 : 27.364492	23.052814	31.241606	
HEX 8 : 41E4A924	41A1F888	41DBC96E	
DEC 8 : 28.582588	20.246353	27.473354	
HEX 9 : 41D2087B	418FDB7C	41E7332B	
DEC 9 : 26.254141	17.982170	28.899984	
HEX 10 : 41F6F6F7	41B48F54	420432D9	
DEC 10 : 30.870588	22.569984	33.049656	
HEX 11 : 4202FEA0	41BA0C7E	42078F36	
DEC 11 : 32.748657	23.256100	33.889854	
HEX 12 : 41CC5B4A	41C1FD4A	41E6EC7D	
DEC 12 : 25.544575	24.248676	28.865473	
HEX 13 : 41F6BC9D	418FDF2E	41E9B547	
DEC 13 : 30.842096	17.983974	29.213514	
HEX 14 : 4205E802	41C95A66	41E9D84F	
DEC 14 : 33.476570	25.169140	29.230619	
HEX 15 : 42074DC1	41958327	41D439DE	
DEC 15 : 33.825932	18.689039	26.528255	
HEX 16 : 41F1A507	41BEF314	41F40B5E	
DEC 16 : 30.205580	23.868690	30.505550	
HEX 17 : 42019665	41A73CFF	41EFF10B	
DEC 17 : 32.396870	20.904783	29.992697	
HEX 18 : 41D6929D	41B1EFB4	4204FB2A	
DEC 18 : 26.821589	22.242043	33.245277	
HEX 19 : 41E1769F	41924C6D	41DC31C8	
DEC 19 : 28.182920	18.287317	27.524307	
HEX 20 : 41E6A035	41992CA4	42011C67	
DEC 20 : 28.828226	19.146797	32.277737	
HEX 21 : 42061819	41A4AB75	41FCE8CB	
DEC 21 : 33.523533	20.583719	31.613668	
HEX 22 : 41DEE279	41A34295	41EAA6E9	
DEC 22 : 27.860582	20.407511	29.331499	
HEX 23 : 42031149	4196CDDA	42038E62	
DEC 23 : 32.766880	18.850513	32.889046	
HEX 24 : 41F4563B	419170B3	41FD7E3D	
DEC 24 : 30.542105	18.180029	31.686640	
HEX 25 : 42079C71	41A8FDC9	41E516D1	
DEC 25 : 33.902775	21.123919	28.636141	
HEX 26 : 41D060F7	41B5F848	41DD28B2	
DEC 26 : 26.047346	22.746231	27.644871	
HEX 27 : 41E3A32C	419798E4	41CD4132	
DEC 27 : 28.454674	18.949654	25.656834	
HEX 28 : 41E1F1DC	41A6B23C	4204B1AB	
DEC 28 : 28.243095	20.837029	33.173504	
HEX 29 : 41FF6170	41C4FF30	41F996FF	
DEC 29 : 31.922577	24.624603	31.198729	
HEX 30 : 4206639A	41A556A6	41D5B45E	
DEC 30 : 33.597267	20.667309	26.713070	
HEX 31 : 41E88059	418AA9EA	4204592D	
DEC 31 : 29.062670	17.332966	33.087086	
HEX 32 : 41E91E64	41B8EEFD	4207F44F	
DEC 32 : 29.139839	23.116693	33.988583	
HEX 33 : 41EC37DE	41C44CAB	42018732	
DEC 33 : 29.527279	24.537436	32.382027	
HEX 34 : 41D4C388	41CACA19	41FD0FAB	
DEC 34 : 26.595474	25.348680	31.632650	
HEX 35 : 41EB564C	41C82E53	41E898EC	
DEC 35 : 29.417137	25.022619	29.074669	
HEX 36 : 41DD763E	41C03243	4203D783	
DEC 36 : 27.682735	24.024542	32.960461	
HEX 37 : 41DACFA3	41C8A017	41E8AA3C	
DEC 37 : 27.351385	25.078169	29.083122	
HEX 38 : 41CECD62	41B8D687	41CCCACE	
DEC 38 : 25.850285	23.104750	25.599026	
HEX 39 : 41E805F4	419621CE	41EA467D	
DEC 39 : 29.002907	18.766506	29.284418	
HEX 40 : 41D9CE23	418BFC98	42014025	
DEC 40 : 27.225653	17.498337	32.312641	
HEX 41 : 41F84196	41BC9FC7	41D26C85	
DEC 41 : 31.032024	23.578016	26.302988	
HEX 42 : 41E01529	4188569A	41E8A3CC	
DEC 42 : 28.010332	17.042286	29.079979	
HEX 43 : 41EED719	41B0C040	41ED3901	
DEC 43 : 29.855028	22.093872	29.652834	
HEX 44 : 42014DF1	41B892E6	41F0099B	
DEC 44 : 32.326115	23.071728	30.004690	
HEX 45 : 41F02C21	41A17D81	41CE416B	
DEC 45 : 30.021547	20.186281	25.781942	
HEX 46 : 41E6103C	41CB52FC	41CD43BB	
DEC 46 : 28.757927	25.415520	25.658072	
HEX 47 : 41FC91DE	41881932	41DCFF74	
DEC 47 : 31.571224	17.012302	27.624733	
HEX 48 : 41D8D59F	419775C0	4207F64F	
DEC 48 : 27.104307	18.932495	33.990536	
HEX 49 : 4203191D	41C2A45F	41CD6062	
DEC 49 : 32.774525	24.330259	25.672062	
HEX 50 : 41DE61E6	41B87D57	41D06A8C	
DEC 50 : 27.797802	23.061201	26.052025	
HEX 51 : 4201EC83	418A998A	41FC742F	
DEC 51 : 32.480968	17.324970	31.556730	
HEX 52 : 41D5C435	419D1B91	41DF07EC	
DEC 52 : 26.720804	19.638460	27.878868	
HEX 53 : 41E2B78D	41BAD7A2	41EA8A98	
DEC 53 : 28.339624	23.355289	29.317673	
HEX 54 : 41FBE3D7	41CAAB92	41E8FCBC	
DEC 54 : 31.486250	25.333775	29.123405	
HEX 55 : 41F3F38F	41C95133	41DB2973	
DEC 55 : 30.493925	25.164648	27.395239	
HEX 56 : 41F0E60D	4197BE2E	41DD0F7E	
DEC 56 : 30.112329	18.967861	27.632565	
HEX 57 : 41F6DDBF	41BC36B2	41E45250	
DEC 57 : 30.858274	23.526707	28.540192	
HEX 58 : 41F8D3B5	41AED47E	41F99331	
DEC 58 : 31.103373	21.853756	31.196871	
HEX 59 : 41D44961	419AEE22	42007DB0	
DEC 59 : 26.535830	19.366276	32.122742	
HEX 60 : 41D7D4B3	41C3BB89	41D9B9D4	
DEC 60 : 26.978857	24.466570	27.215736	
HEX 61 : 42036631	41B361C6	42001333	
DEC 61 : 32.849796	22.422741	32.018749	
HEX 62 : 41E65A77	418C3AE4	41F7B897	
DEC 62 : 28.794172	17.528755	30.965132	
HEX 63 : 41FCD6FB	41A5CBF1	41D707AF	
DEC 63 : 31.604971	20.724581	26.878752	
HEX 64 : 4200A4E5	41A884D4	42054324	
DEC 64 : 32.161030	21.064857	33.315567	
HEX 65 : 41FCEDC0	419FEE05	41FDBBBD	
DEC 65 : 31.616089	19.991220	31.716669	
HEX 66 : 42029604	41B33E95	41D3854A	
DEC 66 : 32.646500	22.405558	26.440083	
HEX 67 : 41EF61D7	41B054A0	41DCA7A7	
DEC 67 : 29.922773	22.041321	27.581861	
HEX 68 : 42008568	41AFFBAE	41E2A170	
DEC 68 : 32.130280	21.997890	28.328827	
HEX 69 : 4201C6D1	419CAC51	41E2AF1D	
DEC 69 : 32.444157	19.584139	28.335505	
HEX 70 : 42032E11	41BF1ACE	41DE31B2	
DEC 70 : 32.794987	23.888088	27.774265	
