Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 40848F97	41EFC92D	42000835	
DEC 1 : 4.142528	29.973230	32.008015	
HEX 2 : 4057162B	42023A7D	41DA355B	
DEC 2 : 3.360728	32.557117	27.276052	
HEX 3 : 3EC48CB5	41ECB3B9	41EBB447	
DEC 3 : 0.383886	29.587755	29.463026	
HEX 4 : 3BCAE643	420651B3	42010C9D	
DEC 4 : 0.006192	33.579784	32.262318	
HEX 5 : 40FF1D0A	41E52748	41DF2A42	
DEC 5 : 7.972295	28.644180	27.895634	
HEX 6 : 409AEB89	420038D5	41D03A6E	
DEC 6 : 4.841252	32.055500	26.028530	
HEX 7 : 40C7B820	41F1680E	41F38476	
DEC 7 : 6.241226	30.175808	30.439678	
HEX 8 : 41046F73	42021A16	41DEACEF	
DEC 8 : 8.277209	32.525475	27.834440	
HEX 9 : 40696DB5	41DF5914	41D752DD	
DEC 9 : 3.647321	27.918495	26.915461	
HEX 10 : 3E876406	41DCDC02	41E9ACDC	
DEC 10 : 0.264435	27.607426	29.209404	
HEX 11 : 405AF25E	42000D40	41E998DC	
DEC 11 : 3.421043	32.012939	29.199638	
HEX 12 : 405C7293	41DBA19F	41FD2E2F	
DEC 12 : 3.444493	27.453917	31.647551	
HEX 13 : 3BCA8199	420293EE	41F3B129	
DEC 13 : 0.006180	32.644463	30.461504	
HEX 14 : 3FD77E35	41E24189	41CF4297	
DEC 14 : 1.683539	28.282000	25.907515	
HEX 15 : 4033AA2E	41EE7AAD	41E465D5	
DEC 15 : 2.807262	29.809900	28.549723	
HEX 16 : 40E7CA68	41FD0A61	41FB0654	
DEC 16 : 7.243458	31.630068	31.378090	
HEX 17 : 3F97C11E	41DD2384	42011308	
DEC 17 : 1.185581	27.642342	32.268585	
HEX 18 : 401AA11F	41DECB51	41E3F832	
DEC 18 : 2.416084	27.849276	28.496189	
HEX 19 : 40CDF500	41E1DF08	41F00585	
DEC 19 : 6.436157	28.233902	30.002695	
HEX 20 : 40EDBAC7	41CE92EC	42002491	
DEC 20 : 7.429050	25.821739	32.035709	
HEX 21 : 40AA013B	41FE8BB1	41E39E5E	
DEC 21 : 5.312650	31.818209	28.452328	
HEX 22 : 40E32476	41FCCB11	41EA9C36	
DEC 22 : 7.098201	31.599154	29.326275	
HEX 23 : 40A756B0	41DD5B23	41CC3A16	
DEC 23 : 5.229332	27.669500	25.528362	
HEX 24 : 3FE250AD	41CEA7E6	41FD322A	
DEC 24 : 1.768087	25.831982	31.649494	
HEX 25 : 3FD1AE58	41CD8560	41ED452C	
DEC 25 : 1.638133	25.690125	29.658775	
HEX 26 : 3F54CA82	41E5E408	41DD4546	
DEC 26 : 0.831215	28.736343	27.658825	
HEX 27 : 401F9E1F	41DA4659	4206F3ED	
DEC 27 : 2.494026	27.284349	33.738209	
HEX 28 : 40FFC54E	41EC9761	41ED7AD1	
DEC 28 : 7.992835	29.573915	29.684969	
HEX 29 : 41058E1D	41DFA2A2	420788DD	
DEC 29 : 8.347196	27.954411	33.883656	
HEX 30 : 40928C89	41FADA57	4205B5D5	
DEC 30 : 4.579655	31.356611	33.427570	
HEX 31 : 3BC9C90C	41D9EF46	41D4EF4E	
DEC 31 : 0.006158	27.241833	26.616848	
HEX 32 : 40CCDD40	41F8DB2E	41D6BFCE	
DEC 32 : 6.402008	31.107021	26.843655	
HEX 33 : 40698341	41CD35F4	4206FC88	
DEC 33 : 3.648636	25.651344	33.746613	
HEX 34 : 3FDA1D65	42031229	41FC1732	
DEC 34 : 1.704022	32.767735	31.511326	
HEX 35 : 3EFE8D11	41F8029F	41FBEC84	
DEC 35 : 0.497170	31.001280	31.490486	
HEX 36 : 3FEF1A87	41FA00AE	41DC3A5B	
DEC 36 : 1.867997	31.250332	27.528494	
HEX 37 : 3FCC1A9C	41D2D9CF	41DB97FF	
DEC 37 : 1.594562	26.356352	27.449217	
HEX 38 : 40F079D5	42062AD3	41FF317C	
DEC 38 : 7.514872	33.541821	31.899162	
HEX 39 : 40160E0F	41FB0EBD	4203E0F3	
DEC 39 : 2.344608	31.382196	32.969677	
HEX 40 : 409CC7A6	41E30353	41E5D890	
DEC 40 : 4.899371	28.376623	28.730743	
HEX 41 : 40A3BA64	41CF1935	41D9CB9C	
DEC 41 : 5.116503	25.887308	27.224419	
HEX 42 : 410041A8	41EB20A1	4202202D	
DEC 42 : 8.016029	29.390932	32.531422	
HEX 43 : 4095FABE	42054913	42078FD5	
DEC 43 : 4.686858	33.321362	33.890461	
HEX 44 : 410280CF	41E0BAAC	41F824A1	
DEC 44 : 8.156447	28.091148	31.017885	
HEX 45 : 3BCAC4B5	41E1109B	42073AD9	
DEC 45 : 0.006188	28.133108	33.807468	
HEX 46 : 405DF95D	41E5B64D	41F0B156	
DEC 46 : 3.468345	28.714014	30.086590	
HEX 47 : 3FD88C05	41FE8431	41CCF159	
DEC 47 : 1.691773	31.814547	25.617846	
HEX 48 : 3F25EB64	41F110DA	41CF42F2	
DEC 48 : 0.648123	30.133228	25.907688	
HEX 49 : 4008D549	4206270D	41EAED2B	
DEC 49 : 2.138018	33.538136	29.365805	
HEX 50 : 400605B4	42058C73	42057D7D	
DEC 50 : 2.094098	33.387157	33.372547	
HEX 51 : 40BFA5F0	41D520AE	41E7085B	
DEC 51 : 5.989006	26.640957	28.879080	
HEX 52 : 40DC97CE	41DDDFEE	42021BBC	
DEC 52 : 6.893531	27.734341	32.527084	
HEX 53 : 408F406E	41F2BF31	41EC1B68	
DEC 53 : 4.476615	30.343355	29.513382	
HEX 54 : 40F2A081	41CF68BB	41D1F51E	
DEC 54 : 7.582093	25.926138	26.244686	
HEX 55 : 40F088DF	41CC3AC4	41E1A12D	
DEC 55 : 7.516708	25.528694	28.203699	
HEX 56 : 4103D733	41F48B13	41DB59D9	
DEC 56 : 8.240039	30.567907	27.418871	
HEX 57 : 406A6EA0	4203C4B7	4200DBEB	
DEC 57 : 3.663002	32.942104	32.214764	
HEX 58 : 4087D6B6	41D709B1	41EF4166	
DEC 58 : 4.244960	26.879732	29.906933	
HEX 59 : 40CF01F9	41DC61F2	41D94C3D	
DEC 59 : 6.468991	27.547825	27.162226	
HEX 60 : 40230BC4	41E831C5	42030388	
DEC 60 : 2.547593	29.024302	32.753448	
HEX 61 : 40835821	41F59BA2	41DA8653	
DEC 61 : 4.104508	30.700993	27.315588	
HEX 62 : 4046100A	41FB2FCB	41F898E9	
DEC 62 : 3.094729	31.398336	31.074663	
HEX 63 : 40F47794	4201AF92	41CF88A6	
DEC 63 : 7.639597	32.421455	25.941723	
HEX 64 : 40915E72	41E78112	4206B45C	
DEC 64 : 4.542779	28.938023	33.676132	
HEX 65 : 405A94EA	41D1143F	41E1F8EA	
DEC 65 : 3.415339	26.134886	28.246540	
HEX 66 : 40E2955B	41EB3D7B	41D0567E	
DEC 66 : 7.080732	29.405020	26.042233	
HEX 67 : 40A77388	41E2C876	41FCC5FB	
DEC 67 : 5.232853	28.347881	31.596670	
HEX 68 : 3BCAD57C	41CE0671	41E408D5	
DEC 68 : 0.006190	25.753145	28.504313	
HEX 69 : 3FDBF384	41F88D5C	41ED4428	
DEC 69 : 1.718369	31.069023	29.658279	
HEX 70 : 3EFB2464	42014E8D	41E46099	
DEC 70 : 0.490512	32.326710	28.547167	
HEX 71 : 4107AC55	41CFA8B2	4206EDBF	
DEC 71 : 8.479573	25.957371	33.732174	
HEX 72 : 3F4A8EF7	41EF386E	42048AD5	
DEC 72 : 0.791244	29.902554	33.135578	
HEX 73 : 40C6750E	42019B05	42039ADD	
DEC 73 : 6.201789	32.401386	32.901234	
HEX 74 : 3BDCB9AA	41D0CA43	420306EB	
DEC 74 : 0.006736	26.098761	32.756756	
HEX 75 : 40C32B9B	41EF9ACB	4201AFF9	
DEC 75 : 6.099073	29.950583	32.421848	
HEX 76 : 40CAA487	41EF6B6F	41E3A887	
DEC 76 : 6.332584	29.927458	28.457289	
HEX 77 : 3FF14131	41DC4196	41F32F35	
DEC 77 : 1.884802	27.532024	30.398050	
HEX 78 : 40BCFED4	41D48E3C	41F7D035	
DEC 78 : 5.906107	26.569450	30.976664	
HEX 79 : 40286A66	41F03835	41D12378	
DEC 79 : 2.631494	30.027445	26.142319	
HEX 80 : 409D2889	41D87A40	420462AD	
DEC 80 : 4.911198	27.059692	33.096363	
HEX 81 : 3CD5000D	42017A6E	41D49DD4	
DEC 81 : 0.026001	32.369560	26.577065	
HEX 82 : 3BCA1CEF	41F47228	41DE087C	
DEC 82 : 0.006168	30.555740	27.754143	
HEX 83 : 407D1CC9	42064608	41F2B40C	
DEC 83 : 3.954882	33.568390	30.337914	
HEX 84 : 40D164B4	42055064	41F14FBF	
DEC 84 : 6.543543	33.328506	30.163939	
HEX 85 : 40FEA017	41D964DF	41EA0368	
DEC 85 : 7.957042	27.174253	29.251663	
HEX 86 : 40A987F9	420044B7	41F8B7C6	
DEC 86 : 5.297848	32.067104	31.089733	
HEX 87 : 3FC1AFE2	42067188	41DB3CF6	
DEC 87 : 1.513180	33.610870	27.404766	
HEX 88 : 40A5CD9A	420726CE	41E62FFA	
DEC 88 : 5.181348	33.787895	28.773426	
HEX 89 : 40C9D717	42045E35	41DA31CD	
DEC 89 : 6.307506	33.091999	27.274317	
HEX 90 : 3BCAA327	41E88005	41FBFE31	
DEC 90 : 0.006184	29.062510	31.499117	
HEX 91 : 3FEEE88E	41EC5FE8	41F79397	
DEC 91 : 1.866472	29.546829	30.947065	
HEX 92 : 3EC90C4E	41FF30C6	42051951	
DEC 92 : 0.392672	31.898815	33.274723	
HEX 93 : 41018665	42002143	4206CF68	
DEC 93 : 8.095311	32.032482	33.702545	
HEX 94 : 40A8322F	41E8F0C2	41D742D5	
DEC 94 : 5.256126	29.117558	26.907633	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
