Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 4142F53F	41DE6C00	41CF96A0	
DEC 1 : 12.184875	27.802734	25.948547	
HEX 2 : 41651258	41F10F79	41F69F4D	
DEC 2 : 14.316978	30.132555	30.827784	
HEX 3 : 41242CEA	41EE7A51	41EB4BF9	
DEC 3 : 10.260965	29.809725	29.412096	
HEX 4 : 41112125	41F33C0C	41F956CA	
DEC 4 : 9.070592	30.404320	31.167377	
HEX 5 : 41833CAF	41F5DFF1	41DD6791	
DEC 5 : 16.404631	30.734346	27.675570	
HEX 6 : 413FA671	41E009AE	41F54E9B	
DEC 6 : 11.978135	28.004726	30.663382	
HEX 7 : 41849B95	41FFD7C3	42038BD3	
DEC 7 : 16.575968	31.980352	32.886547	
HEX 8 : 412C2D34	4206E58F	4201E03F	
DEC 8 : 10.761036	33.724178	32.468990	
HEX 9 : 414E50A2	41FB5036	41FE8A32	
DEC 9 : 12.894686	31.414165	31.817478	
HEX 10 : 41808A71	41ED0B1C	41EB4B99	
DEC 10 : 16.067598	29.630424	29.411913	
HEX 11 : 41386600	41D5953B	41E9C032	
DEC 11 : 11.524902	26.697866	29.218845	
HEX 12 : 4133D513	4202756D	41DBB7D0	
DEC 12 : 11.239520	32.614674	27.464752	
HEX 13 : 411DF301	420549FE	41E5EE2A	
DEC 13 : 9.871827	33.322258	28.741291	
HEX 14 : 415E18EA	41F9819B	41CC8643	
DEC 14 : 13.881083	31.188284	25.565557	
HEX 15 : 41781176	41FBCD91	41EF861F	
DEC 15 : 15.504263	31.475374	29.940489	
HEX 16 : 4114F402	41D8EB6F	42015039	
DEC 16 : 9.309572	27.114958	32.328342	
HEX 17 : 412EF37B	41D90D77	41DADCE8	
DEC 17 : 10.934443	27.131575	27.357864	
HEX 18 : 4133CC65	41FC6F96	41ED8906	
DEC 18 : 11.237401	31.554485	29.691906	
HEX 19 : 41654A80	41CE108F	4203E070	
DEC 19 : 14.330688	25.758085	32.969177	
HEX 20 : 41515838	41E9C1BF	41D98EBE	
DEC 20 : 13.084038	29.219603	27.194698	
HEX 21 : 416E46F3	41D2D86C	41DF04DE	
DEC 21 : 14.892322	26.355675	27.877377	
HEX 22 : 4185B8F5	42030D8E	41F70193	
DEC 22 : 16.715311	32.763237	30.875769	
HEX 23 : 411E3B40	41E72CA8	42041C0D	
DEC 23 : 9.889465	28.896805	33.027393	
HEX 24 : 414FA2F7	41E94CF5	41FF9E20	
DEC 24 : 12.977286	29.162577	31.952209	
HEX 25 : 416392B7	41DDD268	41D38789	
DEC 25 : 14.223319	27.727737	26.441179	
HEX 26 : 4154733B	41DBF551	41E18197	
DEC 26 : 13.278132	27.494783	28.188276	
HEX 27 : 4171F52F	41E406C5	41E06ED3	
DEC 27 : 15.122359	28.503305	28.054113	
HEX 28 : 411DE441	41FB144A	41E1F3A7	
DEC 28 : 9.868226	31.384907	28.243971	
HEX 29 : 4178013F	41E43842	41F7D8D9	
DEC 29 : 15.500304	28.527470	30.980883	
HEX 30 : 41376CC2	41F15B1A	41F8F13B	
DEC 30 : 11.464052	30.169483	31.117788	
HEX 31 : 4138C28B	41F018F5	42047078	
DEC 31 : 11.547496	30.012186	33.109833	
HEX 32 : 4136175C	41D13606	41F91938	
DEC 32 : 11.380703	26.151379	31.137314	
HEX 33 : 41838791	41D913A2	41D70ABE	
DEC 33 : 16.441195	27.134586	26.880245	
HEX 34 : 4146F3A5	41F8C36C	41D79BBB	
