Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 41A1F3CC	41E1DFD4	41FACB8D	
DEC 1 : 20.244041	28.234291	31.349390	
HEX 2 : 41B3B15F	41E4CF61	4206BC7A	
DEC 2 : 22.461607	28.601259	33.684059	
HEX 3 : 4197CD05	41EA86EB	41DF5D7B	
DEC 3 : 18.975107	29.315878	27.920645	
HEX 4 : 4194D3D7	4203DF2A	41E6CE8E	
DEC 4 : 18.603437	32.967934	28.850857	
HEX 5 : 418AE1CF	41E81DFE	41FC4096	
DEC 5 : 17.360258	29.014645	31.531536	
HEX 6 : 41C5B3E0	42041934	420095CF	
DEC 6 : 24.712830	33.024612	32.146297	
HEX 7 : 41A8C30C	42033081	41CCA194	
DEC 7 : 21.095238	32.797367	25.578896	
HEX 8 : 41B76C5B	41F1F435	420292A6	
DEC 8 : 22.927908	30.244242	32.643211	
HEX 9 : 41A89A16	41FB777D	41D85CB3	
DEC 9 : 21.075237	31.433344	27.045263	
HEX 10 : 41908F4D	41DBE822	41F2B87A	
DEC 10 : 18.069971	27.488346	30.340076	
HEX 11 : 41C974E0	41CD2BCD	41F1FE93	
DEC 11 : 25.182068	25.646387	30.249304	
HEX 12 : 41B2F12F	41E33358	41ECC726	
DEC 12 : 22.367765	28.400070	29.597240	
HEX 13 : 41904B96	41EB0FAA	41ED7C3C	
DEC 13 : 18.036907	29.382648	29.685661	
HEX 14 : 41B4ED1E	41E490A5	41DCF5C7	
DEC 14 : 22.615780	28.570627	27.620008	
HEX 15 : 4193A251	42071415	41F57F65	
DEC 15 : 18.454256	33.769611	30.687204	
HEX 16 : 41C1EC27	41DB78A3	41DADCBF	
DEC 16 : 24.240309	27.433905	27.357786	
HEX 17 : 41B92F5E	41DA86AC	42013E15	
DEC 17 : 23.148129	27.315758	32.310627	
HEX 18 : 41A2CE22	41F96E5F	420093A6	
DEC 18 : 20.350651	31.178892	32.144188	
HEX 19 : 41C4E174	42008F7D	41F0C367	
DEC 19 : 24.610085	32.140125	30.095411	
HEX 20 : 41A6612A	41EB084B	42039298	
DEC 20 : 20.797443	29.379049	32.893158	
HEX 21 : 419E8980	41D2B4F9	41FE933C	
DEC 21 : 19.817139	26.338366	31.821892	
HEX 22 : 418F8773	42076BD6	41D0701F	
DEC 22 : 17.941137	33.855309	26.054747	
HEX 23 : 41941B2D	41CEBC81	41EA5521	
DEC 23 : 18.513269	25.842043	29.291567	
HEX 24 : 41AC6F15	41D6AAAF	41F643CB	
DEC 24 : 21.554239	26.833342	30.783102	
HEX 25 : 418911CC	41E47515	41E0D445	
DEC 25 : 17.133690	28.557169	28.103647	
HEX 26 : 41A69F5B	41DD71F2	41DC1C12	
DEC 26 : 20.827810	27.680637	27.513706	
HEX 27 : 41C392A8	41D41DCD	4207F185	
DEC 27 : 24.446609	26.514551	33.985859	
HEX 28 : 41BC4B27	41E7BF7F	41F8F02B	
DEC 28 : 23.536695	28.968504	31.117270	
HEX 29 : 41C643EB	41F55309	41FEFE40	
DEC 29 : 24.783163	30.665545	31.874146	
HEX 30 : 41B261EE	41D5B343	41E4357B	
DEC 30 : 22.297817	26.712530	28.526114	
HEX 31 : 41C2A61A	41E189D7	41E9A636	
DEC 31 : 24.331104	28.192305	29.206158	
HEX 32 : 41CB904D	41EA2B64	41F4D1E4	
DEC 32 : 25.445459	29.271187	30.602486	
HEX 33 : 4188ECE4	41EB9E43	41D28595	
DEC 33 : 17.115669	29.452276	26.315226	
HEX 34 : 419B1032	42000084	41F4CA2E	
DEC 34 : 19.382908	32.000504	30.598721	
HEX 35 : 41AD0E2C	41EDF507	41F8E6DA	
DEC 35 : 21.631920	29.744642	31.112720	
HEX 36 : 41A2EE00	41D4969F	41E8E9AF	
DEC 36 : 20.366211	26.573545	29.114103	
HEX 37 : 419D3172	420760F9	41DB1A64	
DEC 37 : 19.649143	33.844700	27.387886	
HEX 38 : 41BC2AC5	41D5F67B	41F37138	
DEC 38 : 23.520884	26.745352	30.430283	
HEX 39 : 41AF43F6	41DF468B	41CEC51F	
DEC 39 : 21.908184	27.909445	25.846251	
HEX 40 : 41C4212E	42042499	41D31B74	
DEC 40 : 24.516201	33.035740	26.388405	
HEX 41 : 419342E8	41F9C466	41DD991B	
DEC 41 : 18.407669	31.220898	27.699759	
HEX 42 : 41B3EC77	41D1225D	42072933	
DEC 42 : 22.490461	26.141779	33.790234	
HEX 43 : 41AAF960	4200A66B	41F5DE38	
DEC 43 : 21.371765	32.162518	30.733505	
HEX 44 : 41CAD557	41F09CF8	4206DC2E	
DEC 44 : 25.354170	30.076645	33.715019	
HEX 45 : 41C0379F	41FDD883	420608BB	
DEC 45 : 24.027159	31.730719	33.508526	
HEX 46 : 419728AC	41EED657	420200C5	
DEC 46 : 18.894859	29.854658	32.500751	
HEX 47 : 41B4DA76	4202D6CA	41D71609	
DEC 47 : 22.606670	32.709755	26.885759	
HEX 48 : 41C9D997	42049B59	41E3E2F8	
DEC 48 : 25.231245	33.151707	28.485825	
HEX 49 : 41B62F02	41D24919	41D50BF3	
DEC 49 : 22.772953	26.285692	26.630835	
HEX 50 : 41B055D4	41FF3454	42055790	
DEC 50 : 22.041908	31.900551	33.335510	
HEX 51 : 41A07B49	41FCCDFE	41E6154F	
DEC 51 : 20.060198	31.600582	28.760405	
HEX 52 : 4189F9AC	41FF54AD	41CD88CA	
DEC 52 : 17.246910	31.916346	25.691792	
HEX 53 : 41C52F0C	41FB0115	41DE33A3	
DEC 53 : 24.647972	31.375528	27.775213	
HEX 54 : 41C3D5A2	41EB5A8A	41DB2A19	
DEC 54 : 24.479313	29.419209	27.395555	
HEX 55 : 41B5E8B8	42047679	41FEB6FA	
DEC 55 : 22.738632	33.115696	31.839344	
HEX 56 : 41C247AA	41F8F39E	41CE9A2E	
DEC 56 : 24.284992	31.118954	25.825283	
HEX 57 : 419A7DA9	41E17C36	41D27127	
DEC 57 : 19.311357	28.185650	26.305250	
HEX 58 : 41880A89	42028D2D	41DC54BC	
DEC 58 : 17.005144	32.637867	27.541374	
HEX 59 : 41986B99	41F17F93	41D0E8B8	
DEC 59 : 19.052538	30.187292	26.113632	
HEX 60 : 41AE0E98	41F5EA25	41EB0EC1	
DEC 60 : 21.757126	30.739328	29.382204	
HEX 61 : 41AAF65B	4204870F	41E33DE6	
