Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 41E95B54	41E5E9D6	41D3FAC4	
DEC 1 : 29.169594	28.739178	26.497444	
HEX 2 : 420490C0	41ED019E	41EC9007	
DEC 2 : 33.141357	29.625790	29.570326	
HEX 3 : 41CC4683	41D050F4	41DFCD0D	
DEC 3 : 25.534430	26.039528	27.975122	
HEX 4 : 42036667	42011F57	41CD5C23	
DEC 4 : 32.850002	32.280605	25.669989	
HEX 5 : 41E1C0B9	41D0075E	41DC3F23	
DEC 5 : 28.219103	26.003597	27.530828	
HEX 6 : 41E4E4F7	41EF08B4	41FD1727	
DEC 6 : 28.611799	29.879250	31.636305	
HEX 7 : 4202CE88	4206D95D	41E9DAA7	
DEC 7 : 32.701691	33.712269	29.231764	
HEX 8 : 41D762AB	41E6AE3D	41FF0584	
DEC 8 : 26.923178	28.835077	31.877693	
HEX 9 : 41DF27C6	41D852A2	41FF7DB5	
DEC 9 : 27.894421	27.040348	31.936380	
HEX 10 : 41F09D53	41CEFE61	41F68A5A	
DEC 10 : 30.076818	25.874208	30.817554	
HEX 11 : 4202DB82	41E7FA74	4203EFB7	
DEC 11 : 32.714363	28.997292	32.984097	
HEX 12 : 41E8F077	4202B8B0	4206B108	
DEC 12 : 29.117414	32.680359	33.672882	
HEX 13 : 41EE132E	41E56851	42044E73	
DEC 13 : 29.759365	28.675936	33.076611	
HEX 14 : 41F1B69F	41D32C6D	420634CD	
DEC 14 : 30.214170	26.396692	33.551563	
HEX 15 : 41DD65CB	41E66EE4	41F00D1F	
DEC 15 : 27.674704	28.804146	30.006407	
HEX 16 : 41F682BF	4206C882	41E492CB	
DEC 16 : 30.813841	33.695808	28.571676	
HEX 17 : 41E1C7D4	41FE39F3	42008372	
DEC 17 : 28.222572	31.778296	32.128365	
HEX 18 : 41DFC0A5	420736D0	41FE2DB0	
DEC 18 : 27.969065	33.803528	31.772308	
HEX 19 : 41DAA38A	41E8B6D1	41CE5D1C	
DEC 19 : 27.329853	29.089266	25.795464	
HEX 20 : 41FB2907	41F025B7	41E56C9E	
DEC 20 : 31.395033	30.018415	28.678036	
HEX 21 : 4201C1B7	41FDB538	41E6F3EF	
DEC 21 : 32.439175	31.713486	28.869108	
HEX 22 : 420168A4	41E9642E	41D63E03	
DEC 22 : 32.352188	29.173916	26.780279	
HEX 23 : 41DF9398	41E07A84	42069FFB	
DEC 23 : 27.947067	28.059822	33.656231	
HEX 24 : 42064312	41CE1C83	41F92D17	
